simplified	IS	example_IS
挨	þrauka	Hann þraukaði alla nóttina og beið loks eftir dagsbirtu.
癌症	krabbamein	Mikilvægt er að finna krabbamein snemma.
暧昧	óljós	Svar hans var mjög óljóst.
爱不释手	geta ekki lagt frá sér	Hún gat ekki lagt þessa bók frá sér.
爱戴	virða og elska	Þessi kennari nýtur mikillar virðingar nemenda.
安宁	friður	Nóttin hér er mjög friðsæl.
安详	rólegur	Svipur gamla mannsins var rólegur.
安置	koma fyrir	Ríkisstjórnin kom fórnarlömbum hamfaranna fyrir.
按摩	nudd	Ég pantaði nudd.
暗示	gefa í skyn	Hún gaf mér í skyn að spyrja ekki meira.
案件	mál	Lögreglan rannsakar þetta mál.
案例	dæmi	Þetta dæmi er mjög dæmigert.
昂贵	dýr	Þetta tæki er mjög dýrt.
凹凸	ójafn	Yfirborð vegarins er ójafnt.
熬	þrauka	Hann þraukaði í þrjá daga áður en hann lauk skýrslunni.
奥秘	leyndardómur	Vísindamenn vilja leysa þennan leyndardóm.
巴不得	óska þess heitt	Ég óska þess heitt að leggja strax af stað.
巴结	smjaðra	Hann vill ekki smjaðra fyrir yfirmönnum.
扒	halda sér í	Barnið hélt sér í hurðina og horfði út.
疤	ör	Hann er með ör á handleggnum.
拔苗助长	flýta vexti með skaða	Að þrýsta svona á barnið við nám skaðar bara.
把关	fara yfir	Lögfræðingur þarf að fara yfir þennan samning.
把手	handfang	Handfangið á hurðinni er bilað.
罢工	verkfall	Verkamennirnir ákváðu að fara í verkfall á morgun.
霸道	ráðríkur	Hann talar allt of ráðríkt.
掰	brjóta í sundur	Hún braut brauðið í tvennt.
摆脱	losna við	Hann losnaði loksins við slæman vana.
拜访	heimsækja	Við heimsækjum kennarann um helgina.
拜年	óska gleðilegs nýárs	Á vorhátíðinni förum við að óska ömmu og afa gleðilegs nýárs.
拜托	biðja um hjálp	Ég bið þig um hjálp með þetta mál.
败坏	spilla	Slík hegðun spillir orðspori fyrirtækisins.
斑	blettur	Kötturinn er með svartan blett á sér.
颁布	gefa út	Nýju reglurnar verða gefnar út í næstu viku.
颁发	afhenda	Skólinn afhenti framúrskarandi nemendum viðurkenningar.
版本	útgáfa	Það er komin ný útgáfa af þessum hugbúnaði.
伴侣	félagi	Hún lítur á hundinn sem félaga sinn.
伴随	fylgja	Árangri fylgir oft álag.
半途而废	gefast upp á miðri leið	Í rannsóknum má ekki gefast upp á miðri leið.
扮演	leika	Hann leikur lækni í myndinni.
榜样	fyrirmynd	Foreldrar eru fyrirmynd barna.
绑架	mannrán	Lögreglan kom í veg fyrir mannrán.
磅	pund	Þessi kassi vegur tuttugu pund.
包庇	hylma yfir	Enginn má hylma yfir glæp.
包袱	byrði	Hann lagði byrðina frá sér og varð miklu léttari.
包围	umkringja	Blaðamenn umkringdu leikarann.
包装	umbúðir	Umbúðirnar utan um gjöfina eru fallegar.
保管	geyma	Ég geymi þessi skjöl.
保密	halda leyndu	Efni fundarins verður að halda leyndu.
保姆	barnfóstra	Þau réðu barnfóstru.
保守	íhaldssamur	Hugmyndir hans eru frekar íhaldssamar.
保卫	verja	Hermenn verja landamærin.
保养	viðhald	Þessi bíll þarf reglulegt viðhald.
保障	vernda	Lögin vernda réttindi borgara.
保重	fara vel með sig	Farðu vel með þig þegar þú ert á ferðinni.
饱和	mettun	Þessi markaður er næstum kominn í mettun.
饱经沧桑	hafa gengið í gegnum margt	Þessi gamli maður hefur gengið í gegnum margt.
报酬	laun	Hann fékk sanngjörn laun.
