source_headword	SK	example_SK
heal	liečiť	Odpočinok pomáha telu liečiť sa.
healthcare	zdravotná starostlivosť	Náklady na zdravotnú starostlivosť tento rok vzrástli.
helmet	prilba	Na bicykli nos prilbu.
hence	preto	Preto sme zmenili rozvrh.
herb	bylinka	Bazalka je užitočná bylinka.
hidden	skrytý	Kľúč bol skrytý pod rohožkou.
highway	diaľnica	Diaľnica bola po snežení uzavretá.
hilarious	smiešny	Film bol smiešny.
hip	bedro	Počas tréningu si zranila bedro.
historian	historik	Historik študoval staré listy.
homeless	bez domova	Útulok pomáha rodinám bez domova.
honesty	úprimnosť	Úprimnosť buduje dôveru.
hook	háčik	Zaves kabát na háčik.
hopefully	dúfajme	Dúfajme, že vlak čoskoro príde.
hunger	hlad	Hlad môže ovplyvniť sústredenie.
hypothesis	hypotéza	Experiment testoval hypotézu.
icon	ikona	Ikona aplikácie sa dnes zmenila.
ID	preukaz totožnosti	Ukážte svoj preukaz totožnosti na recepcii.
identical	identický	Dvojičky mali oblečené identické bundy.
illusion	ilúzia	Zrkadlo vytvára ilúziu.
immigration	imigrácia	Imigračná politika sa minulý rok zmenila.
immune	imúnny	Očkovanie môže urobiť ľudí imúnnymi.
implement	implementovať	Škola implementuje túto politiku.
implication	dôsledok	Dôsledok bol jasný.
incentive	stimul	Bonus dal zamestnancom stimul.
incorporate	začleniť	Začleňte do jedál viac zeleniny.
incorrect	nesprávny	Odpoveď bola nesprávna.
independence	nezávislosť	Krajina oslavovala nezávislosť.
index	index	Pozrite si tému v indexe.
indication	náznak	Úsmev bol náznakom úľavy.
inevitable	nevyhnutný	Určité zdržanie bolo nevyhnutné.
inevitably	nevyhnutne	Ceny po nedostatku nevyhnutne stúpli.
infer	vyvodiť	Odpoveď môžeme vyvodiť z kontextu.
inflation	inflácia	Inflácia zvýšila ceny potravín.
info	info	Webová stránka uvádza užitočné info.
infrastructure	infraštruktúra	Búrka poškodila miestnu infraštruktúru.
inhabitant	obyvateľ	Každý obyvateľ dostal čistú vodu.
inherit	zdediť	Zdedí rodinný dom.
ink	atrament	Tlačiareň potrebuje čierny atrament.
innovation	inovácia	Inovácia posúva priemysel vpred.
innovative	inovatívny	Spoločnosť uviedla na trh inovatívny produkt.
input	vstup	Manažér požiadal o vstup.
insert	vložiť	Vložte kartu do stroja.
inspector	inšpektor	Inšpektor skontroloval budovu.
installation	inštalácia	Inštalácia trvala dve hodiny.
instant	okamžitý	Aplikácia odoslala okamžitú odpoveď.
instantly	okamžite	Obrazovka sa okamžite zapla.
integrate	integrovať	Softvér dokáže integrovať nové nástroje.
intellectual	intelektuálny	Debata bola intelektuálna, ale priateľská.
interact	komunikovať	Študenti počas skupinovej práce komunikujú.
interaction	interakcia	Interakcia bola zdvorilá.
interpretation	interpretácia	Jej interpretácia básne bola originálna.
interval	interval	Medzi dejstvami bol krátky interval.
invade	napadnúť	Armáda sa pokúsila napadnúť ostrov.
invasion	invázia	Invázia poškodila mnoho miest.
investor	investor	Investor financoval nový startup.
isolate	izolovať	Lekári izolujú pacientov s vážnymi infekciami.
isolated	izolovaný	Dedina bola izolovaná snehom.
jail	väzenie	Zlodej išiel do väzenia.
jet	prúdové lietadlo	Prúdové lietadlo pristálo napoludnie.
joint	spoločný	Oznámili spoločný projekt.
journalism	žurnalistika	Žurnalistika si vyžaduje presné fakty.
jury	porota	Porota dospela k rozhodnutiu.
kit	súprava	Súprava na opravu obsahuje skrutky.
ladder	rebrík	Rebrík bol opretý o stenu.
landing	pristátie	Lietadlo malo hladké pristátie.
lane	jazdný pruh	Zostaňte v pravom jazdnom pruhu.
lately	v poslednom čase	V poslednom čase som spal zle.
leaflet	leták	Leták vysvetľuje službu.
legend	legenda	Legenda hovorí o skrytom meste.
lens	objektív	Opatrne vyčistite objektív fotoaparátu.
lifetime	celý život	Šetril peniaze celý život.
lighting	osvetlenie	Dobré osvetlenie zlepšuje miestnosť.
likewise	podobne	Usmiala sa; on urobil podobne.
limitation	obmedzenie	Plán má jedno obmedzenie.
literally	doslova	Doslova bežala na autobus.
literary	literárny	Festival oceňuje literárne diela.
litre	liter	Kúpte liter mlieka.
litter	odpadky	Nezahadzujte odpadky.
logo	logo	Logo sa objavuje na každej strane.
lottery	lotéria	Vyhral malú cenu v lotérii.
loyal	verný	Pes bol verný svojmu majiteľovi.
lyric	text piesne	Text piesne opakoval hlavnú myšlienku.
magnificent	veľkolepý	Palác vyzeral veľkolepo.
make-up	mejkap	Mala jednoduchý mejkap.
making	tvorba	Tvorba filmu bola náročná.
manufacture	vyrábať	Továreň bude vyrábať telefóny.
manufacturing	výroba	Výrobné miesta sa lokálne zvýšili.
marathon	maratón	Dokončila maratón.
margin	okraj	Píšte si poznámky na okraj.
marker	fixka	Na štítok použite fixku.
martial	bojový	Študuje bojové umenia.
mate	kamarát	Môj starý kamarát zo školy včera volal.
mayor	starosta	Starosta otvoril knižnicu.
mechanic	mechanik	Mechanik opravil autobus.
mechanical	mechanický	Hodiny majú mechanickú poruchu.
mechanism	mechanizmus	Uzamykací mechanizmus je jednoduchý.
medal	medaila	Vyhrala zlatú medailu.
medication	lieky	Užívajte lieky s vodou.
membership	členstvo	Členstvo v posilňovni je online lacnejšie.
memorable	nezabudnuteľný	Výlet bol nezabudnuteľný.
