simplified	TE	example_TE
哎	అయ్యో	అయ్యో, నువ్వు ఇక్కడికి ఎలా వచ్చావు?
唉	అయ్యో	అయ్యో, నేను మళ్లీ ఆలస్యమయ్యాను.
爱护	జాగ్రత్తగా కాపాడటం	మనము పర్యావరణాన్ని జాగ్రత్తగా కాపాడాలి.
爱惜	విలువగా భావించడం	దయచేసి మీ సమయాన్ని విలువగా భావించండి.
爱心	కరుణ	ఆమెకు చాలా కరుణ ఉంది.
安慰	ఓదార్చడం	నా స్నేహితుడు నన్ను ఓదార్చాడు.
安装	అమర్చడం	కార్మికుడు ఎయిర్ కండిషనర్‌ను అమర్చుతున్నాడు.
岸	తీరం	పడవ నెమ్మదిగా తీరానికి చేరుతోంది.
暗	చీకటి	గదిలో చాలా చీకటిగా ఉంది.
熬夜	రాత్రివేళ మేల్కొని ఉండటం	రాత్రివేళ మేల్కొని ఉండటం ఆరోగ్యానికి మంచిది కాదు.
把握	నమ్మకం	నేను ఇది బాగా చేయగలనని నమ్మకం లేదు.
摆	అమర్చడం	దయచేసి కుర్చీలను చక్కగా అమర్చండి.
办理	నిర్వహించడం	నేను కొంత పని నిర్వహించడానికి బ్యాంకుకు వెళ్తున్నాను.
傍晚	సాయంత్రం	మేము సాయంత్రం నడకకు వెళ్తాము.
包裹	ప్యాకెట్	నాకు ఒక ప్యాకెట్ వచ్చింది.
包含	కలిగి ఉండటం	ధరలో అల్పాహారం కూడా ఉంది.
包括	చేర్చడం	ఫీజులో మధ్యాహ్న భోజనం కూడా ఉంది.
薄	సన్నని	ఈ పుస్తకం చాలా సన్నగా ఉంది.
保持	నిలుపుకోవడం	దయచేసి నిశ్శబ్దంగా ఉండండి.
保存	సేవ్ చేయడం	దయచేసి ఈ ఫైల్‌ను సేవ్ చేయండి.
保留	రిజర్వ్ చేయడం	దయచేసి నాకు ఒక సీటు రిజర్వ్ చేయండి.
保险	బీమా	నేను ప్రయాణ బీమా కొనుగోలు చేశాను.
宝贝	నిధి	ఇది నా నిధి.
宝贵	విలువైన	సమయం చాలా విలువైనది.
报到	నమోదు చేసుకోవడం	కొత్త విద్యార్థులు ఈ రోజు పాఠశాలలో నమోదు చేసుకోవడానికి వస్తున్నారు.
