simplified	VI	example_VI
哎	này; ôi	Này, sao bạn lại đến đây?
唉	ôi; thở dài	Ôi, tôi lại đến muộn rồi.
爱护	chăm sóc; giữ gìn	Chúng ta nên giữ gìn môi trường.
爱惜	trân trọng; dùng tiết kiệm	Hãy trân trọng thời gian của mình.
爱心	lòng yêu thương; lòng nhân ái	Cô ấy là người rất giàu lòng yêu thương.
安慰	an ủi	Bạn tôi đã an ủi tôi.
安装	lắp đặt; cài đặt	Công nhân đang lắp điều hòa.
岸	bờ; bờ sông	Con thuyền từ từ tiến lại gần bờ.
暗	tối; âm u	Trong phòng rất tối.
熬夜	thức khuya; thức suốt đêm	Thức khuya không tốt cho sức khỏe.
把握	nắm chắc; tự tin	Tôi không chắc mình có thể làm tốt việc này.
摆	bày; sắp xếp	Hãy xếp ghế cho ngay ngắn.
办理	xử lý; làm thủ tục	Tôi sẽ đến ngân hàng để xử lý một số việc.
傍晚	chiều tối; lúc chạng vạng	Chiều tối chúng tôi sẽ đi dạo.
包裹	bưu kiện; gói hàng	Tôi đã nhận được một bưu kiện.
包含	bao gồm; chứa đựng	Giá này bao gồm bữa sáng.
包括	bao gồm	Chi phí bao gồm bữa trưa.
薄	mỏng	Quyển sách này rất mỏng.
保持	giữ; duy trì	Xin hãy giữ im lặng.
保存	lưu; bảo quản	Xin hãy lưu tệp này.
保留	giữ lại; đặt trước	Xin hãy giữ cho tôi một chỗ ngồi.
保险	bảo hiểm; an toàn	Tôi đã mua bảo hiểm du lịch.
宝贝	báu vật; cục cưng	Đây là báu vật của tôi.
宝贵	quý giá	Thời gian rất quý giá.
报到	trình diện; đăng ký	Hôm nay sinh viên mới đến trường đăng ký.
报道	đưa tin; bản tin	Tin tức đã đưa tin về việc này.
报告	báo cáo	Anh ấy đang trình bày báo cáo.
报社	tòa soạn báo	Cô ấy làm việc ở tòa soạn báo.
抱怨	phàn nàn	Anh ấy luôn phàn nàn rằng công việc quá nhiều.
悲观	bi quan	Đừng quá bi quan.
背	lưng	Anh ấy ngồi quay lưng về phía cửa.
背景	bối cảnh; lý lịch	Xin hãy giới thiệu ngắn gọn về bối cảnh của bạn.
被子	chăn	Cái chăn này rất ấm.
本科	bậc đại học; cử nhân	Anh ấy là sinh viên đại học.
本领	kỹ năng; năng lực	Anh ấy đã học được một kỹ năng mới.
本质	bản chất	Bản chất của vấn đề rất đơn giản.
彼此	lẫn nhau; nhau	Chúng ta nên tôn trọng lẫn nhau.
比例	tỷ lệ	Tỷ lệ nam nữ gần như bằng nhau.
必然	tất yếu; chắc chắn	Nỗ lực chắc chắn sẽ mang lại kết quả.
必要	cần thiết	Không cần phải lo lắng.
毕竟	dù sao; suy cho cùng	Dù sao thì anh ấy vẫn còn là một đứa trẻ.
避免	tránh	Hãy tránh đến muộn.
编辑	biên tập; biên tập viên	Anh ấy phụ trách biên tập bài viết này.
鞭炮	pháo dây; pháo	Tết Xuân, một số người đốt pháo.
便	liền; tiện	Sau khi ăn xong, anh ấy liền đi học.
辩论	tranh luận	Họ đang tranh luận về vấn đề này.
标点	dấu câu	Hãy chú ý đến dấu câu.
标志	biển báo; ký hiệu	Đèn đỏ là dấu hiệu phải dừng lại.
表达	bày tỏ; diễn đạt	Anh ấy đã bày tỏ quan điểm của mình.
表面	bề mặt	Bề mặt bàn rất sạch.
表明	cho thấy; chứng tỏ	Kết quả cho thấy anh ấy đúng.
表情	vẻ mặt; biểu cảm	Vẻ mặt của cô ấy rất nghiêm túc.
表现	biểu hiện; thể hiện	Hôm nay anh ấy thể hiện rất tốt.
冰激凌	kem	Trẻ em thích ăn kem.
病毒	vi-rút	Loại vi-rút này lây lan rất nhanh.
播放	phát; bật	Xin hãy bật bài hát này.
玻璃	kính; thủy tinh	Cốc thủy tinh bị vỡ rồi.
博物馆	bảo tàng	Cuối tuần này chúng tôi sẽ đến bảo tàng.
脖子	cổ	Cổ tôi hơi đau.
不断	không ngừng	Giá cả không ngừng tăng lên.
不见得	chưa chắc; không nhất thiết	Đây chưa chắc là một việc xấu.
不耐烦	mất kiên nhẫn; sốt ruột	Đợi lâu quá, anh ấy hơi mất kiên nhẫn.
不要紧	không sao; không quan trọng	Không sao đâu, không có vấn đề gì.
补充	bổ sung	Tôi muốn bổ sung một ý kiến.
不安	bất an	Nghe tin này, cô ấy cảm thấy bất an.
不得了	nghiêm trọng; ghê gớm	Việc này thật sự rất nghiêm trọng.
不然	nếu không	Hãy đi nhanh lên, nếu không bạn sẽ đến muộn.
不如	không bằng; chi bằng	Đi xe không bằng đi bộ.
不足	không đủ; thiếu	Ở đây không đủ nước.
布	vải	Mảnh vải này rất mềm.
步骤	bước; trình tự	Hãy thao tác theo các bước.
部门	bộ phận; phòng ban	Tôi làm việc ở bộ phận kinh doanh.
财产	tài sản	Ngôi nhà này là tài sản của anh ấy.
彩虹	cầu vồng	Sau cơn mưa xuất hiện một cầu vồng.
踩	giẫm; đạp	Đừng giẫm lên cỏ.
采访	phỏng vấn; đưa tin	Phóng viên đang phỏng vấn bác sĩ.
采取	áp dụng; thực hiện	Chúng tôi đã áp dụng một phương pháp mới.
参考	tham khảo	Xin hãy tham khảo cuốn sách này.
参与	tham gia	Anh ấy tích cực tham gia hoạt động.
惭愧	xấu hổ; hổ thẹn	Tôi cảm thấy xấu hổ vì lỗi của mình.
操场	sân trường; sân thể thao	Các học sinh đang chạy trên sân trường.
操心	lo lắng; bận tâm	Đừng lo lắng cho tôi.
册	cuốn; quyển	Tôi mua một cuốn sách.
测验	bài kiểm tra; kiểm tra	Ngày mai có một bài kiểm tra nhỏ.
曾经	đã từng	Tôi đã từng sống ở Bắc Kinh.
叉子	nĩa; cái nĩa	Tôi ăn salad bằng nĩa.
差距	khoảng cách; sự chênh lệch	Có khoảng cách giữa thành thị và nông thôn.
插	cắm; chèn; cài	Xin hãy cắm hoa vào bình.
拆	tháo dỡ; tháo ra; bóc	Công nhân đang tháo dỡ ngôi nhà cũ.
产品	sản phẩm	Chất lượng sản phẩm này rất tốt.
产生	phát sinh; tạo ra; sinh ra	Vấn đề này đã tạo ra tác động mới.
常识	lẽ thường; kiến thức phổ thông	Đây là lẽ thường cơ bản.
长途	đường dài	Chuyến đi đường dài rất mệt.
抄	chép; đạo văn	Xin đừng chép bài tập của người khác.
超级	siêu; cấp cao	Đây là một siêu thị.
朝	triều đại; triều đình	Triều Đường rất nổi tiếng.
潮湿	ẩm ướt	Mùa hè ở miền Nam rất ẩm ướt.
吵	ồn ào; làm ồn	Bên ngoài rất ồn.
吵架	cãi nhau	Họ lại cãi nhau rồi.
炒	xào; chiên	Mẹ đang xào rau.
车库	nhà để xe; ga ra	Xe đỗ trong nhà để xe.
车厢	toa xe; toa tàu	Toa tàu này rất yên tĩnh.
彻底	triệt để; hoàn toàn	Anh ấy đã hiểu hoàn toàn.
沉默	im lặng	Anh ấy luôn giữ im lặng.
趁	nhân lúc; tranh thủ	Nhân lúc trời chưa tối, chúng ta đi thôi.
称	cân; gọi là; xưng	Xin hãy cân gói hàng này.
称呼	xưng hô; gọi là	Tôi không biết nên xưng hô với anh ấy thế nào.
称赞	khen ngợi	Giáo viên khen ngợi sự tiến bộ của anh ấy.
成分	thành phần	Thành phần của loại thuốc này rất đơn giản.
成果	thành quả; kết quả	Dự án này đã đạt được kết quả.
成就	thành tựu; thành công	Anh ấy có nhiều thành tựu trong sự nghiệp.
成立	thành lập; được thành lập	Công ty được thành lập năm ngoái.
成人	người lớn; người trưởng thành	Vé người lớn đắt hơn vé trẻ em.
成熟	chín; trưởng thành	Táo đã chín rồi.
成语	thành ngữ	Thành ngữ này rất thường dùng.
成长	trưởng thành; lớn lên	Đứa trẻ đang từ từ lớn lên.
承担	gánh vác; đảm nhận; chịu	Anh ấy sẵn sàng chịu trách nhiệm.
承认	thừa nhận; công nhận	Anh ấy thừa nhận mình sai.
承受	chịu đựng; gánh chịu	Tôi không chịu nổi áp lực lớn như vậy.
程度	trình độ; mức độ	Trình độ tiếng Trung của anh ấy rất cao.
程序	thủ tục; trình tự; chương trình	Xin hãy xử lý theo đúng thủ tục.
诚恳	chân thành	Thái độ của anh ấy rất chân thành.
吃亏	chịu thiệt; bị lỗ	Trước khi mua đồ phải xem cho kỹ, đừng để chịu thiệt.
持续	kéo dài; tiếp tục	Mưa kéo dài ba ngày.
池塘	ao; hồ nhỏ	Trong ao có rất nhiều cá.
迟早	sớm muộn	Sớm muộn gì bạn cũng sẽ hiểu.
尺子	thước kẻ	Xin hãy đo bằng thước.
翅膀	cánh	Cánh của con chim bị thương.
充电器	bộ sạc	Bộ sạc của tôi bị hỏng.
充分	đầy đủ	Chúng tôi đã chuẩn bị đầy đủ.
充满	đầy; tràn đầy	Căn phòng tràn ngập tiếng cười.
冲	xả; dội; pha; tráng	Xin hãy dùng nước tráng cái cốc.
重复	lặp lại; trùng lặp	Xin đừng lặp lại cùng một lỗi.
宠物	thú cưng	Cô ấy nuôi một con chó cưng.
抽屉	ngăn kéo	Chìa khóa ở trong ngăn kéo.
抽象	trừu tượng	Khái niệm này quá trừu tượng.
丑	xấu; xấu xí	Bức ảnh này hơi xấu.
臭	hôi; thối	Rác rất hôi.
出版	xuất bản	Cuốn sách này được xuất bản năm ngoái.
出口	lối ra; xuất khẩu	Lối ra ở phía trước.
出色	xuất sắc	Phần thể hiện của cô ấy rất xuất sắc.
出示	xuất trình; đưa ra cho xem	Xin hãy xuất trình hộ chiếu của bạn.
出席	tham dự; có mặt	Anh ấy sẽ tham dự cuộc họp.
初级	sơ cấp; cấp đầu	Tôi học tiếng Trung ở lớp sơ cấp.
除非	trừ khi	Trừ khi trời mưa, ngày mai chúng tôi sẽ đi leo núi.
除夕	đêm giao thừa	Đêm giao thừa cả nhà chúng tôi cùng ăn cơm.
处理	xử lý; giải quyết	Tôi sẽ xử lý vấn đề này.
传播	truyền bá; lan truyền	Tin này lan truyền rất nhanh.
传染	lây nhiễm; truyền nhiễm	Cảm cúm rất dễ lây.
传说	truyền thuyết	Đây là một truyền thuyết cổ xưa.
传统	truyền thống	Tết Nguyên Đán là ngày lễ truyền thống của Trung Quốc.
窗帘	rèm cửa	Xin hãy kéo rèm ra.
闯	xông vào; vượt; lao vào	Anh ấy vô ý vượt đèn đỏ.
创造	sáng tạo; tạo ra	Con người đã tạo ra công cụ mới.
吹	thổi	Gió thổi rất mạnh.
词汇	từ vựng	Từ vựng này rất thường dùng.
辞职	từ chức; nghỉ việc	Anh ấy quyết định nghỉ việc.
此外	ngoài ra	Ngoài ra, tôi còn có một câu hỏi.
刺激	kích thích; gay cấn; gây kích động	Trò chơi này rất gay cấn.
次要	thứ yếu; phụ	Vấn đề này là thứ yếu.
匆忙	vội vã; hấp tấp	Anh ấy vội vã rời khỏi nhà.
从此	từ đó; kể từ đó	Kể từ đó, anh ấy tập thể dục mỗi ngày.
从而	từ đó; nhờ vậy; do đó	Anh ấy học hành chăm chỉ, nhờ vậy đã vượt qua kỳ thi.
从前	trước kia; ngày xưa	Trước kia ở đây không có tàu điện ngầm.
从事	làm; theo đuổi; tham gia	Cô ấy làm trong ngành giáo dục.
粗糙	thô; nhám; thô ráp	Tờ giấy này rất thô ráp.
促进	thúc đẩy; xúc tiến	Tập thể dục có thể thúc đẩy sức khỏe.
促使	thúc đẩy; khiến cho	Việc này khiến anh ấy thay đổi kế hoạch.
醋	giấm	Trong món ăn có cho giấm.
催	giục; thúc giục	Mẹ giục tôi nhanh chóng ra khỏi nhà.
存在	tồn tại	Vấn đề này vẫn còn tồn tại.
措施	biện pháp; bước xử lý	Nhà trường đã áp dụng các biện pháp an toàn.
答应	đồng ý; hứa	Anh ấy đồng ý giúp tôi.
达到	đạt tới; đạt được	Thành tích của anh ấy đã đạt tiêu chuẩn.
打工	làm thêm; đi làm thuê	Kỳ nghỉ hè anh ấy làm thêm ở nhà hàng.
打交道	giao thiệp; có quan hệ làm việc	Tôi thường giao thiệp với khách hàng.
打喷嚏	hắt hơi; nhảy mũi	Anh ấy bị cảm và cứ hắt hơi mãi.
打听	hỏi thăm; hỏi dò	Tôi muốn hỏi thăm về vé tàu.
大方	hào phóng; rộng rãi	Cô ấy rất hào phóng trong việc tiêu tiền.
大厦	tòa nhà lớn; cao ốc	Tòa nhà lớn kia rất cao.
大象	voi	Bọn trẻ đang xem voi ở sở thú.
大型	quy mô lớn	Ở đây sẽ xây một trung tâm thương mại quy mô lớn.
呆	ở lại; ngây ra	Anh ấy ở nhà đọc sách.
代表	đại diện; tượng trưng	Bông hoa này tượng trưng cho tình bạn.
代替	thay thế; thay mặt	Hôm nay tôi sẽ thay anh ấy đi họp.
待遇	đãi ngộ; lương thưởng	Chế độ đãi ngộ của công ty này khá tốt.
贷款	khoản vay; cho vay	Họ đã xin vay mua nhà.
单纯	đơn giản; thuần túy	Suy nghĩ của cô ấy rất đơn giản.
单调	đơn điệu	Công việc này hơi đơn điệu.
单独	một mình; riêng	Tôi muốn nói chuyện riêng với bạn.
单位	đơn vị; cơ quan	Anh ấy làm việc ở một đơn vị sự nghiệp.
单元	bài; đơn vị; chương	Hôm nay chúng tôi học bài ba.
担任	đảm nhiệm; giữ chức	Cô ấy đảm nhiệm vai trò phụ trách hoạt động lần này.
耽误	làm lỡ; trì hoãn	Đừng làm lỡ thời gian của mọi người.
胆小鬼	kẻ nhát gan	Đừng gọi anh ấy là kẻ nhát gan.
淡	nhạt	Bát canh này hơi nhạt.
当地	địa phương; tại địa phương	Người địa phương đều thích khu chợ này.
当心	cẩn thận; coi chừng	Đường rất trơn, bạn cẩn thận một chút.
挡	chặn; cản	Chiếc xe này chặn mất lối vào.
倒霉	xui xẻo	Hôm nay thật xui xẻo, tôi bị mất điện thoại.
导演	đạo diễn	Vị đạo diễn này rất nổi tiếng.
导致	dẫn đến; gây ra	Mưa lớn gây ra ùn tắc giao thông.
岛屿	đảo; quần đảo	Đất nước này có rất nhiều đảo.
到达	đến; tới nơi	Tàu hỏa đến Thượng Hải đúng giờ.
道德	đạo đức	Làm người phải có đạo đức.
道理	lý lẽ; đạo lý	Những lời anh ấy nói rất có lý.
登记	đăng ký; ghi danh; làm thủ tục	Xin hãy đăng ký ở quầy lễ tân trước.
等待	chờ đợi	Chúng tôi đang chờ kết quả.
等于	bằng	Năm cộng năm bằng mười.
滴	giọt; nhỏ xuống	Một giọt nước rơi xuống bàn.
敌人	kẻ thù; địch thủ	Họ không phải là kẻ thù.
的确	quả thật; đúng là	Việc này quả thật rất quan trọng.
地道	chuẩn; chính gốc; đích thực	Anh ấy nói giọng Bắc Kinh rất chuẩn.
地理	địa lý	Tôi rất quan tâm đến địa lý Trung Quốc.
地区	khu vực; vùng	Khu vực này mùa đông rất lạnh.
地毯	thảm	Trong phòng khách có trải một tấm thảm.
地位	địa vị; vị trí	Giáo dục có vị trí quan trọng trong xã hội.
地震	động đất	Tối qua ở đây đã xảy ra động đất.
递	đưa; chuyển	Xin hãy đưa bức thư này cho thầy giáo.
点心	đồ ăn nhẹ; điểm tâm	Chiều nay chúng tôi ăn đồ ăn nhẹ.
电池	pin	Đồ chơi này cần hai viên pin.
电台	đài phát thanh	Anh ấy làm chương trình ở đài phát thanh.
钓	câu	Ông nội thích ra bờ sông câu cá.
顶	đỉnh; chiếc; cái	Anh ấy đội một chiếc mũ đen.
冻	đóng băng; lạnh cóng	Bên ngoài lạnh quá, nước đều đóng băng rồi.
动画片	phim hoạt hình	Bọn trẻ đang xem phim hoạt hình.
洞	lỗ; hang	Trên tường có một cái lỗ nhỏ.
豆腐	đậu phụ	Món đậu phụ này rất ngon.
逗	trêu; chọc cười	Lời anh ấy nói làm mọi người bật cười.
独立	độc lập	Cô ấy muốn sống độc lập.
独特	độc đáo; riêng biệt	Thành phố này có nền văn hóa độc đáo.
度过	trải qua; trải qua thời gian	Chúng tôi đã trải qua kỳ nghỉ bên bờ biển.
断	đứt; gãy	Sợi dây này bị đứt rồi.
堆	chất đống; đống	Trên bàn chất rất nhiều tài liệu.
兑换	đổi; quy đổi	Tôi muốn đổi một ít nhân dân tệ.
对比	so sánh; đối chiếu	Xin hãy so sánh hai phương án này.
对待	đối xử	Chúng ta nên đối xử công bằng với mọi người.
对方	đối phương; phía bên kia	Xin hãy nghe ý kiến của phía bên kia trước.
对手	đối thủ	Đối thủ của anh ấy rất mạnh.
对象	đối tượng; người yêu	Đối tượng nghiên cứu là sinh viên đại học.
吨	tấn	Chiếc xe tải này có thể chở ba tấn hàng.
蹲	ngồi xổm	Anh ấy ngồi xổm dưới đất tìm chìa khóa.
顿	bữa; lần	Chúng tôi đã cùng ăn một bữa tối.
多亏	nhờ có; may nhờ	Nhờ có sự giúp đỡ của bạn, tôi mới hoàn thành nhiệm vụ.
多余	thừa; không cần thiết	Câu này là thừa.
朵	bông; đóa	Trên bàn có đặt một bông hoa.
躲藏	ẩn nấp; trốn	Con mèo con trốn dưới gầm giường.
恶劣	tồi tệ; khắc nghiệt	Thời tiết hôm nay rất tồi tệ.
耳环	khuyên tai	Cô ấy đeo một đôi khuyên tai.
发表	phát biểu; công bố	Anh ấy đã phát biểu ý kiến tại cuộc họp.
发愁	lo buồn; lo lắng	Đừng lo buồn vì chuyện nhỏ này.
发达	phát triển	Giao thông của thành phố này rất phát triển.
发抖	run; run rẩy	Anh ấy lạnh đến mức cứ run mãi.
