source_headword	HR	example_HR
prey	plijen	Sove noću love plijen.
privatization	privatizacija	Privatizacija je promijenila željeznički sustav.
privilege	privilegija	Obrazovanje ne bi trebalo biti privilegija.
probe	istraga	Istraga je otkrila ozbiljne pogreške.
problematic	problematičan	Sporazum ostaje problematičan.
proceedings	postupak	Sudski postupak započeo je u ponedjeljak.
proceeds	prihod	Prihod će podržati lokalne škole.
processing	obrada	Obrada slike traje dugo.
processor	procesor	Procesor je otkazao tijekom testiranja.
proclaim	proglasiti	Čelnici prerano proglašavaju pobjedu.
productive	produktivan	Sastanak je bio produktivan.
productivity	produktivnost	Produktivnost se poboljšala nakon obuke.
profitable	profitabilan	Trgovina je ove godine postala profitabilna.
profound	dubok	Govor je imao dubok učinak.
projection	projekcija	Projekcija pokazuje stalan rast.
prominent	istaknut	Postala je istaknuta znanstvenica.
pronounced	izražen	Njegov je naglasak postao izraženiji.
propaganda	propaganda	Kampanja je koristila propagandu na internetu.
proposition	prijedlog	Prijedlog je riskantan pothvat.
prosecute	kazneno goniti	Dužnosnici kazneno gone teške slučajeve prijevare.
prosecution	tužiteljstvo	Tužiteljstvo je iznijelo nove dokaze.
prosecutor	tužitelj	Tužitelj je ispitao svjedoka.
prospective	potencijalni	Potencijalni studenti obišli su kampus.
prosperity	prosperitet	Trgovina je donijela prosperitet regiji.
protective	zaštitni	Nosila je zaštitne rukavice.
protocol	protokol	Protokol zahtijeva pisano odobrenje.
province	pokrajina	Pokrajina je uložila u prijevoz.
provincial	pokrajinski	Pokrajinski dužnosnici najavili su plan.
provision	odredba	Ugovor uključuje sigurnosnu odredbu.
provoke	izazvati	Govor može izazvati oštre reakcije.
psychiatric	psihijatrijski	Bolnica je otvorila psihijatrijski odjel.
pulse	puls	Medicinska sestra mu je provjerila puls.
pump	pumpa	Pumpa tjera vodu prema gore.
punch	udarac	U ljutnji je zadao udarac.
query	upit	Pošaljite svoj upit podršci.
quest	potraga	Njihova potraga za pravdom se nastavila.
quota	kvota	Tim je ispunio svoju prodajnu kvotu.
radar	radar	Oluja se pojavila na radaru.
radical	radikalan	Skupina je predložila radikalne reforme.
rage	bijes	Njegov je bijes brzo nestao.
raid	racija	Policija je provela raciju u zoru.
rally	skup	Pristaše su se pridružile skupu u središtu grada.
ranking	ljestvica	Sveučilište je poboljšalo svoje mjesto na ljestvici.
