source_headword	DE	example_DE
ability	die Fähigkeit; das Können	Ihre Fähigkeit zu schwimmen ist klar.
able	fähig; in der Lage	Er kann heute kommen.
abroad	im Ausland; ins Ausland	Sie möchte im Ausland studieren.
accept	akzeptieren; annehmen	Bitte nimm dieses kleine Geschenk an.
accident	der Unfall	Der Unfall passierte in der Nähe der Schule.
according to	laut; gemäß	Laut dem Bericht kommt Regen.
achieve	erreichen	Du kannst dein Ziel erreichen.
act	handeln; spielen; die Handlung	Er kann in einem Theaterstück spielen.
active	aktiv	Sie ist jeden Tag aktiv.
actually	eigentlich; tatsächlich	Eigentlich brauche ich mehr Zeit.
advantage	der Vorteil	Dieser Plan hat einen Vorteil.
adventure	das Abenteuer	Ihre Reise war ein Abenteuer.
advertise	werben; inserieren	Sie werben für die neue Stelle.
advertisement	die Anzeige; die Werbung	Ich habe eine Anzeige gesehen.
advertising	die Werbung	Werbung hilft, Essen zu verkaufen.
affect	beeinflussen	Schlaf kann die Gesundheit beeinflussen.
against	gegen	Lehn dich nicht gegen die Wand.
ah	ah; ach	Ah, jetzt verstehe ich.
airline	die Fluggesellschaft	Die Fluggesellschaft ist sehr beschäftigt.
alive	lebendig; am Leben	Der kleine Fisch ist am Leben.
all right	in Ordnung; gut	Jetzt ist alles in Ordnung.
allow	erlauben	Hunde sind hier erlaubt.
almost	fast; beinahe	Wir sind fast bereit.
alone	allein	Sie lebt allein.
along	entlang; an ... entlang	Geh diese Straße entlang.
already	schon; bereits	Ich kenne die Antwort schon.
alternative	die Alternative	Dieser Zug ist eine Alternative.
although	obwohl	Obwohl es spät ist, können wir bleiben.
among	unter; zwischen	Er stand unter den Bäumen.
amount	die Menge; der Betrag	Die Menge ist zu klein.
ancient	alt; antik	Diese alte Mauer ist berühmt.
ankle	der Knöchel	Mein Knöchel tut heute weh.
anybody	jemand; irgendjemand	Kann jemand antworten?
any more	mehr; nicht mehr	Ich brauche nichts mehr.
anyway	trotzdem; jedenfalls	Jedenfalls können wir anfangen.
anywhere	irgendwo; irgendwohin	Setz dich irgendwohin.
app	die App	Diese App ist nützlich.
appear	erscheinen	Ihr Name wird hier erscheinen.
appearance	das Aussehen; die Erscheinung	Sein Aussehen ist anders.
apply	sich bewerben; anwenden	Bewirb dich heute für die Stelle.
architect	der Architekt; die Architektin	Der Architekt hat einen Plan.
architecture	die Architektur	Ich mag moderne Architektur.
argue	streiten; argumentieren	Streite nicht mit deiner Schwester.
argument	der Streit; das Argument	Der Streit war kurz.
army	die Armee	Die Armee ist groß.
arrange	organisieren; arrangieren	Bitte organisiere das Treffen.
arrangement	die Vereinbarung; die Anordnung	Diese Vereinbarung funktioniert gut.
asleep	schlafend; eingeschlafen	Das Baby schläft.
assistant	der Assistent; die Assistentin	Der Assistent half mir.
athlete	der Sportler; die Sportlerin	Der Sportler läuft schnell.
attack	angreifen; der Angriff	Der Hund kann angreifen.
attend	teilnehmen; besuchen	Ich besuche heute den Unterricht.
attention	die Aufmerksamkeit	Bitte pass auf.
attractive	attraktiv	Der Garten ist attraktiv.
audience	das Publikum	Das Publikum war ruhig.
author	der Autor; die Autorin	Der Autor schrieb dieses Buch.
available	verfügbar	Essen ist jetzt verfügbar.
average	durchschnittlich; der Durchschnitt	Das durchschnittliche Ergebnis war gut.
avoid	vermeiden	Vermeide die stark befahrene Straße.
award	der Preis; auszeichnen	Sie erhielt einen Preis.
awful	schrecklich	Das Wetter war schrecklich.
background	der Hintergrund	Das Bild hat einen dunklen Hintergrund.
badly	schlecht	Er spielte heute schlecht.
bar	die Bar; der Tresen	Wir trafen uns in der Hotelbar.
baseball	der Baseball	Baseball ist hier beliebt.
based	basiert; gegründet	Der Film basiert auf einem Buch.
basketball	der Basketball	Wir spielen nach der Schule Basketball.
bean	die Bohne	Diese Bohne ist grün.
bear (animal)	der Bär	Der Bär lebt im Wald.
beat	schlagen; besiegen	Unser Team kann sie besiegen.
beef	das Rindfleisch	Ich aß Rindfleisch zum Abendessen.
behave	sich benehmen	Benimm dich bitte gut im Unterricht.
behaviour	das Verhalten	Sein Verhalten war höflich.
belong	gehören	Diese Schuhe gehören mir.
belt	der Gürtel	Sein Gürtel ist schwarz.
benefit	der Vorteil; der Nutzen	Bewegung hat einen echten Nutzen.
