simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
白天	နေ့ခင်း; နေ့အချိန်	နေ့ခင်းမှာ ကျောင်းမှာ စာသင်တယ်။	ពេលថ្ងៃ; ថ្ងៃ	ពេលថ្ងៃខ្ញុំរៀននៅសាលា។	ກາງເວັນ; ເວລາກາງເວັນ	ກາງເວັນຂ້ອຍຮຽນຢູ່ໂຮງຮຽນ.	दिन; दिनको समयमा	दिनको समयमा म विद्यालयमा पढ्छु।
边	ဘေး; အစွန်း	စာအုပ်က စားပွဲဘေးမှာ ရှိတယ်။	ខាង; ជាយ	សៀវភៅនៅក្បែរតុ។	ຂ້າງ; ຂອບ	ປຶ້ມຢູ່ຂ້າງໂຕະ.	छेउ; किनार	किताब टेबलको छेउमा छ।
病	ရောဂါ; နေမကောင်းဖြစ်ခြင်း	သူ နေမကောင်းဘူး။	ជំងឺ; ឈឺ	គាត់ឈឺ។	ໂຣກ; ເຈັບປ່ວຍ	ລາວເຈັບປ່ວຍ.	रोग; बिरामी हुनु	ऊ बिरामी छ।
不要	မလုပ်နဲ့; မလိုချင်	ကော်ဖီ အများကြီး မသောက်နဲ့။	កុំ; មិនចង់	កុំផឹកកាហ្វេច្រើនពេក។	ຢ່າ; ບໍ່ຕ້ອງການ	ຢ່າດື່ມກາເຟຫຼາຍເກີນໄປ.	नगर्नु; नचाहनु	कफी धेरै नपिऊ।
唱	သီချင်းဆိုသည်	ညီမလေးက တရုတ်သီချင်း ဆိုရတာ ကြိုက်တယ်။	ច្រៀង	ប្អូនស្រីខ្ញុំចូលចិត្តច្រៀងបទចិន។	ຮ້ອງເພງ	ນ້ອງສາວຂອງຂ້ອຍມັກຮ້ອງເພງຈີນ.	गाउनु	मेरी बहिनी चिनियाँ गीत गाउन मन पराउँछे।
车	ကား; ယာဉ်	တံခါးနားမှာ ကားတစ်စီး ရှိတယ်။	ឡាន; យានយន្ត	មានឡានមួយនៅជិតទ្វារ។	ລົດ; ພາຫະນະ	ມີລົດຢູ່ໃກ້ປະຕູ.	गाडी; सवारी साधन	ढोकाको छेउमा एउटा गाडी छ।
大学	တက္ကသိုလ်	အစ်ကိုက တက္ကသိုလ်မှာ တက်နေတယ်။	សាកលវិទ្យាល័យ	បងប្រុសខ្ញុំរៀននៅសាកលវិទ្យាល័យ។	ມະຫາວິທະຍາໄລ	ອ້າຍຂອງຂ້ອຍຮຽນຢູ່ມະຫາວິທະຍາໄລ.	विश्वविद्यालय	मेरो दाइ विश्वविद्यालयमा पढ्छ।
大学生	တက္ကသိုလ်ကျောင်းသား	သူက တက္ကသိုလ်ကျောင်းသူ ဖြစ်တယ်။	និស្សិតសាកលវិទ្យាល័យ	នាងជានិស្សិតសាកលវិទ្យាល័យ។	ນັກສຶກສາມະຫາວິທະຍາໄລ	ນາງເປັນນັກສຶກສາມະຫາວິທະຍາໄລ.	विश्वविद्यालय विद्यार्थी	उनी विश्वविद्यालयकी विद्यार्थी हुन्।
第	အစဉ်ပြနံပါတ်ရှေ့ဆက်	ဒါ ပထမဆုံး သင်ခန်းစာပါ။	បុព្វបទលេខលំដាប់	នេះជាមេរៀនទីមួយ។	ຄຳນຳໜ້າລຳດັບ	ນີ້ແມ່ນບົດຮຽນທຳອິດ.	क्रमसूचक उपसर्ग	यो पहिलो पाठ हो।
店	ဆိုင်	ဒီဆိုင်က သေးတယ်။	ហាង	ហាងនេះតូច។	ຮ້ານ	ຮ້ານນີ້ນ້ອຍ.	पसल	यो पसल सानो छ।
电话	ဖုန်း; ဖုန်းခေါ်ဆိုမှု	မင်းရဲ့ ဖုန်းနံပါတ် ဘာလဲ။	ទូរស័ព្ទ; ការហៅទូរស័ព្ទ	លេខទូរស័ព្ទរបស់អ្នកជាអ្វី?	ໂທລະສັບ; ການໂທ	ເບີໂທລະສັບຂອງເຈົ້າແມ່ນຫຍັງ?	फोन; फोनकल	तिम्रो फोन नम्बर के हो?
电影院	ရုပ်ရှင်ရုံ	ရုပ်ရှင်ရုံက ကျောင်းဘေးမှာ ရှိတယ်။	រោងកុន	រោងកុននៅក្បែរសាលា។	ໂຮງຮູບເງົາ	ໂຮງຮູບເງົາຢູ່ຂ້າງໂຮງຮຽນ.	चलचित्र हल	चलचित्र हल विद्यालयको छेउमा छ।
