source_headword	KA	example_KA
abolish	გაუქმება	კანონი ძველ გადასახადს გააუქმებს.
abortion	აბორტი	აბორტი კვლავ მგრძნობიარე სამედიცინო საკითხია.
absence	არყოფნა	მისმა არყოფნამ საბოლოო გადაწყვეტილება გადადო.
absent	არმყოფი	ორი წევრი გაკვეთილს აცდენდა.
absurd	აბსურდული	პრეტენზია ყველასთვის აბსურდულად ჟღერდა.
abundance	სიუხვე	ხეობაში წყლის სიუხვეა.
abuse	ძალადობა	ანგარიშში აღწერილი იყო სამუშაო ადგილზე ძალადობა.
academy	აკადემია	აკადემია ახალგაზრდა მუსიკოსებს ამზადებს.
accelerate	დაჩქარება	ახალი დაფინანსება კვლევას დააჩქარებს.
acceptance	მიღება	მის მიერ კრიტიკის მიღებამ ჩემზე შთაბეჭდილება მოახდინა.
accessible	ხელმისაწვდომი	მუზეუმი ხელმისაწვდომია ეტლით მოსარგებლეთათვის.
accomplishment	მიღწევა	წიგნის დასრულება ნამდვილი მიღწევა იყო.
accordance	შესაბამისობა	სამუშაო პოლიტიკის შესაბამისად შესრულდა.
accordingly	შესაბამისად	მტკიცებულებები შეიცვალა და ჩვენც შესაბამისად ვიმოქმედეთ.
accountability	ანგარიშვალდებულება	პოლიტიკა ზრდის მენეჯერების ანგარიშვალდებულებას.
accountable	პასუხისმგებელი	მენეჯერები პასუხისმგებელნი არიან უსაფრთხოებაზე.
accumulate	დაგროვება	ეკრანის უკან შეიძლება მტვერი დაგროვდეს.
accumulation	დაგროვება	მონაცემების დაგროვებას თვეები დასჭირდა.
accusation	ბრალდება	ბრალდებამ კომიტეტი შოკში ჩააგდო.
accused	ბრალდებული	ბრალდებული სასამართლოში გამოცხადდა.
acquisition	შეძენა	ამ შენაძენმა კომპანია სწრაფად გააფართოვა.
acre	აკრი	ფერმა ერთ აკრს იკავებს.
activation	გააქტიურება	ბარათის გააქტიურებას რამდენიმე წუთი სჭირდება.
activist	აქტივისტი	აქტივისტი მიტინგზე გამოვიდა სიტყვით.
acute	მწვავე	სირბილის შემდეგ მან მწვავე ტკივილი იგრძნო.
adaptation	ადაპტაცია	ადაპტაციამ რომანის დასასრული შეცვალა.
adhere	დაცვა	პერსონალმა უნდა დაიცვას უსაფრთხოების წესები.
adjacent	მომიჯნავე	სასტუმრო სადგურის მომიჯნავედ მდებარეობს.
adjustment	შესწორება	მცირე შესწორებამ პრობლემა მოაგვარა.
administer	მიცემა	ექთნები ვაქცინას ფრთხილად უკეთებენ.
administrative	ადმინისტრაციული	ადმინისტრაციული პერსონალი ფორმებს ამუშავებს.
administrator	ადმინისტრატორი	ადმინისტრატორმა ჩემი პაროლი განაახლა.
admission	შესვლა	მუზეუმში შესვლა უფასოა.
adolescent	მოზარდი	მოზარდს დამატებითი მხარდაჭერა სჭირდებოდა.
adoption	შვილად აყვანა	შვილად აყვანამ ბავშვს სტაბილური სახლი მისცა.
adverse	უარყოფითი	წამალმა უარყოფითი ეფექტები გამოიწვია.
advocate	დამცველი	დამცველი იცავდა დამქირავებელთა უფლებებს.
aesthetic	ესთეტიკური	ოთახს მშვიდი ესთეტიკური სტილი აქვს.
affection	სითბო	მან ოჯახის მიმართ სითბო გამოხატა.
aftermath	შედეგი	შტორმის შედეგი რთული იყო.
aggression	აგრესია	მასწავლებელმა შესვენებაზე აგრესია შეამჩნია.
agricultural	სასოფლო-სამეურნეო	სასოფლო-სამეურნეო ექსპორტი წელს გაიზარდა.
aide	თანაშემწე	თანაშემწემ მინისტრის განრიგი შეადგინა.
albeit	თუმცა	გეგმამ იმუშავა, თუმცა ნელა.
alert	გაფრთხილება	გთხოვთ, დაუყოვნებლივ გააფრთხილოთ პერსონალი.
align	გასწორება	ისრები გზასთან სწორდება.
alignment	გასწორება	ბორბლების გასწორებამ ავტომობილის მართვა გააუმჯობესა.
alike	ერთნაირად	ტყუპებს შაბათ-კვირას ერთნაირად აცვიათ.
allegation	ბრალდება	ბრალდება გაზეთში გამოჩნდა.
allege	მტკიცება	ისინი ამტკიცებენ, რომ თანხები დაიკარგა.
allegedly	სავარაუდოდ	მძღოლმა სავარაუდოდ გაფრთხილება უგულებელყო.
alliance	ალიანსი	პარტიებმა დროებითი ალიანსი შექმნეს.
allocate	გამოყოფა	ქალაქი სკოლებისთვის ფულს გამოყოფს.
allocation	განაწილება	ადგილების განაწილება უსამართლო იყო.
allowance	ჯიბის ფული	მისი ჯიბის ფული სადილსა და ტრანსპორტს ფარავს.
ally	მოკავშირე	კანადა ახლო მოკავშირე გახდა.
aluminium	ალუმინი	ჩარჩო ალუმინისგან არის დამზადებული.
amateur	მოყვარული	სურათი მოყვარულმა ფოტოგრაფმა გადაიღო.
ambassador	ელჩი	ელჩი ადგილობრივ სტუდენტებს შეხვდა.
amend	შესწორება	პარლამენტმა კანონში ცვლილებების შეტანას მისცა ხმა.
amendment	შესწორება	შესწორებამ ერთი აბზაცი შეცვალა.
amid	ფონზე	სიტყვით გამოსვლა მზარდი დაძაბულობის ფონზე შედგა.
analogy	ანალოგია	მასწავლებელმა მარტივი ანალოგია გამოიყენა.
anchor	ღუზა	ნავმა კუნძულთან ღუზა ჩაუშვა.
angel	ანგელოზი	ბავშვს ანგელოზის კოსტიუმი ეცვა.
