source_headword	KM	example_KM
institute	វិទ្យាស្ថាន	វិទ្យាស្ថានបានបើកកម្មវិធីស្រាវជ្រាវថ្មីមួយ។
institution	ស្ថាប័ន	ស្ថាប័នបានផ្លាស់ប្តូរច្បាប់ទទួលយកការចុះឈ្មោះរបស់ខ្លួន។
insurance	ការធានារ៉ាប់រង	ការធានារ៉ាប់រងរបស់នាងបានរ៉ាប់រងថ្លៃមន្ទីរពេទ្យ។
intended	ដែលបានគ្រោងទុក	សារបានទៅដល់ទស្សនិកជនដែលបានគ្រោងទុក។
intense	ខ្លាំងក្លា	ការពិភាក្សាបានក្លាយជាខ្លាំងក្លាយ៉ាងឆាប់រហ័ស។
internal	ខាងក្នុង	ក្រុមហ៊ុនបានចាប់ផ្តើមការត្រួតពិនិត្យផ្ទៃក្នុង។
interpret	បកស្រាយ	សូមបកស្រាយលទ្ធផលដោយប្រុងប្រយ័ត្ន។
interrupt	រំខាន	កុំរំខានអ្នកនិយាយនៅពេលនេះ។
investigation	ការស៊ើបអង្កេត	ការស៊ើបអង្កេតបានបង្ហាញពីកំហុសធ្ងន់ធ្ងរ។
investment	ការវិនិយោគ	ការវិនិយោគបានបង្កើតការងារក្នុងស្រុកជាច្រើន។
joy	ក្តីអំណរ	ភាពជោគជ័យរបស់ពួកគេបាននាំមកនូវក្តីអំណរយ៉ាងខ្លាំង។
judgement	ការវិនិច្ឆ័យ	ការវិនិច្ឆ័យរបស់គាត់បានប្រសើរឡើងជាមួយនឹងបទពិសោធន៍។
junior	ថ្នាក់ទាប	នាងបានចូលរួមជាមួយក្រុមជាអ្នកវិភាគថ្នាក់ទាប។
justice	យុត្តិធម៌	គ្រួសារបានទាមទារយុត្តិធម៌បន្ទាប់ពីការកាត់ក្តី។
justify	បង្ហាញភាពត្រឹមត្រូវ	អ្នកត្រូវតែបង្ហាញភាពត្រឹមត្រូវនៃសេចក្តីសម្រេចនោះឲ្យបានច្បាស់។
labour	កម្លាំងពលកម្ម	គម្រោងនេះទាមទារកម្លាំងពលកម្មដែលមានជំនាញ។
landscape	ទេសភាព	ទេសភាពបានផ្លាស់ប្តូរបន្ទាប់ពីព្យុះ។
largely	ភាគច្រើន	ផែនការនេះទទួលបានជោគជ័យភាគច្រើន។
launch	បើកដំណើរការ	ពួកគេនឹងបើកដំណើរការផលិតផលនៅថ្ងៃស្អែក។
leadership	ភាពជាអ្នកដឹកនាំ	ភាពជាអ្នកដឹកនាំខ្លាំងបានជួយឲ្យក្រុមងើបឡើងវិញ។
league	លីក	ក្លឹបរបស់យើងបានចូលរួមលីកក្នុងតំបន់។
lean	ផ្អែក	កុំផ្អែកលើជញ្ជាំងសើម។
licence	អាជ្ញាប័ណ្ណ	អាជ្ញាប័ណ្ណនឹងផុតកំណត់នៅខែក្រោយ។
limited	មានកំណត់	ថ្ងៃនេះយើងមានពេលវេលាមានកំណត់។
lively	រស់រវើក	កិច្ចប្រជុំបានក្លាយជារស់រវើកបន្ទាប់ពីអាហារថ្ងៃត្រង់។
load	បន្ទុក	ឡានដឹកទំនិញបានដឹកបន្ទុកធ្ងន់។
loan	ប្រាក់កម្ចី	ធនាគារបានអនុម័តប្រាក់កម្ចី។
logical	សមហេតុផល	អំណះអំណាងរបស់នាងគឺច្បាស់លាស់និងសមហេតុផល។
long-term	រយៈពេលវែង	នេះគឺជាដំណោះស្រាយរយៈពេលវែង។
loose	រលុង	ដៃកាន់មានអារម្មណ៍ថារលុង។
lord	ម្ចាស់	ម្ចាស់មានភូមិជាច្រើន។
lower	បន្ថយ	ពួកគេបន្ថយតម្លៃក្នុងរដូវរងា។
lung	សួត	ការជក់បារីអាចបំផ្លាញសួត។
maintain	រក្សា	យើងរក្សាទំនាក់ទំនងជាប្រចាំ។
majority	ភាគច្រើន	ភាគច្រើនគាំទ្រសំណើនេះ។
mass	ដុំ	ដុំពពកបានគ្របដណ្តប់មេឃ។
massive	ធំធេង	ការរញ្ជួយដីបានបណ្តាលឲ្យមានការខូចខាតយ៉ាងធំធេង។
master	អ្នកជំនាញ	នាងបានក្លាយជាអ្នកជំនាញខាងការចរចា។
matching	សមគ្នា	គាត់ពាក់ស្បែកជើងនិងខ្សែក្រវ៉ាត់ដែលសមគ្នា។
maximum	អតិបរមា	បន្ទប់បានឈានដល់សមត្ថភាពអតិបរមា។
means	មធ្យោបាយ	អ៊ីមែលគឺជាមធ្យោបាយទំនាក់ទំនងចម្បងរបស់យើង។
measurement	ការវាស់វែង	ការវាស់វែងគឺខុសបន្តិច។
melt	រលាយ	ព្រិលនឹងរលាយត្រឹមពេលថ្ងៃត្រង់។
