source_headword	SW	example_SW
machine	mashine	Mashine hii hutengeneza kahawa.
magazine	jarida	Anasoma jarida la muziki.
main	kuu; muhimu	Huu ndio mlango mkuu.
make	kutengeneza; kufanya	Ninatengeneza chakula cha mchana nyumbani.
man	mwanaume	Mwanaume huyo ni mwalimu wangu.
many	nyingi	Wanafunzi wengi wako hapa.
map	ramani	Angalia ramani.
March	machi	Siku yangu ya kuzaliwa iko Machi.
market	soko	Tunanunua matunda sokoni.
married	ameoa; ameolewa	Dada yangu ameolewa.
May	mei	Shule inaisha Mei.
maybe	labda	Labda mvua itanyesha.
me	mimi; ni	Tafadhali nisaidie.
meal	chakula	Chakula hiki ni moto.
mean	kuwa na maana	Ishara hii ina maana gani?
meaning	maana	Maana ni nini?
meat	nyama	Ninakula nyama kwa chakula cha jioni.
meet	kukutana	Tunakutana baada ya darasa.
meeting	mkutano	Mkutano unaanza sasa.
member	mwanachama	Yeye ni mwanachama wa klabu.
menu	menyu	Tafadhali soma menyu.
message	ujumbe	Ninatuma ujumbe mfupi.
metre	mita	Tembea mita moja mbele.
midnight	usiku wa manane	Treni inaondoka usiku wa manane.
mile	maili	Tunatembea maili moja.
milk	maziwa	Ninakunywa maziwa na kifungua kinywa.
million	milioni	Watu milioni moja wanaishi hapa.
minute1	dakika	Subiri dakika moja, tafadhali.
miss	kukosa; kumkumbuka	Ninaikumbuka shule yangu ya zamani.
mistake	kosa	Jibu hili lina kosa.
model	mfano; modeli	Huu ni mfano mdogo.
modern	ya kisasa	Jiko ni la kisasa.
moment	dakika; muda	Subiri kidogo, tafadhali.
Monday	jumatatu	Tunaanza kazi Jumatatu.
money	pesa	Nahitaji pesa kidogo.
month	mwezi	Juni ni mwezi wa joto.
more	zaidi	Nahitaji muda zaidi.
morning	asubuhi	Ninasoma asubuhi.
most	wengi; zaidi	Wanafunzi wengi hupenda muziki.
mother	mama	Mama yangu anafanya kazi leo.
mountain	mlima	Mlima ni mrefu.
mouse	panya	Panya yuko chini ya kiti.
mouth	kinywa	Fungua kinywa chako, tafadhali.
move	kusogeza; kuhama	Sogeza kiti hapa.
movie	filamu	Tunaangalia filamu usiku wa leo.
much	nyingi; kiasi gani	Hii ni bei gani?
mum	mama	Mama yangu yuko nyumbani.
museum	makumbusho	Makumbusho hufunguliwa saa nne.
music	muziki	Ninasikiliza muziki.
must modal	lazima	Lazima usimame hapa.
my	yangu	Hiki ni kitabu changu.
name	jina	Andika jina lako hapa.
natural	ya asili	Juisi hii ni ya asili.
near	karibu	Benki iko karibu hapa.
need	kuhitaji	Nahitaji kalamu.
negative	hasi	Jibu hili ni hasi.
neighbour	jirani	Jirani yangu ni rafiki.
never	kamwe	Sinywi kahawa kamwe.
new	mpya	Simu hii ni mpya.
news	habari	Habari ni nzuri leo.
newspaper	gazeti	Anasoma gazeti.
next	ijayo; inayofuata	Basi linalofuata limechelewa.
next to	karibu na	Kaa karibu nami.
nice	nzuri; ya kupendeza	Chumba ni kizuri.
night	usiku	Ninalala usiku.
nine	tisa	Wanafunzi tisa wako hapa.
nineteen	kumi na tisa	Ana miaka kumi na tisa.
ninety	tisini	Babu yangu ana miaka tisini.
no	hapana	Hapana, asante.
no one	hakuna mtu	Hakuna mtu chumbani.
nobody	hakuna mtu	Hakuna mtu nyumbani.
north	kaskazini	Kituo kiko kaskazini mwa hapa.
nose	pua	Pua yangu ni baridi.
not	si; sio	Sijachoka.
note	maelezo; noti	Andika maelezo sasa.
nothing	hakuna kitu	Hakuna kitu ndani ya sanduku.
November	novemba	Kozi yangu inaanza Novemba.
now	sasa	Njoo hapa sasa.
number	nambari; idadi	Andika nambari hapa.
nurse	muuguzi	Muuguzi ni mwema.
object	kitu	Weka kitu mezani.
o’clock	saa	Darasa linaanza saa tatu.
October	oktoba	Tunasafiri Oktoba.
of	ya; cha	Hiki ni kikombe cha chai.
off	kuzima; mbali	Zima taa.
office	ofisi	Ofisi yangu ni ndogo.
often	mara nyingi	Mara nyingi natembea kwenda shule.
oh	oo; lo	Oo, ninaelewa sasa.
OK	sawa	Hii ni sawa?
old	ya zamani; mzee	Nyumba hii ni ya zamani.
on	juu	Kitabu kiko juu ya meza.
once	mara moja	Ninapiga simu mara moja kwa wiki.
one	moja	Nina dada mmoja.
onion	kitunguu	Kata kitunguu kimoja.
online	mtandaoni	Ninasoma mtandaoni.
only	tu	Nina begi moja tu.
open	wazi; kufungua	Fungua dirisha, tafadhali.
opinion	maoni	Maoni yako ni nini?
opposite	kando ya pili; mkabala	Duka liko mkabala na benki.
or	au	Chai au kahawa?
orange	chungwa; rangi ya machungwa	Chungwa hili ni tamu.
order	kuagiza; agizo	Ninaagiza supu.
other	nyingine	Tumia mlango mwingine.
our	yetu	Hili ni darasa letu.
out	nje	Toka nje baada ya chakula cha mchana.
outside	nje	Watoto wanacheza nje.
over	juu ya; kupitia	Ndege inapita juu ya jiji.
own	mwenyewe	Nina chumba changu mwenyewe.
page	ukurasa	Fungua ukurasa wa kumi.
paint	kupaka rangi; rangi	Paka ukuta rangi ya buluu.
painting	uchoraji; picha	Uchoraji huu ni mzuri.
pair	jozi	Nahitaji jozi ya soksi.
