simplified	UZ	example_UZ
啊	tasdiq yuklamasi; a	Mayli-a, hozir ketaylik.
阿姨	xola; enaga	Xola supermarketda ishlaydi.
矮	past; bo'yi past	Bu stol biroz past.
爱好	qiziqish; sevimli mashg'ulot	Mening qiziqishim musiqa tinglash.
安静	tinch; sokin	Kutubxonada juda tinch.
把	ushlamoq; olmoq; obyekt yuklamasi	Iltimos, eshikni yoping.
搬	ko'chmoq; ko'chirmoq	Biz ertaga ko'chamiz.
班	sinf; guruh	Bizning sinfda yigirmata o'quvchi bor.
办法	usul; yo'l	Bu usul juda yaxshi.
办公室	ofis; ish xonasi	Menejer ofisda.
半	yarim	Men yarim soat kutdim.
帮忙	yordam bermoq; ko'maklashmoq	Yordam bera olasizmi?
包	sumka; o'ramoq	U yangi sumka sotib oldi.
饱	to'q; to'ymoq	Men allaqachon to'ydim.
北方	shimol; shimoliy tomon	Shimolda qish juda sovuq bo'ladi.
被	majhul nisbat yuklamasi; tomonidan	Velosipedimni do'stim olib ketdi.
鼻子	burun	Uning burni biroz qizargan.
比较	taqqoslamoq; ancha	Bugun ancha issiq.
比赛	musobaqa; o'yin	Bu musobaqa juda muhim.
笔记本	daftar; bloknot	Men daftarni stol ustiga qo'ydim.
必须	shart; kerak	Sen albatta diqqat bilan takrorlashing kerak.
变化	o'zgarish; o'zgarmoq	Bu shahar juda o'zgargan.
别人	boshqalar	Boshqalarning narsalarini olmang.
冰箱	muzlatkich	Mevalar muzlatkichda.
不但…而且…	nafaqat... balki...	U nafaqat aqlli, balki juda tirishqoq ham.
菜单	menyu; taomnoma	Iltimos, menga bitta menyu bering.
参加	qatnashmoq; ishtirok etmoq	Men bu yig'ilishda qatnashmoqchiman.
草	o't; maysa	Kuchukcha maysa ustida yuguryapti.
层	qavat; qatlam	Bu binoda uch qavat bor.
差	yomon; farq; kamchilik	Bugungi ob-havo yomon.
超市	katta do'kon	Men non sotib olish uchun katta do'konga ketyapman.
衬衫	ko'ylak; erkaklar ko'ylagi	Bu ko'ylak juda toza.
城市	shahar	Pekin katta shahar.
成绩	natija; baho	Uning matematika baholari yaxshi.
迟到	kechikmoq	Darsga kechikmang.
除了	-dan tashqari; boshqa	Qahvadan tashqari, men choy ham xohlayman.
船	qayiq; kema	Biz o'sha shaharga qayiqda boramiz.
春	bahor	Bahorda gullar ko'p bo'ladi.
词典	lug'at	Bu lug'at juda foydali.
聪明	aqlli	Bu bola juda aqlli.
打扫	tozalamoq; supurmoq	Men dam olish kunlari xonani tozalayman.
打算	reja; rejalamoq	Ertaga qanday rejang bor?
带	olib kelmoq; o'zi bilan olmoq	Iltimos, pasportingizni olib keling.
担心	xavotir olmoq	Xavotir olmang, men sizga yordam beraman.
蛋糕	tort	Bu tort juda shirin.
当然	albatta	Albatta mumkin.
地	ravish yuklamasi	U xursand bo'lib kuldi.
灯	chiroq	Iltimos, chiroqni yoqing.
地方	joy; hudud	Bu joy juda tinch.
地铁	metro	Men har kuni ishga metroda boraman.
地图	xarita	Men xaritadan maktabni qidiryapman.
电梯	lift	Lift chap tomonda.
电子邮件	elektron pochta	Men o'qituvchiga elektron pochta yuboraman.
东	sharq	Quyosh sharqdan chiqadi.
冬	qish	Qishda men issiq choy ichishni yaxshi ko'raman.
动物	hayvon	Xitoy ayig'i Xitoyning mashhur hayvoni.
短	qisqa	Bu shim juda qisqa.
段	xatboshi; bo'lim	Iltimos, bu xatboshini o'qing.
锻炼	mashq qilmoq	Men har kuni ertalab mashq qilaman.
多么	qanchalik; naqadar	Bu yerdagi muhit naqadar yaxshi!
饿	och qolmoq; och	Men och qoldim, non yegim kelyapti.
耳朵	quloq	Qulog'im biroz og'riyapti.
发	yubormoq; chiqarmoq	Men kechqurun elektron pochta yuboraman.
发烧	isitmasi chiqmoq	Uning isitmasi chiqdi, maktabga bora olmaydi.
发现	topmoq; payqamoq	Men bu usul yaxshi ekanini payqadim.
方便	qulay	Metroda yurish juda qulay.
放	qo'ymoq; qo'yib yubormoq	Iltimos, kitobni stol ustiga qo'ying.
放心	xotirjam bo'lmoq; xavotir olmaslik	Xotirjam bo'ling, men vaqtida yetib kelaman.
分	bo'lmoq; taqsimlamoq	Iltimos, tortni hammaga bo'ling.
复习	takrorlamoq; qayta ko'rib chiqmoq	Imtihondan oldin darslarni takrorlashim kerak.
附近	yaqin; atrofda	Yaqinda bitta restoran bor.
干净	toza	Bu xona juda toza.
感冒	shamollamoq	Men shamolladim, dam olgim kelyapti.
感兴趣	qiziqmoq	Men xitoy tiliga juda qiziqaman.
刚才	hozirgina	Hozirgina kim sizga qo'ng'iroq qildi?
个子	bo'y; gavda	Uning bo'yi uzun.
根据	-ga ko'ra; asosida	Xaritaga ko'ra, maktab sharqda.
跟	bilan; ergashmoq	Men do'stim bilan parkka boraman.
更	yanada; ko'proq	Bugun kechagidan yanada sovuq.
公斤	kilogramm	Bu olmalar bir kilogramm keladi.
公园	jamoat bog'i	Bolalar jamoat bog'ida o'yin o'ynashyapti.
故事	hikoya	Bobom menga hikoya aytib beradi.
刮风	shamol esmoq	Bugun shamol esyapti, velosiped minmang.
关	yopmoq; o'chirmoq	Iltimos, eshikni yoping.
关系	munosabat	Hamkasbim bilan munosabatim yaxshi.
关心	g'amxo'rlik qilmoq; qayg'urmoq	Onam sog'lig'im haqida juda qayg'uradi.
关于	haqida	Bu kitob Xitoy madaniyati haqida.
国家	davlat; mamlakat	Xitoy juda katta mamlakat.
过	tajriba yuklamasi; ilgari qilgan bo'lmoq	Men Pekinga borganman.
过去	o'tmish; ilgari	Ilgari bu yerda metro yo'q edi.
还是	yoki; baribir	Choy ichasizmi yoki qahva?
害怕	qo'rqmoq	Men imtihondan qo'rqmayman.
黑板	doska	O'qituvchi doskaga ieroglif yozadi.
后来	keyin; keyinchalik	Keyin biz parkka bordik.
护照	pasport	Iltimos, pasportingizni olib keling.
96:花	sarflamoq; xarajat bo'lmoq	Telefon sotib olish ikki ming yuan turdi.
97:花	gul	Stol ustida bitta gul bor.
画	chizmoq; rasm	Singlim Xitoy ayig'ini chizishni yaxshi ko'radi.
坏	buzuq; yomon	Kompyuterim buzildi.
欢迎	xush kelibsiz; kutib olmoq	Uyimga xush kelibsiz.
环境	muhit	Bu maktabning muhiti juda yaxshi.
还	qaytarmoq; qaytarib bermoq	Iltimos, ertaga kitobimni qaytaring.
换	almashtirmoq; o'zgartirmoq	Men bitta ko'ylakni almashtirmoqchiman.
黄河	Huanghe daryosi; Sariq daryo	Huanghe daryosi juda uzun.
回答	javob bermoq; javob	Iltimos, savolimga javob bering.
会议	yig'ilish; majlis	Yig'ilish soat to'qqizda boshlanadi.
或者	yoki; balki	Siz metroda yoki avtobusda borishingiz mumkin.
几乎	deyarli	U deyarli har kuni mashq qiladi.
机会	imkoniyat	Bu yaxshi imkoniyat.
极	nihoyatda; juda	U nihoyatda xursand.
季节	fasl	Kuz men eng yaxshi ko'radigan fasl.
记得	eslamoq	Kredit kartani olib kelishni esladingizmi?
检查	tekshirmoq	Shifokor meni tekshiradi.
简单	oddiy; oson	Bu gap juda oddiy.
健康	sog'liq; sog'lom	Mashq sog'liq uchun foydali.
见面	uchrashmoq	Biz ertaga maktabda uchrashamiz.
讲	tushuntirmoq; gapirmoq	O'qituvchi juda aniq tushuntiradi.
教	o'rgatmoq; dars bermoq	U menga xitoy ierogliflarini yozishni o'rgatadi.
脚	oyoq	Oyog'im biroz og'riyapti.
角	burchak; burch	Po'kon ko'cha burchagida.
接	kutib olmoq; olib ketmoq	Men do'stimni kutib olish uchun aeroportga boraman.
街道	ko'cha	Bu ko'cha juda toza.
结婚	turmush qurmoq; uylanmoq	Ular kelasi yili turmush quradi.
结束	tugamoq; yakunlamoq	Musobaqa allaqachon tugadi.
节目	dastur	Bu televizion dastur juda yaxshi.
节日	bayram	Bahor bayrami Xitoyning muhim bayrami.
解决	hal qilmoq	Bu muammo allaqachon hal qilindi.
借	qarz olmoq; qarz bermoq	Men lug'atingizni qarzga olmoqchiman.
经常	tez-tez	Men tez-tez kutubxonaga boraman.
经过	yonidan o'tmoq; orqali o'tmoq	Men har kuni bu bog' yonidan o'taman.
经理	menejer	Menejer yig'ilishda.
久	uzoq vaqt	Men bu yerda uzoq vaqt yashadim.
旧	eski; ishlatilgan	Bu kiyim juda eski.
句子	gap; jumla	Iltimos, bitta gap yozing.
决定	qaror qilmoq; qaror	Men xitoy tilini o'rganishga qaror qildim.
可爱	yoqimli; shirin	Bu mushuk juda yoqimli.
渴	chanqamoq; chanqagan	Men juda chanqadim, suv ichgim kelyapti.
刻	chorak soat; lahza	Hozir soat sakkiz-u o'n besh.
客人	mehmon; mijoz	Bugun uyga mehmon keldi.
空调	konditsioner	Iltimos, konditsionerni yoqing.
口	og'iz; bir ho'plam	U bir ho'plam suv ichdi.
