simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
白天	dan; tokom dana	Tokom dana učim u školi.	dan; čez dan	Čez dan se učim v šoli.	diena; dienos metu	Dieną mokausi mokykloje.	diena; dienas laikā	Dienā es mācos skolā.	päev; päevasel ajal	Päeval õpin koolis.	dagur; á daginn	Á daginn læri ég í skólanum.
边	strana; ivica	Knjiga je pored stola.	stran; rob	Knjiga je poleg mize.	pusė; kraštas	Knyga yra prie stalo.	puse; mala	Grāmata ir blakus galdam.	serv; äär	Raamat on laua kõrval.	hlið; brún	Bókin er við hliðina á borðinu.
病	bolest; biti bolestan	On je bolestan.	bolezen; biti bolan	On je bolan.	liga; sirgti	Jis serga.	slimība; būt slimam	Viņš ir slims.	haigus; haige olema	Ta on haige.	veikindi; að vera veikur	Hann er veikur.
不要	ne; ne želeti	Ne pij previše kafe.	ne; ne hoteti	Ne pij preveč kave.	ne; nenorėti	Negerk per daug kavos.	nē; negribēt	Nedzer pārāk daudz kafijas.	ära; mitte tahtma	Ära joo liiga palju kohvi.	ekki; að vilja ekki	Ekki drekka of mikið kaffi.
唱	pevati	Moja mlađa sestra voli da peva kineske pesme.	peti	Moja mlajša sestra rada poje kitajske pesmi.	dainuoti	Mano jaunesnioji sesuo mėgsta dainuoti kiniškas dainas.	dziedāt	Mana jaunākā māsa labprāt dzied ķīniešu dziesmas.	laulma	Mu noorem õde laulab hea meelega hiina laule.	syngja	Yngri systir mín hefur gaman af að syngja kínversk lög.
车	auto; vozilo	Kod vrata stoji auto.	avto; vozilo	Pri vratih stoji avto.	automobilis; transporto priemonė	Prie durų stovi automobilis.	mašīna; transportlīdzeklis	Pie durvīm stāv mašīna.	auto; sõiduk	Ukse juures on auto.	bíll; farartæki	Bíllinn stendur við dyrnar.
大学	univerzitet	Stariji brat studira na univerzitetu.	univerza	Starejši brat študira na univerzi.	universitetas	Vyresnysis brolis studijuoja universitete.	universitāte	Vecākais brālis studē universitātē.	ülikool	Vanem vend õpib ülikoolis.	háskóli	Eldri bróðir minn stundar nám í háskóla.
大学生	student univerziteta	Ona je studentkinja.	študent na univerzi	Ona je študentka.	universiteto studentas	Ji yra universiteto studentė.	universitātes students	Viņa ir universitātes studente.	üliõpilane	Ta on üliõpilane.	háskólanemi	Hún er háskólanemi.
第	prefiks rednog broja	Ovo je prva lekcija.	predpona za vrstilno število	To je prva lekcija.	kelintinio skaitvardžio priešdėlis	Tai pirmoji pamoka.	kārtas skaitļa priedēklis	Šī ir pirmā nodarbība.	järgarvu eesliide	See on esimene tund.	forskeyti raðtölu	Þetta er fyrsta kennslustundin.
店	prodavnica	Ova prodavnica je mala.	trgovina	Ta trgovina je majhna.	parduotuvė	Ši parduotuvė maža.	veikals	Šis veikals ir mazs.	pood	See pood on väike.	búð	Þessi búð er lítil.
