source_headword	KK	example_KK
abolish	жою	Заң ескі төлемді жояды.
abortion	түсік	Түсік сезімтал медициналық мәселе болып қала береді.
absence	жоқтық	Оның жоқтығы түпкілікті шешімді кешіктірді.
absent	жоқ	Сабақта екі мүше жоқ болды.
absurd	абсурдты	Бұл мәлімдеме барлығына абсурдты болып көрінді.
abundance	молшылық	Аңғарда су мол.
abuse	қорлау	Есепте жұмыс орнындағы қорлау сипатталған.
academy	академия	Академия жас музыканттарды дайындайды.
accelerate	жеделдету	Жаңа қаржыландыру зерттеуді жеделдетеді.
acceptance	қабылдау	Оның сынды қабылдауы маған қатты әсер етті.
accessible	қолжетімді	Мұражай мүгедектер арбасын пайдаланушыларға қолжетімді.
accomplishment	жетістік	Кітапты аяқтау нағыз жетістік болды.
accordance	сәйкестік	Жұмыс саясатқа сәйкес орындалды.
accordingly	сәйкесінше	Дәлелдер өзгерді және біз сәйкесінше әрекет еттік.
accountability	жауапкершілік	Саясат менеджерлердің жауапкершілігін арттырады.
accountable	жауапты	Менеджерлер қауіпсіздікке жауапты.
accumulate	жиналу	Экранның артында шаң жиналуы мүмкін.
accumulation	жинақталу	Деректердің жинақталуына айлар кетті.
accusation	айыптау	Айыптау комитетті таң қалдырды.
accused	айыпталушы	Айыпталушы сотқа келді.
acquisition	сатып алу	Сатып алу компанияны жылдам кеңейтті.
acre	акр	Ферма бір акр жерді алып жатыр.
activation	белсендіру	Картаны белсендіру бірнеше минут алады.
activist	белсенді	Белсенді митингте сөз сөйледі.
acute	өткір	Ол жүгіргеннен кейін өткір ауырсынуды сезінді.
adaptation	бейімделу	Бейімделу романның соңын өзгертті.
adhere	ұстану	Қызметкерлер қауіпсіздік ережелерін ұстануы керек.
adjacent	көршілес	Қонақ үй станцияға көршілес орналасқан.
adjustment	түзету	Кішкентай түзету мәселені шешті.
administer	енгізу	Мейірбикелер вакцинаны мұқият енгізеді.
administrative	әкімшілік	Әкімшілік қызметкерлер формалармен жұмыс істейді.
administrator	әкімші	Әкімші менің құпиясөзімді қалпына келтірді.
admission	кіру	Мұражайға кіру тегін.
adolescent	жасөспірім	Жасөспірімге қосымша қолдау қажет болды.
adoption	асырап алу	Асырап алу балаға тұрақты үй берді.
adverse	жағымсыз	Дәрі жағымсыз әсерлер тудырды.
advocate	қорғаушы	Қорғаушы жалға алушылардың құқықтарын қорғады.
aesthetic	эстетикалық	Бөлменің тыныш эстетикалық стилі бар.
affection	сүйіспеншілік	Ол өз отбасына сүйіспеншілігін көрсетті.
aftermath	салдар	Дауылдың салдары қиын болды.
aggression	агрессия	Мұғалім үзіліс кезінде агрессияны байқады.
agricultural	ауылшаруашылық	Биыл ауылшаруашылық экспорты өсті.
aide	көмекші	Көмекші министрдің кестесін ұйымдастырды.
