simplified	KM	example_KM
爱	ស្រឡាញ់; ចូលចិត្ត	ខ្ញុំស្រឡាញ់ម៉ាក់។
八	ប្រាំបី	ខ្ញុំមានសៀវភៅប្រាំបីក្បាល។
爸爸	ប៉ា; ឪពុក	ប៉ានៅផ្ទះ។
杯子	ពែង; កែវ	ពែងនេះធំ។
北京	ប៉េកាំង	ខ្ញុំធ្វើការនៅប៉េកាំង។
本	លក្ខណនាមសម្រាប់សៀវភៅ; ក្បាល	ខ្ញុំមានសៀវភៅមួយក្បាល។
不	មិន; អត់	ខ្ញុំមិនញ៉ាំបាយទេ។
不客气	មិនអីទេ; អត់អីទេ	អរគុណ។ មិនអីទេ។
菜	ម្ហូប; បន្លែ; អាហារ	ម្ហូបនេះឆ្ងាញ់។
茶	តែ	ខ្ញុំផឹកតែ។
吃	ញ៉ាំ; បរិភោគ	ខ្ញុំញ៉ាំផ្លែប៉ោម។
出租车	តាក់ស៊ី	ខ្ញុំជិះតាក់ស៊ីទៅសាលារៀន។
打电话	ទូរស័ព្ទ; ហៅទូរស័ព្ទ	ខ្ញុំហៅទូរស័ព្ទ។
大	ធំ	សាលារៀននេះធំ។
的	របស់; ភាគល្អិតកម្មសិទ្ធិ	នេះជាសៀវភៅរបស់ខ្ញុំ។
点	ម៉ោង; ចំណុច; បន្តិច	ឥឡូវម៉ោងប្រាំបី។
电脑	កុំព្យូទ័រ	កុំព្យូទ័ររបស់ខ្ញុំនៅលើតុ។
电视	ទូរទស្សន៍	ខ្ញុំមើលទូរទស្សន៍។
电影	ភាពយន្ត; ខ្សែភាពយន្ត	ខ្ញុំចូលចិត្តភាពយន្ត។
东西	របស់; វត្ថុ	វត្ថុនេះជាអ្វី?
都	ទាំងអស់; ទាំងពីរ	យើងទាំងអស់គ្នាជាសិស្ស។
读	អាន; រៀន	ខ្ញុំអានសៀវភៅ។
对不起	សុំទោស	សុំទោស ខ្ញុំមិនស្គាល់អ្នកទេ។
多	ច្រើន	ខ្ញុំមានមិត្តភក្តិច្រើន។
多少	ប៉ុន្មាន; តម្លៃប៉ុន្មាន	ពែងនេះតម្លៃប៉ុន្មាន?
儿子	កូនប្រុស	កូនប្រុសរបស់ខ្ញុំជាសិស្ស។
二	ពីរ	ខែកុម្ភៈត្រជាក់។
饭馆	ភោជនីយដ្ឋាន	ភោជនីយដ្ឋាននៅខាងមុខសាលារៀន។
飞机	យន្តហោះ	ខ្ញុំជិះយន្តហោះទៅប៉េកាំង។
分钟	នាទី	ខ្ញុំរៀនរយៈពេលប្រាំនាទី។
高兴	រីករាយ; សប្បាយចិត្ត	ថ្ងៃនេះខ្ញុំសប្បាយចិត្តណាស់។
