source_headword	PT	example_PT
incur	incorrer	Atrasos podem incorrer em custos adicionais.
indicator	o indicador	O desemprego é um indicador económico.
indictment	a acusação	A acusação listava três crimes.
indigenous	indígena	Plantas indígenas crescem bem aqui.
induce	induzir	O medicamento pode induzir o sono.
indulge	satisfazer	Ela não satisfaz hábitos caros.
inequality	a desigualdade	A desigualdade de rendimentos continua a ser um problema importante.
infamous	infame	A prisão tornou-se infame em todo o mundo.
infant	o bebé	O bebé dormiu no berço.
infect	infetar	O vírus pode infetar células saudáveis.
inflict	infligir	Não deve infligir dor aos animais.
influential	influente	Ela é uma académica de direito influente.
inherent	inerente	O projeto tem riscos inerentes.
inhibit	inibir	O medo pode inibir uma discussão honesta.
initiate	iniciar	O gestor vai iniciar a avaliação.
inject	injetar	A enfermeira vai injetar a vacina.
injection	a injeção	A injeção reduziu a dor.
injustice	a injustiça	A decisão expôs uma clara injustiça.
inmate	o recluso	O recluso pediu aconselhamento legal.
insertion	a inserção	O formulário precisa de uma inserção de texto.
insider	o informador	Um informador divulgou o relatório.
inspect	inspecionar	Os oficiais inspecionam a ponte anualmente.
inspection	a inspeção	A inspeção encontrou danos graves.
inspiration	a inspiração	O discurso dela deu-me inspiração.
instinct	o instinto	O primeiro instinto dele foi ajudar.
institutional	institucional	Regras institucionais moldaram a decisão.
instruct	instruir	O manual vai instruir os novos funcionários.
instrumental	fundamental	O conselho dela foi fundamental nas negociações.
insufficient	insuficiente	A prova foi insuficiente para acusações.
insult	o insulto	O insulto dele encerrou a conversa.
intact	intacto	A antiga muralha permaneceu intacta.
intake	a ingestão	A ingestão de açúcar deve manter-se moderada.
integral	essencial	A confiança é essencial para a equipa.
integrated	integrado	A escola oferece apoio integrado.
integration	a integração	A integração melhorou todo o sistema.
integrity	a integridade	O juiz mostrou grande integridade.
intensify	intensificar	A tempestade pode intensificar-se durante a noite.
intensity	a intensidade	A intensidade do treino aumentou.
intensive	intensivo	Eles concluíram um treino de línguas intensivo.
intent	a intenção	A intenção dele era difícil de provar.
interactive	interativo	O museu tem exposições interativas.
interface	a interface	A interface é fácil de navegar.
interfere	interferir	Não deve interferir na investigação.
interference	a interferência	A interferência do sinal interrompeu a chamada.
interim	provisório	Um relatório provvisório chega amanhã.
interior	interior	As paredes interiores precisam de tinta.
intermediate	intermédio	Ela juntou-se à turma de nível intermédio.
intervene	intervir	A polícia teve de intervir rapidamente.
intervention	a intervenção	A intervenção precoce ajudou o paciente.
intimate	íntimo	Eles realizaram uma cerimónia familiar íntima.
intriguing	intrigante	Os dados revelaram um padrão intrigante.
investigator	o investigador	O investigador entrevistou cada testemunha.
invisible	invisível	O gás é invisível e perigoso.
invoke	invocar	O advogado tentou invocar o precedente.
involvement	o envolvimento	O envolvimento dele permaneceu pouco claro.
ironic	irónico	O comentário irónico fez todos rir.
ironically	ironicamente	Ironicamente, o percurso demorou mais tempo.
irony	a ironia	A ironia era óbvia para todos.
irrelevant	irrelevante	Esse detalhe é irrelevante aqui.
isolation	o isolamento	O isolamento pode prejudicar a saúde mental.
judicial	judicial	A revisão judicial começa na segunda-feira.
junction	o cruzamento	Vire à esquerda no cruzamento.
jurisdiction	a jurisdição	O tribunal tem jurisdição limitada.
just	justo	O juiz tomou uma decisão justa.
justification	a justificação	Precisamos de uma justificação clara para gastar.
kidnap	raptar	Criminosos tentaram raptar o diplomata.
kidney	o rim	A função renal dela melhorou.
kingdom	o reino	O reino expandiu-se sob o domínio dele.
lad	o rapaz	O jovem rapaz carregou os sacos.
landlord	o senhorio	O senhorio reparou o aquecimento.
landmark	o marco	A torre tornou-se um marco da cidade.
lap	o colo	A criança sentou-se no colo dela.
large-scale	em grande escala	A cidade planeou reparações em grande escala.
laser	o laser	O laser mediu a distância.
latter	este último	A última opção parece mais segura.
lawn	o relvado	As crianças brincavam no relvado.
lawsuit	o processo judicial	A empresa resolveu o processo judicial.
layout	a disposição	A disposição da página parece mais clara.
leak	a fuga	Uma fuga no cano inundou a cozinha.
leap	o salto	As vendas deram um salto repentino.
legacy	o legado	O legado dela moldou a universidade.
legendary	lendário	O cantor lendário regressou ao palco.
legislation	a legislação	A nova legislação protege os inquilinos.
legislative	legislativo	A comissão legislativa reuniu-se hoje.
legislature	a legislatura	A legislatura aprovou o orçamento.
legitimate	legítimo	Eles levantaram preocupações legítimas.
lengthy	longo	O longo debate atrasou a votação.
lesbian	lésbica	A ativista lésbica discursou no fórum.
lesser	menor	Escolha o risco menor.
