hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
3606:白白	白白	白白	uzalud; bespotrebno	Čekao je sat vremena uzalud.	zaman; po nepotrebnem	Eno uro je čakal zaman.	veltui; be reikalo	Jis veltui laukė valandą.	veltīgi; bez vajadzības	Viņš veltīgi gaidīja stundu.	asjata; ilmaasjata	Ta ootas tund aega asjata.	til einskis; að óþörfu	Hann beið í klukkutíma til einskis.
3607:白领	白领	白领	kancelarijski radnik; službenik	U ovom gradu ima mnogo mladih kancelarijskih radnika.	pisarniški uslužbenec; uradnik	V tem mestu je veliko mladih pisarniških uslužbencev.	biuro darbuotojas; tarnautojas	Šiame mieste yra daug jaunų biuro darbuotojų.	biroja darbinieks; ierēdnis	Šajā pilsētā ir daudz jaunu biroja darbinieku.	kontoritöötaja; ametnik	Selles linnas on palju noori kontoritöötajaid.	skrifstofustarfsmaður	Í þessari borg eru margir ungir skrifstofustarfsmenn.
3609:摆放	摆放	摆放	postaviti; rasporediti	Molim vas, uredno rasporedite materijale na stolu.	postaviti; razporediti	Prosimo, lepo razporedite gradivo po mizi.	išdėstyti; sudėti	Prašau tvarkingai sudėti medžiagą ant stalo.	novietot; sakārtot	Lūdzu, kārtīgi novietojiet materiālus uz galda.	paigutada; korrastada	Palun paigutage materjalid lauale korralikult.	raða; koma fyrir	Vinsamlegast raðið gögnunum snyrtilega á borðið.
3610:百分点	百分点	百分点	procentni poen	Stopa nezaposlenosti pala je za dva procentna poena.	odstotna točka	Stopnja brezposelnosti se je znižala za dve odstotni točki.	procentinis punktas	Nedarbo lygis sumažėjo dviem procentiniais punktais.	procentpunkts	Bezdarba līmenis samazinājās par diviem procentpunktiem.	protsendipunkt	Töötuse määr langes kahe protsendipunkti võrra.	prósentustig	Atvinnuleysi lækkaði um tvö prósentustig.
3611:百货	百货	百货	razna roba; roba široke potrošnje	Ova robna kuća je vikendom vrlo puna ljudi.	različno trgovsko blago; veleblagovnica	Ta veleblagovnica je ob koncih tedna zelo polna.	įvairios prekės; universalinės parduotuvės prekės	Savaitgaliais šioje universalinėje parduotuvėje būna daug žmonių.	dažādas preces; universālveikala preces	Šajā universālveikalā nedēļas nogalēs ir ļoti daudz cilvēku.	kaubamaja kaubad; laiatarbekaup	See kaubamaja on nädalavahetustel väga rahvarohke.	almennar vörur; vöruhúsvarningur	Þetta stórverslun er mjög fjölmenn um helgar.
3613:败	败	败	izgubiti; biti poražen	Naš tim je na kraju izgubio za jedan poen.	izgubiti; biti poražen	Naša ekipa je na koncu izgubila za eno točko.	pralaimėti; būti nugalėtam	Mūsų komanda galiausiai pralaimėjo vienu tašku.	zaudēt; tikt sakautam	Mūsu komanda beigās zaudēja ar viena punkta starpību.	kaotama; lüüa saama	Meie meeskond kaotas lõpuks ühe punktiga.	tapa; verða sigraður	Liðið okkar tapaði að lokum með einu stigi.
3616:版	版	版	izdanje; verzija	Izašlo je novo izdanje ove knjige.	izdaja; različica	Izšla je nova izdaja te knjige.	leidimas; versija	Išėjo naujas šios knygos leidimas.	izdevums; versija	Ir iznācis šīs grāmatas jaunais izdevums.	väljaanne; versioon	Sellest raamatust ilmus uus väljaanne.	útgáfa	Ný útgáfa af þessari bók er komin út.
3621:棒球	棒球	棒球	bejzbol	Deca igraju bejzbol u parku.	bejzbol	Otroci v parku igrajo bejzbol.	beisbolas	Vaikai parke žaidžia beisbolą.	beisbols	Bērni parkā spēlē beisbolu.	pesapall	Lapsed mängivad pargis pesapalli.	hafnabolti	Börnin spila hafnabolta í garðinum.
3623:保健	保健	保健	briga o zdravlju; očuvanje zdravlja	Stariji ljudi sve više obraćaju pažnju na očuvanje zdravlja.	skrb za zdravje; ohranjanje zdravja	Starejši ljudje vse bolj skrbijo za zdravje.	sveikatos priežiūra; sveikatos palaikymas	Vyresni žmonės vis daugiau dėmesio skiria sveikatos palaikymui.	veselības uzturēšana; veselības aprūpe	Gados vecāki cilvēki arvien vairāk rūpējas par veselības uzturēšanu.	tervise hoidmine; tervishoid	Vanemad inimesed pööravad tervise hoidmisele üha rohkem tähelepanu.	heilsuvernd; heilsurækt	Eldra fólk leggur sífellt meiri áherslu á heilsuvernd.
3624:保暖	保暖	保暖	utopliti se; čuvati toplotu	Kada izlaziš zimi, obrati pažnju da se utopliš.	ohraniti toploto; toplo se obleči	Ko greš pozimi ven, se dobro obleci.	laikyti šilumą; šiltai apsirengti	Žiemą eidamas į lauką pasirūpink šiluma.	saglabāt siltumu; silti saģērbties	Ziemā ejot ārā, jāpievērš uzmanība siltuma saglabāšanai.	soojas hoidma; soojalt riietuma	Talvel välja minnes tuleb end soojas hoida.	halda á sér hita	Þegar maður fer út að vetri þarf að halda á sér hita.
