hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
2002:哎呀	哎呀	哎呀	ვაი; ოჰ	ვაი, გასაღებები სახლში დამრჩა.	վա՜յ; օհ	Վա՜յ, բանալիներս տանը եմ մոռացել։
2005:安	安	安	მშვიდი; წყნარი	ბავშვის დაძინების შემდეგ ოთახი უცებ დაწყნარდა.	հանգիստ; խաղաղ	Երեխան քնելուց հետո սենյակը միանգամից խաղաղվեց։
2006:安全带	安全带	安全带	უსაფრთხოების ღვედი	მანქანის მართვამდე გთხოვთ უსაფრთხოების ღვედი შეიკრათ.	անվտանգության գոտի	Մեքենա վարելուց առաջ խնդրում եմ կապել անվտանգության գոտին։
2013:半夜	半夜	半夜	შუაღამე; ღამის გვიან	შუაღამეს მას ვიღაცამ დაურეკა.	կեսգիշեր; ուշ գիշեր	Կեսգիշերին նրան ինչ-որ մեկը զանգեց։
2020:宝	宝	宝	განძი; საყვარელი ადამიანი	ეს ძველი ნეფრიტი ოჯახის განძია.	գանձ; սիրելի անձ	Այս հին նեֆրիտը ընտանիքի գանձն է։
2021:保	保	保	დაცვა; შენარჩუნება	ჩვენ ეს ტყის ნაწილი უნდა დავიცვათ.	պաշտպանել; պահել	Մենք պետք է պաշտպանենք այս անտառային հատվածը։
2022:保安	保安	保安	დაცვის თანამშრომელი; უსაფრთხოება	შესასვლელთან დაცვის თანამშრომელმა ჩემი საბუთი შეამოწმა.	անվտանգության աշխատակից; անվտանգություն	Մուտքի մոտ անվտանգության աշխատակիցը ստուգեց իմ փաստաթուղթը։
2029:保质期	保质期	保质期	ვარგისიანობის ვადა	რძის ყიდვამდე ვარგისიანობის ვადა უნდა ნახო.	պիտանելիության ժամկետ	Կաթ գնելուց առաջ պետք է նայել պիտանելիության ժամկետը։
2034:暴雨	暴雨	暴雨	ძლიერი წვიმა; კოკისპირული წვიმა	ძლიერი წვიმის შემდეგ გზაზე ბევრი წყალი დაგროვდა.	հորդ անձրև	Հորդ անձրևից հետո ճանապարհին շատ ջուր կուտակվեց։
2037:背后	背后	背后	უკან; საფუძველი	წარმატების უკან ბევრი შრომაა.	հետևում; նախապատմություն	Հաջողության հետևում շատ ջանք կա։
2041:本地	本地	本地	ადგილობრივი	ეს მაღაზია ძირითადად ადგილობრივ ხილს ყიდის.	տեղական	Այս խանութը հիմնականում տեղական միրգ է վաճառում։
2046:比分	比分	比分	ანგარიში	თამაშის დასრულებისას ანგარიში სამი ორზე იყო.	հաշիվ	Խաղի ավարտին հաշիվը երեք երկուսի դիմաց էր։
2049:必	必	必	აუცილებლად; უნდა	მნიშვნელოვან დოკუმენტს აუცილებლად თავად პირი უნდა აწერდეს ხელს.	անպայման; պետք է	Կարևոր փաստաթուղթը անպայման պետք է ստորագրի տվյալ անձը։
2052:闭幕式	闭幕式	闭幕式	დახურვის ცერემონია	სპორტული შეხვედრის დახურვის ცერემონია საღამოს ტარდება.	փակման արարողություն	Մարզական միջոցառման փակման արարողությունը երեկոյան է անցկացվում։
2054:必需	必需	必需	აუცილებელი	წყალი და საკვები მოგზაურობისას აუცილებელი ნივთებია.	անհրաժեշտ	Ջուրն ու սնունդը ճանապարհորդության ընթացքում անհրաժեշտ բաներ են։
2057:变动	变动	变动	ცვლილება	ამ თვის სამუშაო განრიგში ცვლილებაა.	փոփոխություն	Այս ամսվա աշխատանքային ժամանակացույցում փոփոխություն կա։
2059:便利店	便利店	便利店	სადღეღამისო მაღაზია	ქვემოთ მდებარე სადღეღამისო მაღაზია მთელი დღე-ღამე მუშაობს.	հարմարավետ խանութ	Ներքևի հարմարավետ խանութը շուրջօրյա է աշխատում։
2067:饼	饼	饼	ბლინი; კვერი	დილით დედამ ჩემთვის კვერცხის ბლინი მოამზადა.	բլիթ; թխվածք	Առավոտյան մայրս ինձ համար ձվով բլիթ պատրաստեց։
2068:病房	病房	病房	საავადმყოფოს პალატა	ექთანმა პაციენტი საავადმყოფოს პალატაში მიიყვანა.	հիվանդասենյակ	Բուժքույրը հիվանդին տարավ հիվանդասենյակ։
2069:病情	病情	病情	ავადმყოფობის მდგომარეობა	ექიმმა თქვა, რომ მისი მდგომარეობა უკვე გაუმჯობესდა.	հիվանդության վիճակ	Բժիշկը ասաց, որ նրա վիճակն արդեն լավացել է։
2070:拨打	拨打	拨打	ნომრის აკრეფა; დარეკვა	ხანძრის შემთხვევაში გთხოვთ საგანგებო ნომერზე დარეკოთ.	հավաքել; զանգահարել	Հրդեհի դեպքում խնդրում եմ զանգահարել արտակարգ համարին։
2073:不利	不利	不利	არახელსაყრელი; საზიანო	ძლიერი ქარი შეჯიბრისთვის არახელსაყრელია.	անբարենպաստ	Ուժեղ քամին մրցման համար անբարենպաստ է։
2074:不幸	不幸	不幸	უბედური; უბედურება	ბავშვობაში მას უბედური გამოცდილება ჰქონდა.	դժբախտ; դժբախտություն	Նա մանկության տարիներին դժբախտ փորձառություն է ունեցել։
2078:不符	不符	不符	არ შეესაბამება	ბილეთზე მითითებული სახელი საბუთს არ შეესაბამება.	չհամընկնել	Տոմսի վրա նշված անունը փաստաթղթի հետ չի համընկնում։
2079:不良	不良	不良	ცუდი; მავნე	დიდხანს ღამის გათენება ცუდი ჩვევაა.	վատ; վնասակար	Երկար ժամանակ ուշ քնելը վատ սովորություն է։
2081:步行	步行	步行	ფეხით სიარული	აქედან სკოლამდე ფეხით მისვლა შეიძლება.	քայլել	Այստեղից դպրոց կարելի է քայլելով գնալ։
2083:才2	才2	才	ნიჭი; უნარი	მან ბავშვობიდანვე მუსიკის ნიჭი გამოავლინა.	տաղանդ; կարողություն	Նա փոքր տարիքից երաժշտական տաղանդ էր ցույց տալիս։
2087:彩色	彩色	彩色	ფერადი; მრავალფეროვანი	ბავშვებმა ფერადი რუკა დახატეს.	գունավոր; բազմագույն	Երեխաները գունավոր քարտեզ նկարեցին։
2088:采用	采用	采用	გამოყენება; მიღება	კომპანიამ ახალი მართვის მეთოდის გამოყენება გადაწყვიტა.	կիրառել; ընդունել	Ընկերությունը որոշեց կիրառել կառավարման նոր մեթոդ։
2090:餐饮	餐饮	餐饮	კვების მომსახურება	ამ სავაჭრო ცენტრის კვების ზონა მეხუთე სართულზეა.	սննդի սպասարկում	Այս առևտրի կենտրոնի սննդի գոտին հինգերորդ հարկում է։
2092:藏	藏	藏	დამალვა; შენახვა	მან საჩუქარი კარადაში დამალა.	թաքցնել; պահել	Նա նվերը պահարանում թաքցրեց։
2095:测	测	测	გაზომვა; შემოწმება	მასწავლებელმა გვთხოვა წყლის ტემპერატურა გაგვეზომა.	չափել; փորձարկել	Ուսուցիչը մեզ խնդրեց չափել ջրի ջերմաստիճանը։
