source_headword	IS	example_IS
prey	bráð	Ugla veiðir bráð á nóttunni.
privatization	einkavæðing	Einkavæðingin breytti lestarkerfinu.
privilege	forréttindi	Menntun ætti ekki að vera forréttindi.
probe	rannsókn	Rannsóknin leiddi alvarlegar villur í ljós.
problematic	vandasamur	Samkomulagið er enn vandasamt.
proceedings	málaferli	Málaferli hófust á mánudag.
proceeds	ágóði	Ágóðinn mun styðja staðbundna skóla.
processing	vinnsla	Myndvinnsla tekur tíma.
processor	örgjörvi	Örgjörvinn bilaði við prófun.
proclaim	lýsa yfir	Leiðtogar lýsa yfir sigri of snemma.
productive	afkastamikill	Fundurinn var afkastamikill.
productivity	framleiðni	Framleiðni jókst eftir þjálfun.
profitable	arðbær	Búðin varð arðbær á þessu ári.
profound	djúpstæður	Ræðan hafði djúpstæð áhrif.
projection	spá	Spáin sýnir stöðugan vöxt.
prominent	áberandi	Hún varð þekktur vísindamaður.
pronounced	áberandi	Hreimur hans varð meira áberandi.
propaganda	áróður	Herferðin notaði áróður á netinu.
proposition	uppástunga	Tillagan er áhættusöm uppástunga.
prosecute	lögsækja	Yfirvöld lögsækja alvarleg fjársvikamál.
prosecution	ákæruvald	Ákæruvaldið lagði fram ný sönnunargögn.
prosecutor	saksóknari	Saksóknarinn yfirheyrði vitnið.
prospective	tilvonandi	Tilvonandi nemendur skoðuðu háskólasvæðið.
prosperity	hagsæld	Verslun færði svæðinu hagsæld.
protective	hlífðar	Hún var með hlífðarhanska.
protocol	reglur	Reglurnar krefjast skriflegs samþykkis.
province	hérað	Héraðið fjárfesti í samgöngum.
provincial	héraðsbundinn	Héraðsfulltrúar kynntu áætlunina.
provision	ákvæði	Samningurinn inniheldur öryggisákvæði.
provoke	vekja	Ræðan gæti vakið sterk viðbrögð.
psychiatric	geðrænn	Sjúkrahúsið opnaði geðdeild.
pulse	púls	Hjúkrunarfræðingurinn athugaði púlsinn.
pump	dæla	Dælan færir vatnið upp.
punch	högg	Hann sló högg í reiði.
query	fyrirspurn	Sendu fyrirspurn þína til þjónustuversins.
quest	leit	Leit þeirra að réttlæti hélt áfram.
quota	kvóti	Liðið náði sölukvóta sínum.
radar	ratsjá	Stormurinn sást á ratsjá.
radical	róttækur	Hópurinn lagði til róttækar umbætur.
rage	reiði	Reiði hans rann fljótt af honum.
raid	húsleit	Lögreglan gerði húsleit í dögun.
rally	fjöldafundur	Stuðningsmenn mættu á fjöldafundinn í miðbænum.
ranking	staða	Háskólinn bætti stöðu sína.
rape	nauðgun	Nauðgunarmál krefjast vandlegrar rannsóknar.
ratio	hlutfall	Bekkurinn hefur lágt hlutfall kennara.
rational	skynsamlegur	Ákvörðun hennar var skynsamleg.
ray	geisli	Sólargeisli kom inn.
readily	greiðlega	Hann tók greiðlega við tilboðinu.
realization	uppgötvun	Uppgötvunin breytti áætlunum hennar.
realm	svið	Þessi spurning tilheyrir öðru sviði.
rear	aftari	Notaðu afturinnganginn í dag.
reasoning	rökfærsla	Rökfærsla hans var skýr.
reassure	hughreysta	Læknirinn reyndi að hughreysta hana.
rebel	uppreisnarmaður	Uppreisnarleiðtoginn komst undan handtöku.
rebellion	uppreisn	Uppreisninni lauk eftir samningaviðræður.
recipient	viðtakandi	Viðtakandinn skrifaði undir eyðublaðið.
reconstruction	endurreisn	Endurreisn hófst eftir flóðið.
recount1	rekja	Hún getur rakið atburði skýrt.
referendum	þjóðaratkvæðagreiðsla	Þjóðaratkvæðagreiðslan klauf landið.
reflection	íhugun	Ritgerðin þurfti dýpri íhugun.
reform	umbót	Umbótin bætti opinbera þjónustu.
refuge	skjól	Fjölskyldan leitaði skjóls erlendis.
refusal	neitun	Neitun hennar kom nefndinni á óvart.
regain	endurheimta	Hann lagði hart að sér við að endurheimta traust.
regardless	óháð	Þeir héldu áfram óháð gagnrýni.
regime	stjórn	Stjórnin takmarkaði tjáningarfrelsi.
regulator	eftirlitsaðili	Eftirlitsaðilinn sektaði fyrirtækið.
regulatory	eftirlits-	Eftirlitssamþykki tók marga mánuði.
