source_headword	MS	example_MS
rock (music)	muzik rock	Saya suka muzik rock.
role	peranan	Peranan dia penting.
roof	bumbung	Bumbung perlu dibaiki.
round	bulat	Meja ini bulat.
route	laluan	Laluan ini lebih pendek.
rubbish	sampah	Letakkan sampah di luar.
rude	biadab	Komen itu biadab.
runner	pelari	Pelari itu kelihatan letih.
running	berlari	Berlari membuat saya sihat.
sadly	malangnya	Malangnya, kami terlepas kereta api.
safe	selamat	Jalan ini terasa selamat.
sail	belayar	Kami belayar pada hari Sabtu.
sailing	pelayaran	Pelayaran popular di sini.
salary	gaji	Gajinya kini lebih tinggi.
sale	jualan	Jualan bermula esok.
sauce	sos	Tambah sos ke dalam nasi.
save	simpan	Simpan kerja anda sekarang.
scared	takut	Kanak-kanak itu berasa takut.
scary	menakutkan	Cerita ini menakutkan.
scene	babak	Babak terakhir itu lucu.
schedule	jadual	Semak jadual hari ini.
score	skor	Berapakah skornya?
screen	skrin	Bersihkan skrin dengan berhati-hati.
search	cari	Cari foto di web.
season	musim	Musim panas ialah musim yang sibuk.
seat	tempat duduk	Sila ambil tempat duduk ini.
second1 (next after the first)	kedua	Kedua, basuh tangan anda.
secondly	kedua	Kedua, semak jawapan anda.
secret	rahsia	Simpan rahsia ini dengan selamat.
secretary	setiausaha	Setiausaha menelefon hari ini.
seem	nampak seperti	Anda nampak seperti letih.
sense	masuk akal	Rancangan ini masuk akal.
separate	berasingan	Simpan kertas itu berasingan.
series	siri	Siri ini popular.
serious	serius	Masalah ini serius.
serve	menghidangkan	Mereka menghidangkan makan tengah hari pada tengah hari.
service	perkhidmatan	Perkhidmatan itu cepat.
several	beberapa	Beberapa pelajar tiba awal.
shake	goncang	Goncang botol dahulu.
shall modal	patutkah	Patutkah kita mula sekarang?
shape	bentuk	Lukis bentuk segi empat.
sheet	cadar	Letakkan cadar di atas katil.
ship	kapal	Kapal itu berlepas hari ini.
shoulder	bahu	Bahu saya sakit.
shout	menjerit	Jangan menjerit di dalam kelas.
shut	tutup	Tolong tutup tingkap.
side	sisi	Duduk di sisi ini.
sign	tanda	Baca tanda itu dengan teliti.
silver	perak	Perak ialah logam yang terang.
simple	mudah	Latihan ini mudah.
since	sejak	Saya telah menunggu sejak tengah hari.
singing	nyanyian	Nyanyian membantu saya berehat.
single	sehala	Saya membeli tiket sehala.
sir	tuan	Tuan, beg anda sudah siap.
site	laman web	Laman web ini selamat.
size	saiz	Saiz apa yang anda perlukan?
ski	bermain ski	Kami bermain ski pada musim sejuk.
skiing	bermain ski	Bermain ski seronok pada musim sejuk.
skin	kulit	Kulitnya terasa kering.
sky	langit	Langit cerah.
slowly	perlahan-lahan	Berjalan perlahan-lahan di atas ais.
smartphone	telefon pintar	Telefon pintar saya baharu.
smell	bau	Sup itu berbau harum.
smile	senyum	Senyum untuk kamera.
smoke	asap	Asap memenuhi bilik.
smoking	merokok	Merokok tidak dibenarkan.
soap	sabun	Gunakan sabun dan air.
soccer	bola sepak	Bola sepak popular di sini.
social	sosial	Ini acara sosial.
society	masyarakat	Masyarakat berubah mengikut masa.
sock	stoking	Satu stoking hilang.
soft	lembut	Selimut ini lembut.
soldier	askar	Askar itu pulang ke rumah.
solution	penyelesaian	Kami menemui penyelesaian.
solve	selesaikan	Selesaikan teka-teki ini.
somewhere	di suatu tempat	Letakkannya di suatu tempat yang selamat.
sort	jenis	Jenis apa yang anda mahu?
source	sumber	Semak sumber dahulu.
speaker	pembesar suara	Pembesar suara itu kuat.
specific	khusus	Saya perlukan jawapan yang khusus.
speech	ucapan	Ucapannya pendek.
speed	kelajuan	Kurangkan kelajuan anda di sini.
spider	labah-labah	Ada labah-labah di dinding.
spoon	sudu	Gunakan sudu untuk sup.
square	segi empat sama	Lukis kotak segi empat sama.
stage	pentas	Kumpulan muzik itu berada di pentas.
stair	anak tangga	Anak tangga itu rosak.
stamp	setem	Letakkan setem pada surat.
state	nyatakan	Nyatakan nama anda dengan jelas.
steal	mencuri	Jangan mencuri wang.
step	langkah	Ambil satu langkah ke hadapan.
stomach	perut	Perut saya sakit.
stone	batu	Batu itu berat.
store	kedai	Kedai ditutup awal.
storm	ribut	Ribut akan datang.
straight	terus	Pergi terus pulang.
strange	pelik	Bunyi itu pelik.
strategy	strategi	Kami memerlukan strategi.
stress	tekanan	Kerja boleh menyebabkan tekanan.
structure	struktur	Struktur ini kukuh.
stupid	bodoh	Itu kesilapan bodoh.
