simplified	TL	example_TL
哎	hoy; ay	Hoy, bakit ka nandito?
唉	hay; buntong-hininga	Hay, nahuli na naman ako.
爱护	alagaan; ingatan	Dapat nating alagaan ang kapaligiran.
爱惜	pahalagahan; ingatan	Pakiusap, pahalagahan mo ang sarili mong oras.
爱心	malasakit; mapagkalingang puso	Marami siyang malasakit.
安慰	aliwin; pagaanin ang loob	Inaliw ako ng kaibigan ko.
安装	ikabit; i-install	Ikinakabit ng manggagawa ang air conditioner.
岸	pampang; baybay-dagat	Dahan-dahang lumalapit ang bangka sa pampang.
暗	madilim; malabo	Madilim sa loob ng kuwarto.
熬夜	magpuyat	Masama sa katawan ang pagpupuyat.
把握	katiyakan; mahawakan	Hindi ako sigurado na magagawa ko ito nang maayos.
摆	ayusin; ilagay	Pakiayos nang maayos ang mga upuan.
办理	asikasuhin; iproseso	Pupunta ako sa bangko para asikasuhin ang ilang transaksiyon.
傍晚	takipsilim; bandang gabi	Maglalakad kami sa bandang gabi.
包裹	pakete	Nakatanggap ako ng isang pakete.
包含	maglaman; kasama	Kasama sa presyo ang almusal.
包括	kabilang; kasama	Kasama sa bayad ang tanghalian.
薄	manipis	Napakanipis ng aklat na ito.
保持	panatilihin; manatili	Pakiusap, manatiling tahimik.
保存	i-save; itago	Paki-save ang dokumentong ito.
保留	ireserba; panatilihin	Pakireserba ako ng isang upuan.
保险	seguro; ligtas	Bumili ako ng seguro sa paglalakbay.
宝贝	mahalagang bagay; kayamanan	Ito ang aking kayamanan.
宝贵	mahalaga; napakahalaga	Napakahalaga ng oras.
报到	magrehistro; mag-report	Dumating ngayon sa paaralan ang mga bagong estudyante para magrehistro.
报道	ulat-balita; iulat	Iniulat ng balita ang pangyayaring ito.
报告	ulat; mag-ulat	Nagbibigay siya ng ulat.
报社	tanggapan ng pahayagan	Nagtatrabaho siya sa isang tanggapan ng pahayagan.
抱怨	magreklamo	Palagi siyang nagrereklamo na sobrang dami ng trabaho.
悲观	pesimistiko; negatibo	Huwag kang masyadong pesimistiko.
背	likod	Nakaupo siya na nakatalikod sa pinto.
背景	pinagmulan; konteksto	Pakiikuwento nang maikli ang iyong pinagmulan.
被子	kumot; kubrekama	Mainit ang kumot.
本科	antas undergraduate; kursong pangkolehiyo	Estudyante siya sa antas undergraduate.
本领	kasanayan; kakayahan	Natutuhan niya ang isang bagong kasanayan.
本质	diwa; kalikasan	Payak ang diwa ng problema.
彼此	isa't isa	Dapat nating igalang ang isa't isa.
比例	proporsiyon; ratio	Halos pareho ang proporsiyon ng lalaki at babae.
必然	hindi maiiwasan; tiyak	Tiyak na may bunga ang pagsisikap.
必要	kailangan; kinakailangan	Hindi kailangang mag-alala.
毕竟	tutal; sa bandang huli	Tutal, bata pa rin siya.
避免	iwasan; maiwasan	Pakiwasang mahuli.
编辑	i-edit; editor	Siya ang responsable sa pag-edit ng artikulong ito.
鞭炮	paputok	May mga nagpapaputok tuwing Spring Festival.
便	pagkatapos ay; maginhawa	Pagkatapos kumain, pumunta siya agad sa klase.
辩论	debate; makipagdebate	Nagdedebate sila tungkol sa tanong na ito.
标点	bantas	Pakiusap, pansinin ang mga bantas.
标志	palatandaan; simbolo	Ang pulang ilaw ay palatandaan ng paghinto.
表达	ipahayag	Ipinahayag niya ang sarili niyang pananaw.
表面	ibabaw; panlabas	Malinis ang ibabaw ng mesa.
表明	ipakita; linawin	Ipinapakita ng resulta na tama siya.
表情	ekspresyon ng mukha	Napakaseryoso ng ekspresyon ng mukha niya.
表现	ipakita; pagganap	Napakahusay ng pagganap niya ngayon.
冰激凌	sorbetes	Mahilig kumain ng sorbetes ang mga bata.
病毒	birus	Mabilis kumalat ang ganitong uri ng birus.
播放	patugtugin; i-play	Paki-play ang kantang ito.
玻璃	salamin	Nabasag ang basong salamin.
博物馆	museo	Pupunta kami sa museo sa katapusan ng linggo.
脖子	leeg	Medyo masakit ang leeg ko.
不断	patuloy; walang tigil	Patuloy na tumataas ang presyo.
不见得	hindi naman tiyak	Hindi naman tiyak na masamang bagay ito.
不耐烦	naiinip; pagkainip	Matagal siyang naghintay kaya medyo nainip siya.
不要紧	hindi mahalaga; ayos lang	Ayos lang, hindi mahalaga.
补充	dagdagan; pandagdag	Gusto kong magdagdag ng isang opinyon.
不安	hindi mapalagay; balisa	Nabalisa siya nang marinig ang balitang ito.
不得了	napakaseryoso; grabe	Talagang seryoso ang bagay na ito.
不然	kung hindi; kung hindi naman	Bilisan natin, kung hindi ay mahuhuli tayo.
不如	mas mabuti; hindi kasimbuti	Sa halip na sumakay, mas mabuting maglakad.
不足	hindi sapat; kakulangan	Hindi sapat ang tubig dito.
布	tela	Napakalambot ng telang ito.
步骤	hakbang; proseso	Pakiusap, gawin ito ayon sa mga hakbang.
部门	kagawaran; departamento	Nagtatrabaho ako sa departamento ng benta.
财产	ari-arian	Ari-arian niya ang bahay na ito.
彩虹	bahaghari	Lumitaw ang bahaghari pagkatapos ng ulan.
踩	tapakan	Huwag tapakan ang damuhan.
