simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
吧	честица за предлагање; зар не?	Хајде да идемо.	predlagalni členek; kajne?	Pojdimo.	siūlymo dalelytė; ar ne?	Eikime.	ierosinājuma partikula; vai ne?	Iesim.
白	бео	Овај одевни предмет је бео.	bel	To oblačilo je belo.	baltas	Šis drabužis yra baltas.	balts	Šis apģērba gabals ir balts.
百	сто	Овај телефон кошта сто јуана.	sto	Ta telefon stane sto juanov.	šimtas	Šis telefonas kainuoja šimtą juanių.	simts	Šis telefons maksā simt juaņu.
帮助	помоћи; помоћ	Молим вас, помозите ми.	pomagati; pomoč	Prosim, pomagajte mi.	padėti; pagalba	Prašau man padėti.	palīdzēt; palīdzība	Lūdzu, palīdziet man.
报纸	новине	Тата чита новине.	časopis	Oče bere časopis.	laikraštis	Tėtis skaito laikraštį.	avīze	Tētis lasa avīzi.
比	него; поредити	Данас је топлије него јуче.	kot; primerjati	Danes je topleje kot včeraj.	negu; palyginti	Šiandien šilčiau negu vakar.	nekā; salīdzināt	Šodien ir siltāks nekā vakar.
别	немој; други	Не иди.	ne; drug	Ne pojdi.	ne; kitas	Neik.	nevajag; cits	Neaizej.
长	дуг	Овај пут је дуг.	dolg	Ta cesta je dolga.	ilgas	Šis kelias ilgas.	garš	Šis ceļš ir garš.
唱歌	певати	Моја млађа сестра воли да пева.	peti	Moja mlajša sestra rada poje.	dainuoti	Mano jaunesniajai sesei patinka dainuoti.	dziedāt	Manai jaunākajai māsai patīk dziedāt.
出	изаћи; излазити	Он је изашао.	iti ven; izstopiti	Šel je ven.	išeiti; išeidinėti	Jis išėjo.	iziet; iznākt	Viņš izgāja ārā.
穿	носити; обући	Носим белу одећу.	nositi; obleči	Nosim bela oblačila.	dėvėti; apsivilkti	Dėviu baltus drabužius.	valkāt; uzvilkt	Es valkāju baltas drēbes.
船	чамац; брод	Чамац је на води.	čoln; ladja	Čoln je na vodi.	valtis; laivas	Valtis yra ant vandens.	laiva; kuģis	Laiva ir uz ūdens.
次	пут; прилика	Био сам једном у Пекингу.	krat; priložnost	Enkrat sem bil v Pekingu.	kartas; atvejis	Vieną kartą buvau Pekine.	reize; gadījums	Es vienreiz esmu bijis Pekinā.
从	из; од	Идем од куће у школу.	iz; od	Od doma grem v šolo.	iš; nuo	Iš namų einu į mokyklą.	no; kopš	Es eju no mājām uz skolu.
错	погрешан; грешка	Грешиш.	narobe; napaka	Motiš se.	klaidingas; klaida	Tu klysti.	nepareizs; kļūda	Tu kļūdies.
打篮球	играти кошарку	Мој старији брат игра кошарку.	igrati košarko	Moj starejši brat igra košarko.	žaisti krepšinį	Mano vyresnysis brolis žaidžia krepšinį.	spēlēt basketbolu	Mans vecākais brālis spēlē basketbolu.
大家	сви	Сви су дошли.	vsi	Vsi so prišli.	visi	Visi atėjo.	visi	Visi ir atnākuši.
但是	али; међутим	Заузет сам, али сам веома срећан.	ampak; vendar	Imam veliko dela, ampak sem zelo vesel.	bet; tačiau	Esu užsiėmęs, bet labai laimingas.	bet; tomēr	Esmu aizņemts, bet ļoti priecīgs.
