source_headword	HI	example_HI
clothes	कपड़े	मेरे कपड़े साफ़ हैं।
club	क्लब	वह संगीत क्लब जाती है।
coat	कोट	मेरा कोट गर्म है।
coffee	कॉफ़ी	सुबह मैं कॉफ़ी पीता हूँ।
cold	ठंडा; सर्दी	पानी ठंडा है।
college	कॉलेज; विश्वविद्यालय	मेरी बहन विश्वविद्यालय में पढ़ती है।
colour	रंग	मेरा पसंदीदा रंग नीला है।
come	आना	कृपया यहाँ आओ।
common	आम; सामान्य	यह नाम आम है।
company	कंपनी	मेरी माँ कंपनी में काम करती है।
compare	तुलना करना	इन दो तस्वीरों की तुलना करो।
complete	पूरा; पूरा करना	फ़ॉर्म पूरा है।
computer	कंप्यूटर	यह कंप्यूटर नया है।
concert	संगीत कार्यक्रम	आज शाम हम संगीत कार्यक्रम में जा रहे हैं।
conversation	बातचीत	हमारी छोटी बातचीत हुई।
cook	पकाना; रसोइया	मैं घर पर रात का खाना पकाता हूँ।
cooking	खाना पकाना	मुझे पापा के साथ खाना पकाना पसंद है।
cool	ठंडा; शानदार	कमरा ठंडा है।
correct	सही; सुधारना	तुम्हारा उत्तर सही है।
cost	कीमत; खर्च होना	यह कितना खर्च होता है?
could modal	सकना; सकता था	मैं तुम्हारी मदद कर सकता था।
country	देश	कनाडा बड़ा देश है।
course	कोर्स	मैं अंग्रेज़ी का कोर्स कर रहा हूँ।
cousin	चचेरा भाई; चचेरी बहन	मेरा चचेरा भाई पास रहता है।
cow	गाय	गाय घास खाती है।
cream	क्रीम; मलाई	मैं कॉफ़ी में क्रीम डालता हूँ।
create	बनाना	वे नया खेल बनाते हैं।
culture	संस्कृति	हम स्थानीय संस्कृति के बारे में सीखते हैं।
cup	कप	यह कप खाली है।
customer	ग्राहक	ग्राहक सवाल पूछता है।
cut	काटना	सेब को आधा काटो।
dad	पापा	पापा काम पर हैं।
dance	नाचना; नृत्य	हम रात के खाने के बाद नाचते हैं।
dancer	नर्तक; नर्तकी	नर्तकी तेज़ी से चलती है।
dancing	नाचना	नाचना मज़ेदार है।
dangerous	खतरनाक	यह सड़क खतरनाक है।
