source_headword	ZH	example_ZH
ability	能力；本领	她的游泳能力很明显。
able	能够；有能力	他今天能够来。
abroad	在国外；去国外	她想在国外学习。
accept	接受	请接受这份小礼物。
accident	事故	事故发生在学校附近。
according to	根据；按照	根据报告，明天会下雨。
achieve	达到；实现	你可以实现目标。
act	行动；表演；行为	他能在戏里表演。
active	活跃的；积极的	她每天都很活跃。
actually	其实；实际上	其实我需要更多时间。
advantage	优势；好处	这个计划有一个好处。
adventure	冒险；奇遇	这次旅行是一次冒险。
advertise	做广告；宣传	他们宣传这个新职位。
advertisement	广告	我看见了一则广告。
advertising	广告；广告业	广告帮助销售食物。
affect	影响	睡眠会影响健康。
against	反对；靠着	不要靠着墙。
ah	啊；哦	啊，现在我明白了。
airline	航空公司	这家航空公司很忙。
alive	活着的	这条小鱼还活着。
all right	好；没问题	现在一切都好了。
allow	允许	这里允许带狗。
almost	几乎；差不多	我们差不多准备好了。
alone	独自；一个人	她一个人住。
along	沿着	沿着这条街走。
already	已经	我已经知道答案了。
alternative	替代选择；另一种办法	这列火车是另一种选择。
although	虽然；尽管	虽然很晚，我们可以留下。
among	在……之中	他站在树中间。
amount	数量；金额	数量太少了。
ancient	古老的	这面古墙很有名。
ankle	脚踝	我的脚踝今天疼。
anybody	任何人；有人	有人能回答吗？
any more	再；不再	我不再需要了。
anyway	无论如何；反正	无论如何，我们可以开始。
anywhere	任何地方；某处	坐在任何地方吧。
app	应用程序	这个应用程序很有用。
appear	出现	她的名字会出现在这里。
appearance	外表；出现	他的外表不一样。
apply	申请；应用	今天申请这个职位。
architect	建筑师	建筑师有一个计划。
architecture	建筑；建筑学	我喜欢现代建筑。
argue	争论；争吵	不要和你妹妹争吵。
argument	争论；论点	这场争论很短。
army	军队	这支军队很大。
arrange	安排；整理	请安排这次会议。
arrangement	安排；协议	这个安排很有效。
asleep	睡着的	婴儿睡着了。
assistant	助手；助理	助手帮助了我。
athlete	运动员	这名运动员跑得很快。
attack	攻击；袭击	这只狗可能会攻击人。
attend	参加；出席	我今天上课。
attention	注意；注意力	请注意。
attractive	有吸引力的	这个花园很有吸引力。
audience	观众；听众	观众很安静。
author	作者	作者写了这本书。
available	可用的；有空的	食物现在可以供应。
average	平均的；平均数	平均成绩很好。
avoid	避免	避免走那条繁忙的路。
award	奖；授奖	她得到一个奖。
awful	糟糕的；可怕的	天气很糟糕。
background	背景	照片有深色背景。
badly	差地；严重地	他今天打得很差。
bar	酒吧；吧台	我们在酒店酒吧见面。
baseball	棒球	棒球在这里很受欢迎。
based	基于；以……为基础	这部电影基于一本书。
basketball	篮球	我们放学后打篮球。
bean	豆子	这颗豆子是绿色的。
bear (animal)	熊	熊住在森林里。
beat	打败；敲打	我们队能打败他们。
beef	牛肉	我晚饭吃了牛肉。
behave	表现；举止	请在课堂上好好表现。
behaviour	行为；举止	他的行为很有礼貌。
belong	属于	这些鞋属于我。
belt	腰带	他的腰带是黑色的。
benefit	好处；益处	运动有真正的好处。
billion	十亿	十亿是一个很大的数字。
bin	垃圾桶	把纸放进垃圾桶。
biology	生物学	生物学是我最好的科目。
birth	出生	她在五月出生。
biscuit	饼干	她吃一块饼干。
bit	一点；小块	我需要多一点时间。
blank	空白；空的	把你的名字写在空白处。
blood	血；血液	血是红色的。
blow	吹；刮	风可能刮得很大。
board	黑板；板	把这个写在黑板上。
boil	煮沸	先把水煮沸。
bone	骨头	狗有一根骨头。
borrow	借	我可以借你的笔吗？
