source_headword	ES-419	example_ES-419
abandon	abandonar	Ellos abandonaron el plan ayer.
absolute	absoluto	Necesitamos honestidad absoluta aquí.
acceptable	aceptable	Su respuesta fue aceptable.
accompany	acompañar	Su hermano la acompañó a casa.
accurate	preciso	El informe parece preciso.
accuse	acusar	Lo acusaron de mentir.
acknowledge	reconocer	Por favor, reconoce el error.
acquire	adquirir	Ella adquirió nuevas habilidades rápidamente.
actual	real	El costo real fue menor.
adapt	adaptar	Nos adaptamos al cambio.
additional	adicional	Ayuda adicional llegó hoy.
administration	la administración	La administración cambió la política.
adopt	adoptar	Ellos adoptaron un nuevo método.
advance	el avance	Hicimos un pequeño avance.
affair	el asunto	El asunto dañó la confianza pública.
afterwards	después	Después, todos se sintieron tranquilos.
agency	la agencia	La agencia contrató a tres traductores.
agenda	la agenda	La seguridad está en la agenda.
aggressive	agresivo	Su tono sonó agresivo.
aid	la ayuda	La ayuda médica llegó rápidamente.
aircraft	la aeronave	La aeronave aterrizó a salvo.
alter	alterar	No alteres el acuerdo.
anger	el enojo	Su enojo sorprendió a todos.
angle	el ángulo	Prueba con otro ángulo de cámara.
anniversary	el aniversario	Su aniversario es mañana.
annual	anual	La reunión anual empieza el lunes.
anxious	ansioso	Ella se sintió ansiosa antes de la cirugía.
apparent	evidente	Su decepción era evidente.
apparently	al parecer	Al parecer, el tren llega tarde.
appeal	la apelación	La decisión puede enfrentar una apelación.
approach	el enfoque	Su enfoque resolvió el problema.
appropriate	apropiado	Elige una respuesta apropiada.
approval	la aprobación	El proyecto necesita aprobación.
approve	aprobar	La junta aprobó el presupuesto.
arise	surgir	Pueden surgir problemas más tarde.
armed	armado	Había guardias armados afuera.
arms	las armas	Ellos bajaron las armas.
artificial	artificial	Las flores se veían artificiales.
artistic	artístico	Ella tiene talento artístico.
ashamed	avergonzado	Él se sintió avergonzado después.
aspect	el aspecto	Considera cada aspecto con cuidado.
assess	evaluar	Debemos evaluar los daños.
assessment	la evaluación	La evaluación tomó dos horas.
associate	asociar	La gente asocia el humo con el peligro.
associated	asociado	El estrés está asociado con enfermedades.
association	la asociación	La asociación apoya a los artistas jóvenes.
assume	suponer	Supongo que estás de acuerdo.
attempt	el intento	Su primer intento fracasó.
bacteria	la bacteria	Las bacterias pueden propagarse rápidamente.
barrier	la barrera	El idioma era una barrera.
basically	básicamente	Básicamente, necesitamos más tiempo.
bear (deal with)	soportar	No puedo soportar este ruido.
beg	rogar	Por favor, ruega por ayuda.
being	el ser	Todo ser necesita agua.
bent	doblado	La barra de metal estaba doblada.
bet	apostar	Apuesto a que él lo sabe.
beyond	más allá de	El pueblo está más allá del río.
bitter	amargo	La medicina tenía un sabor amargo.
blame	culpar	No culpes al conductor.
blind	ciego	Él se quedó ciego de joven.
bond	el vínculo	La confianza crea un vínculo fuerte.
breast	el pecho	Ella sintió dolor en el pecho.
brief	breve	Mantén tu respuesta breve.
broad	ancho	El río es ancho aquí.
broadcast	transmitir	El discurso fue transmitido en vivo.
budget	el presupuesto	El presupuesto es muy ajustado.
bullet	la bala	La bala golpeó la pared.
bunch	el manojo	Ella llevaba un manojo de llaves.
bush	el arbusto	Un pájaro se escondió en el arbusto.
cable	el cable	El cable está roto.
calculate	calcular	Calcula el costo total.
cancel	cancelar	Ellos cancelaron la reunión.
cancer	el cáncer	El tratamiento del cáncer puede ser difícil.
capable	capaz	Ella es capaz de más.
capacity	la capacidad	El salón alcanzó su capacidad.
capture	capturar	La foto captura el ambiente.
cast	el elenco	El elenco está listo.
cell	la celda	Cada celda contiene datos.
chairman	el presidente	El presidente abrió la reunión.
characteristic	la característica	La paciencia es su principal característica.
chief	principal	El ingeniero principal llegó tarde.
circumstance	la circunstancia	Considera cada circunstancia cuidadosamente.
cite	citar	Por favor, cita tu fuente.
citizen	el ciudadano	Todo ciudadano puede votar.
