source_headword	FI	example_FI
abandon	hylätä	He hylkäsivät suunnitelman eilen.
absolute	ehdoton	Tarvitsemme ehdotonta rehellisyyttä.
acceptable	hyväksyttävä	Hänen vastauksensa oli hyväksyttävä.
accompany	seurata	Hänen veljensä seurasi häntä kotiin.
accurate	tarkka	Raportti vaikuttaa tarkalta.
accuse	syyttää	He syyttivät häntä valehtelusta.
acknowledge	myöntää	Myönnä virhe, ole hyvä.
acquire	hankkia	Hän hankki nopeasti uusia taitoja.
actual	todellinen	Todelliset kulut olivat pienemmät.
adapt	sopeutua	Sopeuduimme muutokseen.
additional	lisä-	Lisäapu saapui tänään.
administration	hallinto	Hallinto muutti käytäntöä.
adopt	ottaa käyttöön	He ottivat käyttöön uuden menetelmän.
advance	edistys	Teimme pientä edistystä.
affair	tapaus	Tapaus heikensi yleistä luottamusta.
afterwards	jälkeenpäin	Jälkeenpäin kaikki rauhoittuivat.
agency	toimisto	Toimisto palkkasi kolme kääntäjää.
agenda	asialista	Turvallisuus on asialistalla.
aggressive	aggressiivinen	Hänen sävynsä kuulosti aggressiiviselta.
aid	apu	Lääketieteellinen apu saapui nopeasti.
aircraft	lentokone	Lentokone laskeutui turvallisesti.
alter	muuttaa	Älä muuta sopimusta.
anger	viha	Hänen vihansa yllätti kaikki.
angle	kulma	Kokeile toista kamerakulmaa.
anniversary	vuosipäivä	Heidän vuosipäivänsä on huomenna.
annual	vuosittainen	Vuosittainen kokous alkaa maanantaina.
anxious	huolestunut	Hän oli huolestunut ennen leikkausta.
apparent	ilmeinen	Hänen pettymyksensä oli ilmeinen.
apparently	ilmeisesti	Ilmeisesti juna on myöhässä.
appeal	valitus	Päätös voi johtaa valitukseen.
approach	lähestymistapa	Hänen lähestymistapansa ratkaisi ongelman.
appropriate	sopiva	Valitse sopiva vastaus.
approval	hyväksyntä	Hanke tarvitsee hyväksynnän.
approve	hyväksyä	Hallitus hyväksyi budjetin.
arise	syntyä	Ongelmia voi syntyä myöhemmin.
armed	aseistettu	Aseistetut vartijat seisoivat ulkona.
arms	aseet	He laskivat aseensa.
artificial	keinotekoinen	Kukat näyttivät keinotekoisilta.
artistic	taiteellinen	Hänellä on taiteellista lahjakkuutta.
ashamed	häpeissään	Myöhemmin hän tunsi häpeää.
aspect	näkökulma	Harkitse jokaista näkökulmaa.
assess	arvioida	Meidän täytyy arvioida vahingot.
