simplified	KA	example_KA
挨	გაძლება	მან მთელი ღამე გაუძლო და ბოლოს გათენებას დაელოდა.
癌症	კიბო	კიბოს ადრეული აღმოჩენა ძალიან მნიშვნელოვანია.
暧昧	ორაზროვანი	მისი პასუხი ძალიან ორაზროვანი იყო.
爱不释手	ხელიდან ვერ გაშვება	ეს წიგნი ისე მოეწონა, რომ ხელიდან ვერ გაუშვა.
爱戴	სიყვარული და პატივისცემა	მოსწავლეებს ეს მასწავლებელი ძალიან უყვართ და პატივს სცემენ.
安宁	მშვიდი	აქ ღამეები ძალიან მშვიდია.
安详	მშვიდი	მოხუცის სახე მშვიდი იყო.
安置	დაბინავება	მთავრობამ დაზარალებულები დააბინავა.
按摩	მასაჟი	მასაჟზე წინასწარ ჩავეწერე.
暗示	მინიშნება	მან მიმანიშნა, რომ აღარ მეკითხა.
案件	საქმე	პოლიცია ამ საქმეს იძიებს.
案例	მაგალითი	ეს მაგალითი ძალიან დამახასიათებელია.
昂贵	ძვირი	ეს მოწყობილობა ძალიან ძვირია.
凹凸	უსწორმასწორო	ამ გზის ზედაპირი უსწორმასწოროა.
熬	გაძლება	მან სამი დღე გაუძლო და ანგარიში დაასრულა.
奥秘	საიდუმლო	მეცნიერს ამ საიდუმლოს გამხელა სურს.
巴不得	ერთი სული აქვს	ერთი სული მაქვს, როდის გავემგზავრები.
巴结	მაამებლობა	მას უფროსებთან მაამებლობა არ სურს.
扒	ჩაჭიდება	ბავშვი კარს ჩაეჭიდა და გარეთ იყურებოდა.
疤	ნაიარევი	მის მკლავზე ერთი ნაიარევია.
拔苗助长	აჩქარებით საქმის გაფუჭება	ბავშვის ასე იძულება მხოლოდ საქმეს გააფუჭებს.
把关	შემოწმება	ამ ხელშეკრულებას იურისტის შემოწმება სჭირდება.
把手	სახელური	კარის სახელური გატყდა.
罢工	გაფიცვა	მუშებმა ხვალ გაფიცვა გადაწყვიტეს.
霸道	მბრძანებლური	ის ძალიან მბრძანებლურად ლაპარაკობს.
掰	გატეხვა	მან პური ორ ნაწილად გატეხა.
摆脱	თავის დაღწევა	მან ბოლოს ცუდ ჩვევას თავი დააღწია.
拜访	სტუმრობა	შაბათ-კვირას მასწავლებელს ვესტუმრებით.
拜年	საახალწლო მილოცვა	გაზაფხულის დღესასწაულზე ბებია-ბაბუას მივულოცეთ.
拜托	თხოვნა	გთხოვ, ეს საქმე შენ გააკეთე.
败坏	შელახვა	ასეთი ქცევა კომპანიის სახელს შელახავს.
斑	ლაქა	კატას სხეულზე შავი ლაქა აქვს.
颁布	გამოცხადება	ახალი წესები მომავალ კვირას გამოცხადდება.
颁发	გაცემა	სკოლამ გამორჩეულ მოსწავლეებს სიგელები გადასცა.
版本	ვერსია	ამ პროგრამას ახალი ვერსია აქვს.
伴侣	თანამგზავრი	ის ძაღლს თავის თანამგზავრად მიიჩნევს.
伴随	თან ახლდეს	წარმატებას ხშირად სტრესი ახლავს.
半途而废	შუა გზაზე მიტოვება	კვლევის შუა გზაზე მიტოვება არ შეიძლება.
扮演	როლის შესრულება	ფილმში ის ექიმის როლს ასრულებს.
榜样	მისაბაძი მაგალითი	მშობლები ბავშვებისთვის მისაბაძი მაგალითია.
绑架	გატაცება	პოლიციამ გატაცების საქმე აღკვეთა.
磅	ფუნტი	ეს ყუთი ოცი ფუნტი იწონის.
包庇	დაფარვა	დანაშაულის დაფარვა არავის შეუძლია.
包袱	ტვირთი	ტვირთი რომ მოიხსნა, უფრო თავისუფლად იგრძნო თავი.
包围	ალყაში მოქცევა	ჟურნალისტებმა მსახიობი ალყაში მოაქციეს.
包装	შეფუთვა	ამ საჩუქრის შეფუთვა ძალიან ლამაზია.
保管	შენახვა	ამ დოკუმენტებს მე ვინახავ.
保密	საიდუმლოდ შენახვა	შეხვედრის შინაარსი საიდუმლოდ უნდა დარჩეს.
保姆	ძიძა	მათ ერთი ძიძა დაიქირავეს.
保守	კონსერვატიული	მისი აზრები საკმაოდ კონსერვატიულია.
保卫	დაცვა	ჯარისკაცები საზღვარს იცავენ.
保养	მოვლა	ამ მანქანას რეგულარული მოვლა სჭირდება.
保障	უზრუნველყოფა	კანონი მოქალაქეთა უფლებებს უზრუნველყოფს.
保重	თავის გაფრთხილება	შორს ყოფნისას თავს კარგად გაუფრთხილდი.
饱和	გაჯერება	ეს ბაზარი თითქმის გაჯერებულია.
饱经沧桑	ბევრის გადატანა	ამ მოხუცმა ბევრი რამ გადაიტანა.
报酬	ანაზღაურება	მან სამართლიანი ანაზღაურება მიიღო.
报仇	შურისძიება	მას შურისძიება არ სურს, მხოლოდ თავიდან დაწყება უნდა.
