source_headword	SV	example_SV
toss	kasta	Hon kastade nycklarna på bordet.
total	uppgå till	Reparationerna uppgår till mer än förväntat.
toxic	giftig	Den giftiga röken tvingade alla utomhus.
trademark	ett varumärke	Logotypen blev företagets varumärke.
trail	en stig	Stigen ledde genom skogen.
trailer	en trailer	Trailern visade filmens slut.
transaction	en transaktion	Transaktionen syntes på mitt kontoutdrag.
transcript	ett betygsutdrag	Studenten begärde ett officiellt betygsutdrag.
transformation	en förvandling	Staden genomgick en stor förvandling.
transit	en transport	Paketet skadades under transporten.
transmission	en överföring	Överföringen av data var säker.
transparency	en transparens	Rapporten krävde ökad transparens.
transparent	transparent	Processen bör vara transparent för alla.
trauma	ett trauma	Olyckan lämnade ett djupt trauma.
treaty	ett fördrag	Länderna skrev under ett fredsfördrag.
tremendous	enorm	Laget gjorde enorma framsteg.
tribal	stam-	Museet ställde ut stamkonst.
tribunal	en tribunal	Tribunalen hörde bevisning hela veckan.
tribute	en hyllning	Konserten var en hyllning till henne.
trio	en trio	Trion uppträdde på festivalen.
triumph	en triumf	Segern var en personlig triumf.
trophy	en trofé	Kaptenen lyfte stolt trofén.
troubled	krisande	Det krisande företaget behövde nytt ledarskap.
trustee	en förvaltare	Förvaltaren hanterar stipendiefonden.
tuition	en undervisningsavgift	Hennes undervisningsavgift höjdes i år.
turnout	ett valdeltagande	Valdeltagandet var högre än förväntat.
turnover	en personalomsättning	Personalomsättningen sjönk efter förändringarna.
twist	vrida	Hon vred upp locket.
undergraduate	en universitetsstudent	Studenten på grundnivå gick med i ett forskningsprojekt.
underlying	underliggande	Rapporten förklarade de underliggande orsakerna.
undermine	underminera	Skandalen underminerade allmänhetens förtroende.
undoubtedly	utan tvekan	Hon är utan tvekan den bästa kandidaten.
unify	ena	Planen syftar till att ena teamen.
unprecedented	exempellös	Stormen orsakade exempellös skada.
unveil	avtäcka	Företaget kommer att presentera designen imorgon.
upcoming	kommande	Det kommande valet väckte allmänhetens uppmärksamhet.
upgrade	uppgradera	Vi uppgraderade programvaran i natt.
uphold	fastställa	Vi fastställer det ursprungliga beslutet.
utility	en allmännyttig tjänst	Lägenheten inkluderar alla kostnader för el och vatten.
utilize	använda	Teamet använde de tillgängliga uppgifterna.
utterly	fullkomligt	Förklaringen var fullkomligt förvirrande.
vacuum	ett vakuum	Vakuumet i ledarskapet skapade spänningar.
vague	vag	Hans svar var vagt och svagt.
validity	en giltighet	Studien ifrågasatte testets giltighet.
vanish	försvinna	Filen försvann från mappen.
variable	en variabel	Priset är en viktig variabel.
varied	varierad	Kursen erbjuder varierade uppgifter.
vein	en ven	Sjuksköterskan hittade snabbt en ven.
venture	ett projekt	Det nya projektet lockade investerare.
verbal	muntlig	De nådde en muntlig överenskommelse.
verdict	en dom	Juryn meddelade sin dom.
verify	verifiera	Vänligen verifiera din e-postadress.
verse	en vers	Hon citerade en vers från dikten.
versus	kontra	Debatten handlade om integritet kontra säkerhet.
vessel	ett fartyg	Fartyget fraktade spannmål över havet.
veteran	en veteran	Veteranen utbildade den nya personalen.
viable	genomförbar	Förslaget är ekonomiskt genomförbart.
vibrant	pulserande	Staden har en pulserande konstscen.
vice	en last	Girighet var hans största last.
vicious	brutal	Den brutala attacken chockade staden.
villager	en bybo	En bybo guidade oss till floden.
violate	bryta mot	Företaget kan bryta mot säkerhetsreglerna.
violation	en överträdelse	Inspektören rapporterade en allvarlig överträdelse.
virtue	en dygd	Tålamod är en viktig dygd.
vocal	frispråkig	Hon var frispråkig om beslutet.
vow	lova	Han svor att avsluta arbetet.
vulnerability	en sårbarhet	Revisionen avslöjade en säkerhetssårbarhet.
vulnerable	sårbar	Barn är sårbara under extrem hetta.
ward	en avdelning	Patienten flyttade till en annan avdelning.
warehouse	ett lager	Lagret förvarar reservdelar.
warfare	en krigföring	Modern krigföring förlitar sig på teknik.
warrant	en husrannsakningsorder	Politiet visade en husrannsakningsorder.
warrior	en krigare	Krigaren skyddade byn.
weaken	försvaga	Skadan försvagade hans grepp.
weave	fläta	Hon lärde sig att fläta korgar.
weed	ett ogräs	Ett ogräs växte mellan stenarna.
well	en brunn	Byns brunn sinade.
well-being	ett välbefinnande	Sömn är avgörande för välbefinnandet.
whatsoever	överhuvudtaget	Han visade inget intresse överhuvudtaget.
whereby	varigenom	Lagen skapade ett system varigenom familjer kunde överklaga.
whilst	medan	Hon arbetade medan han vilade.
whip	piska	Vinden kan piska flaggorna.
wholly	helt	Beslutet var helt oväntat.
widen	bredda	Staden planerar att bredda vägen.
widow	en änka	Änkan bor nära skolan.
width	en bredd	Mät dörrens bredd.
willingness	en villighet	Hennes villighet att hjälpa imponerade på alla.
wipe	torka	Torka skärmen med en trasa.
wit	en kvickhet	Hans kvickhet gjorde talet livfullt.
withdrawal	ett tillbakadragande	Tillbakadragandet av finansieringen försenade projektet.
workout	ett träningspass	Träningspasset varade i fyrtio minuter.
worship	en gudstjänst	Människor samlades för gudstjänst i gryningen.
worthwhile	värd besväret	Resan var värd besväret.
worthy	värdig	Välgörenheten är värdig stöd.
yell	skrika	Skrik inte åt personalen.
yield	en avkastning	Gårdens avkastning förbättrades den här säsongen.
youngster	en ungdom	Ungdomen ställde många frågor.
