source_headword	NL	example_NL
prey	de prooi	Uilen jagen 's nachts op prooien.
privatization	de privatisering	De privatisering veranderde het spoorwegnet.
privilege	het voorrecht	Onderwijs mag geen voorrecht zijn.
probe	het onderzoek	Het onderzoek bracht ernstige fouten aan het licht.
problematic	problematisch	De overeenkomst blijft problematisch.
proceedings	de procedure	De gerechtelijke procedure is maandag begonnen.
proceeds	de opbrengst	De opbrengst gaat naar lokale scholen.
processing	de verwerking	Beeldverwerking kost tijd.
processor	de processor	De processor faalde tijdens het testen.
proclaim	uitroepen	Leiders roepen de overwinning te vroeg uit.
productive	productief	De vergadering was productief.
productivity	de productiviteit	De productiviteit verbeterde na de training.
profitable	winstgevend	De winkel werd dit jaar winstgevend.
profound	diepgaand	De toespraak had een diepgaand effect.
projection	de prognose	De prognose laat een gestage groei zien.
prominent	prominent	Ze werd een prominente wetenschapper.
pronounced	uitgesproken	Zijn accent werd duidelijker.
propaganda	de propaganda	De campagne gebruikte online propaganda.
proposition	het voorstel	Het voorstel is een riskante onderneming.
prosecute	vervolgen	Ambtenaren vervolgen ernstige fraudezaken.
prosecution	de vervolging	De aanklager presenteerde nieuw bewijs.
prosecutor	de aanklager	De aanklager ondervroeg de getuige.
prospective	toekomstig	Toekomstige studenten kregen een rondleiding over de campus.
prosperity	de welvaart	Handel bracht welvaart in de regio.
protective	beschermend	Ze droeg beschermende handschoenen.
protocol	het protocol	Het protocol vereist schriftelijke goedkeuring.
province	de provincie	De provincie investeerde in vervoer.
provincial	provinciaal	Provinciale functionarissen kondigden het plan aan.
provision	de bepaling	Het contract bevat een veiligheidsbepaling.
provoke	uitlokken	De toespraak kan sterke reacties uitlokken.
psychiatric	psychiatrisch	Het ziekenhuis opende een psychiatrische afdeling.
pulse	de hartslag	De verpleegkundige controleerde zijn hartslag.
pump	de pomp	De pomp verplaatst water naar boven.
punch	de stomp	Hij deelde een stomp uit uit woede.
query	de vraag	Stuur uw vraag naar de ondersteuning.
quest	de zoektocht	Hun zoektocht naar gerechtigheid ging door.
quota	het quotum	Het team heeft het verkoopquotum gehaald.
radar	de radar	De storm verscheen op de radar.
radical	radicaal	De groep stelde radicale hervormingen voor.
rage	de woede	Zijn woede verdween snel.
raid	de inval	De politie voerde een inval bij zonsopgang uit.
rally	de bijeenkomst	Voorstanders sloten zich aan bij de bijeenkomst in het centrum.
ranking	de ranglijst	De universiteit verbeterde haar positie op de ranglijst.
rape	de verkrachting	Verkrachtingszaken vereisen een zorgvuldig onderzoek.
ratio	de verhouding	De klas heeft een lage leraar-leerlingverhouding.
rational	rationeel	Haar beslissing was rationeel.
ray	de straal	Er kwam een zonnestraal naar binnen.
