source_headword	BN	example_BN
strengthen	শক্তিশালী করা	নতুন নীতি অনলাইন নিরাপত্তাকে শক্তিশালী করবে।
strictly	কঠোরভাবে	টিকিট জনপ্রতি কঠোরভাবে দুটিতে সীমাবদ্ধ।
striking	আকর্ষণীয়	পেইন্টিংটির আকর্ষণীয় রং রয়েছে।
stroke	আঁচড়	সে কাগজের উপর একটি আঁচড় টানল।
stunning	অত্যাশ্চর্য	পাহাড়ের দৃশ্যটি অত্যাশ্চর্য ছিল।
subsequent	পরবর্তী	পরবর্তী সভায় বাজেট নিশ্চিত করা হয়।
subsequently	পরবর্তীতে	রাস্তাটি বন্ধ হয়ে যায়; পরবর্তীতে, যানজট ধীরে ধীরে চলতে থাকে।
suburb	শহরতলি	তারা একটি শান্ত শহরতলিতে বাস করে।
suffering	কষ্ট	ওষুধটি তার কষ্ট কমিয়ে দেয়।
sufficient	পর্যাপ্ত	দলটির কাছে পর্যাপ্ত সময় আছে।
sufficiently	যথেষ্ট	ঘরটি যথেষ্ট গরম।
super	খুব	নতুন ট্যাবলেটটি খুব দ্রুত।
surgeon	সার্জন	সার্জন ক্ষতিগ্রস্ত হাঁটু ঠিক করেছেন।
survival	বেঁচে থাকা	বেঁচে থাকার জন্য পরিষ্কার পানি অপরিহার্য।
survivor	জীবিত ব্যক্তি	জীবিত ব্যক্তিটি বন্যার বর্ণনা দিয়েছিলেন।
suspend	স্থগিত করা	স্কুলটি ট্রিপ স্থগিত করতে পারে।
sustainable	টেকসই	খামারটি টেকসই পদ্ধতি ব্যবহার করে।
swallow	গিলে ফেলা	পানি দিয়ে ট্যাবলেটটি গিলে ফেলুন।
sympathetic	সহানুভূতিশীল	ম্যানেজার তার সমস্যার প্রতি সহানুভূতিশীল ছিলেন।
tackle	মোকাবিলা করা	আমাদের আবাসন সমস্যা মোকাবিলা করতে হবে।
tag	ট্যাগ	ব্যাগটিতে একটি মূল্যের ট্যাগ ছিল।
tap	ট্যাপ	সে ট্যাপটি বন্ধ করে দিল।
technological	প্রযুক্তিগত	প্রযুক্তিগত পরিবর্তন প্রতিটি কর্মক্ষেত্রকে প্রভাবিত করে।
teens	কিশোর-কিশোরী	অনেক কিশোর-কিশোরী প্রতিদিন সোশ্যাল মিডিয়া ব্যবহার করে।
temple	মন্দির	মন্দিরটি নদীর কাছে অবস্থিত ছিল।
temporarily	সাময়িকভাবে	অফিসটি সাময়িকভাবে বন্ধ আছে।
tendency	প্রবণতা	তার দেরিতে পৌঁছানোর প্রবণতা রয়েছে।
tension	উত্তেজনা	আলোচনার সময় উত্তেজনা বেড়ে যায়।
terms	শর্তাবলী	চুক্তির শর্তাবলী স্পষ্ট ছিল।
terribly	ভীষণভাবে	শিশুটি ভীষণভাবে বিচলিত ছিল।
terrify	আতঙ্কিত করা	বিকট শব্দ কুকুরটিকে আতঙ্কিত করে।
territory	ভূখণ্ড	মানচিত্রটি নতুন ভূখণ্ড দেখাচ্ছে।
terror	আতঙ্ক	হামলার পর আতঙ্ক ছড়িয়ে পড়ে।
terrorism	সন্ত্রাসবাদ	সন্ত্রাসবাদ জননিরাপত্তাকে হুমকির মুখে ফেলে।
terrorist	সন্ত্রাসী	পুলিশ গতকাল সন্ত্রাসীকে গ্রেপ্তার করেছে।
testing	পরীক্ষা	পণ্যের পরীক্ষা সোমবার শুরু হবে।
textbook	পাঠ্যবই	সে তার জীববিজ্ঞানের পাঠ্যবই ভুলে গেছে।
theft	চুরি	এলাকায় চুরি বেড়েছে।
therapist	থেরাপিস্ট	থেরাপিস্ট তাকে উদ্বেগ নিয়ন্ত্রণে সাহায্য করেছিলেন।
thesis	থিসিস	তার থিসিস অনলাইন শিক্ষা নিয়ে আলোচনা করে।
thorough	পুঙ্খানুপুঙ্খ	একটি পুঙ্খানুপুঙ্খ পর্যালোচনায় কোনও ত্রুটি পাওয়া যায়নি।
thoroughly	পুঙ্খানুপুঙ্খভাবে	ক্ষতটি পুঙ্খানুপুঙ্খভাবে পরিষ্কার করুন।
thumb	বৃদ্ধাঙ্গুলি	সে সম্মতি জানাতে তার বৃদ্ধাঙ্গুলি তুলে ধরল।
timing	সময়	কলটির সময় একদম নিখুঁত ছিল।
tissue	টিস্যু	সে টিস্যু দিয়ে গ্লাসটি মুছে ফেলল।
ton	টন	ট্রাকটি এক টন বালি বহন করছিল।
tonne	টন	চালানটির ওজন এক টন ছিল।
tournament	টুর্নামেন্ট	টেনিস টুর্নামেন্ট আগামীকাল শুরু হবে।
trace	সন্ধান করা	বিজ্ঞানীরা ভাইরাসের উৎস সন্ধান করতে পারেন।
trading	ট্রেডিং	শেয়ার ট্রেডিং দুপুরে বন্ধ হয়ে যায়।
tragedy	ট্র্যাজেডি	দুর্ঘটনাটি ছিল এক ভয়ানক ট্র্যাজেডি।
tragic	মর্মান্তিক	দুর্ঘটনার মর্মান্তিক পরিণতি হয়েছিল।
trait	বৈশিষ্ট্য	ধৈর্য একটি দরকারী বৈশিষ্ট্য।
