source_headword	LV	example_LV
absorb	absorbēt	Dvielis ātri uzsūc ūdeni.
abstract	abstrakts	Lekcijā tika apspriestas abstraktas idejas.
accent	akcents	Viņas akcentu ir viegli saprast.
accidentally	nejauši	Es nejauši izdzēsu failu.
accommodate	pielāgoties	Viesnīca var uzņemt lielas ģimenes.
accomplish	sasniegt	Viņa sasniedza savu mērķi pirms jūnija.
accountant	grāmatvedis	Grāmatvedis pārbaudīja rēķinu.
accuracy	precizitāte	Tests mēra lasīšanas precizitāti.
accurately	precīzi	Karte precīzi parāda maršrutu.
acid	skābe	Skābe sabojāja metāla virsmu.
activate	aktivizēt	Nospiediet pogu, lai aktivizētu trauksmi.
addiction	atkarība	Viņa atkarība ietekmēja viņa darbu.
additionally	papildus	Papildus mums vajag vairāk krēslu.
adequate	adekvāts	Istabā ir pietiekams apgaismojums.
adequately	adekvāti	Ziņojums atbilstoši izskaidroja problēmu.
adjust	pielāgot	Pirms braukšanas noregulējiet sēdekli.
affordable	pieejams	Dzīvoklis ir par pieņemamu cenu studentiem.
agriculture	lauksaimniecība	Lauksaimniecība uztur daudzas lauku ģimenes.
AIDS	AIDS	Ārsti ārstē AIDS ar modernām zālēm.
alien	citplanētietis	Filma parāda citplanētiešu planētu.
alongside	līdzās	Veloceliņš stiepjas gar upi.
altogether	pavisam	Kopumā projekts aizņēma sešas nedēļas.
ambulance	ātrā palīdzība	Ātrā palīdzība ieradās dažu minūšu laikā.
amusing	uzjautrinošs	Stāsts bija amizants un viegls.
analyst	analītiķis	Analītiķis pārskatīja pārdošanas datus.
ancestor	sencis	Mans sencis dzīvoja netālu no šī ciema.
animation	animācija	Animācija padarīja stundu skaidrāku.
annually	ikgadēji	Festivāls tiek rīkots ik gadu.
anticipate	paredzēt	Mēs rīt paredzam intensīvu satiksmi.
anxiety	trauksme	Trauksme var apgrūtināt gulēšanu.
apology	atvainošanās	Viņa piedāvāja patiesu atvainošanos.
applicant	pretendents	Pretendents nosūtīja jaunu CV.
appropriately	atbilstoši	Lūdzu, ģērbieties atbilstoši intervijai.
arrow	bulta	Bulta norāda uz izeju.
artwork	mākslas darbs	Muzejā bija izstādīti vietējie mākslas darbi.
aside	malā	Viņa pagāja malā, lai ļautu viņam paiet garām.
asset	aktīvs	Pieredze ir liela vērtība.
assign	piešķirt	Skolotājs šodien uzdeva mājasdarbu.
assistance	palīdzība	Lūdzu, lūdziet palīdzību personālam.
assumption	pieņēmums	Šis pieņēmums var būt nepareizs.
assure	pārliecināt	Es jums apliecinu, ka durvis ir aizslēgtas.
astonishing	pārsteidzošs	Skats no klints bija pārsteidzošs.
attachment	pielikums	E-pastā ir iekļauts pielikums.
auction	izsole	Glezna tika pārdota izsolē.
audio	audio	Audio ieraksts izklausās skaidri.
automatic	automātisks	Durvīm ir automātiska slēdzene.
automatically	automātiski	Gaismas ieslēdzas automātiski.
awareness	apziņa	Kampaņa vairoja sabiedrības izpratni.
awkward	neveikls	Klusums šķita neērts.
badge	nozīmīte	Apmeklētājiem jānēsā nozīmīte.
balanced	līdzsvarots	Sabalansēta diēta iekļauj dārzeņus.
ballet	balets	Pēc skolas viņa mācās baletu.
balloon	balons	Balons lidinājās virs galda.
barely	tikko	Viņš tik tikko dzirdēja paziņojumu.
bargain	izdevīgs pirkums	Tā jaka bija tiešām izdevīgs pirkums.
basement	pagrabs	Kastes ir pagrabā.
basket	grozs	Viņa ielika ābolus grozā.
bat	sikspārnis	Sikspārnis izlidoja no alas.
beneficial	noderīgs	Regulāras fiziskās aktivitātes ir noderīgas veselībai.
beside	blakus	Lampa atrodas blakus dīvānam.
besides	turklāt	Papildus matemātikai viņš mācās ķīmiju.
bias	aizspriedums	Raksts parādīja skaidru neobjektivitāti.
bid	piedāvājums	Uzņēmums izteica augstāku piedāvājumu.
biological	bioloģisks	Bioloģiskais tests apstiprināja rezultātu.
blanket	sega	Bērns gulēja zem segas.
blow	trieciens	Spēcīgais trieciens izsita logu.
bold	drosmīgs	Virsrakstā bija izmantoti trekni burti.
bombing	bombardēšana	Bombardēšana sabojāja vairākas ēkas.
booking	rezervācija	Es apstiprināju viesnīcas rezervāciju.
boost	stimuls	Uzvara vairoja komandas pārliecību.
bound	pienākums	Paka bija sasieta ar auklu.
brick	ķieģelis	Siena ir celta no ķieģeļiem.
briefly	īsi	Viņa īsi runāja pēc pusdienām.
broadcaster	raidorganizācija	Raidījuma vadītājs intervēja mēru.
broadly	plaši	Abi plāni kopumā ir līdzīgi.
bug	vabole	Lietotne avarēja kļūdas dēļ.
cabin	kajīte	Mēs palikām nelielā mājiņā.
canal	kanāls	Laivas lēnām pārvietojās pa kanālu.
candle	svece	Svece dega uz galda.
carbon	ogleklis	Koki absorbē oglekli no gaisa.
casual	ikdienišķs	Viņš uz darbu vilka ikdienišķas drēbes.
cave	ala	Pārgājiena dalībnieki iegāja alā.
certainty	pārliecība	Mēs nevaram to zināt ar noteiktību.
certificate	sertifikāts	Viņa saņēma apmācību sertifikātu.
challenging	izaicinošs	Kurss bija izaicinošs, bet noderīgs.
championship	čempionāts	Mūsu komanda sasniedza čempionāta finālu.
charming	burvīgs	Vecā iela izskatījās burvīga.
chase	pakaļdzīšanās	Suns dzinās pakaļ bumbai.
cheek	vaigs	Asara tecēja pa viņas vaigu.
cheer	uzmundrinājums	Pūlis sāka skaļi gavilēt.
choir	koris	Koris dziedāja skaisti.
chop	cirst	Sakapājiet sīpolus mazos gabaliņos.
circuit	shēma	Skrējējs pabeidza apli.
civilization	civilizācija	Senā civilizācija veidoja šo reģionu.
clarify	paskaidrot	Lūdzu, precizējiet pēdējo punktu.
classify	klasificēt	Zinātnieki klasificē dzīvniekus pa sugām.
clerk	ierēdnis	Darbinieks izdrukāja čeku.
cliff	klints	Taka beidzas netālu no klints.
clinic	klīnika	Klīnika tiek atvērta astoņos.
clip	izgriezums	Viņa piestiprināja saspraudi papīram.
coincidence	sakritība	Satikšanās tur bija sakritība.
collector	kolekcionārs	Kolekcionārs nopirka retas monētas.
colony	kolonija	Skudras izveidoja lielu koloniju.
colourful	krāsains	Tirgus bija spilgts un krāsains.
comic	komikss	Komiskā aina lika mums smieties.
commander	komandieris	Komandieris deva skaidras pavēles.
comparative	salīdzinošs	Esejā izmantoti salīdzinoši dati.
completion	pabeigšana	Tilts ir tuvu pabeigšanai.
compose	sacerēt	Viņš komponēs mūziku filmai.
composer	komponists	Komponists sarakstīja jaunu dziesmu.
compound	savienojums	Savienojums satur divas ķīmiskas vielas.
comprehensive	visaptverošs	Ceļvedis sniedz visaptverošas instrukcijas.
comprise	ietvert	Komanda sastāv no pieciem dalībniekiem.
compulsory	obligāts	Apmeklējums šajā stundā ir obligāts.
concrete	betons	Grīda ir izgatavota no betona.
confess	atzīties	Viņš atzinās kļūdā savam skolotājam.
confusion	apjukums	Kavēšanās radīja apjukumu.
consequently	līdz ar to	Lija lietus; līdz ar to spēle tika apturēta.
conservation	saglabāšana	Dabas aizsardzība sargā retus dzīvniekus.
considerable	ievērojams	Remonts aizņēma ievērojamu laiku.
considerably	ievērojami	Šogad cenas ievērojami cēlās.
consistently	konsekventi	Viņa darbojas konsekventi labi.
conspiracy	sazvērestība	Policija izmeklēja sazvērestību.
consult	konsultēties	Pirms zāļu lietošanas konsultējieties ar ārstu.
consultant	konsultants	Konsultants ieteica jaunu stratēģiju.
consumption	patēriņš	Enerģijas patēriņš pagājušajā mēnesī samazinājās.
controversial	pretrunīgs	Politika joprojām ir pretrunīga.
controversy	pretruna	Lēmums izraisīja domstarpības.
convenience	ērtība	Veikals piedāvā lielas ērtības.
convention	konvencija	Ikgadējais kongress sākas pirmdien.
conventional	tradicionāls	Viņš izvēlējās tradicionālu dizainu.
convey	paust	Vēstījums pauda līdzjūtību.
convincing	pārliecinošs	Viņas paskaidrojums bija pārliecinošs.
cope	tikt galā	Viņa iemācījās tikt galā ar stresu.
corporation	korporācija	Korporācija atvēra jaunu biroju.
corridor	gaitenis	Koridors bija šaurs un kluss.
counter (long flat surface)	lete	Atslēgas atrodas uz virtuves letes.
coverage	atspoguļojums	Ziņu atspoguļojums ilga visu vakaru.
crack	plaisa	Sienā parādījās plaisa.
craft	amatniecība	Viņa internetā pārdod rokdarbus.
creativity	radošums	Radošums palīdz risināt problēmas.
critically	kritiski	Raksts bija kritiski svarīgs.
cruise	kruīzs	Viņi rezervēja kruīzu uz Grieķiju.
cue	zīme	Aktieris palaida garām savu norādi.
curious	ziņkārīgs	Bērns bija zinātkārs par kosmosu.
curriculum	mācību programma	Skola atjaunināja savu mācību programmu.
cute	piemīlīgs	Kucēns izskatījās mīlīgs.
dairy	pienotava	Saimniecība ražo piena produktus.
dare	uzdrīkstēties	Es tevi izaicinu to pamēģināt.
darkness	tumsa	Istaba piepildījās ar tumsu.
database	datubāze	Datubāze glabā klientu ierakstus.
deadline	termiņš	Termiņš ir piektdien.
deadly	nāvējošs	Čūskai ir nāvējoša inde.
dealer	tirgotājs	Automašīnu tirgotājs piedāvāja atlaidi.
deck	klājs	Krēsli atrodas uz terases.
defender	aizsargs	Aizsargs bloķēja metienu.
delete	izdzēst	Dzēsiet veco ziņu.
democracy	demokrātija	Demokrātija ir atkarīga no brīvām vēlēšanām.
democratic	demokrātisks	Balsojumā tika ievēroti demokrātiski noteikumi.
demonstration	demonstrācija	Studenti pievienojās demonstrācijai.
depart	doties prom	Vilciens aties pusdienlaikā.
dependent	atkarīgs	Bērns ir atkarīgs no pieaugušajiem.
deposit	depozīts	Viņa iemaksāja drošības naudu par dzīvokli.
depression	depresija	Depresijai nepieciešams profesionāls atbalsts.
derive	iegūt	Daudzi vārdi ir atvasināti no latīņu valodas.
desperately	izmisīgi	Viņam izmisīgi vajadzēja ūdeni.
destruction	iznīcināšana	Vētra izraisīja plašus postījumus.
determination	apņēmība	Viņas apņēmība atstāja iespaidu uz treneri.
devote	veltīt	Viņa velta nedēļas nogales mācībām.
differ	atšķirties	Viņu viedokļi krasi atšķiras.
disability	invaliditāte	Ēkā ir pieejamība cilvēkiem ar invaliditāti.
disabled	atspējots	Sportists ar invaliditāti izcīnīja medaļu.
disagreement	nesaskaņas	Sanāksme beidzās ar domstarpībām.
disappoint	pievilt	Rezultāts var pievilt līdzjutējus.
disappointment	vilšanās	Viņš izjuta dziļu vilšanās sajūtu.
discourage	atrunāt	Neatrunājiet jaunos audzēkņus.
disorder	traucējums	Ārsts diagnosticēja miega traucējumus.
distant	tāls	Kalni izskatījās tāli.
distinct	atšķirīgs	Abas skaņas ir atšķirīgas.
distinguish	atšķirt	Vai jūs varat atšķirt šīs krāsas?
distract	novērst uzmanību	Troksnis var novērst studentu uzmanību.
disturb	traucēt	Lūdzu, netraucējiet pacientu.
dive	nirt	Viņi nirs netālu no rīfa.
diverse	daudzveidīgs	Pilsētā ir daudzveidīgas kultūras.
diversity	daudzveidība	Mēs svinam kultūras daudzveidību.
divorce	šķiršanās	Šķiršanās bija grūta visiem.
dominant	dominējošs	Dominējošā komanda kontrolēja spēli.
donation	ziedojums	Labdarības organizācija saņēma ziedojumu.
dot	punkts	Ielieciet punktu aiz skaitļa.
downtown	pilsētas centrs	Pēc darba satikāmies pilsētas centrā.
dramatically	dramatiski	Cena ievērojami kritās.
drought	sausums	Sausums sabojāja ražu.
dull	garlaicīgs	Lekcija bija garlaicīga.
dump	izmest	Neizmetiet atkritumus šeit.
duration	ilgums	Lidojuma ilgums ir trīs stundas.
dynamic	dinamisks	Klase šķita dinamiska.
economics	ekonomika	Viņa studē ekonomiku universitātē.
economist	ekonomists	Ekonomists prognozēja lēnāku izaugsmi.
editorial	redakcionāls	Ievadrakstā tika kritizēts likums.
efficiently	efektīvi	Komanda strādāja efektīvi.
elbow	elkonis	Viņš savainoja elkoni.
electronics	elektronika	Veikals pārdod elektroniku.
elegant	elegants	Kleita izskatījās eleganta.
elementary	elementārs	Grāmata izskaidro elementāru gramatiku.
eliminate	novērst	Komanda novērsa vairākas kļūdas.
embrace	pieņemt	Viņa pieņēma jauno ideju.
emission	emisija	Automašīnu emisiju līmenis kritās.
emotionally	emocionāli	Viņš emocionāli runāja par savu ģimeni.
empire	impērija	Impērija pastāvēja gadsimtiem ilgi.
enjoyable	patīkams	Ceļojums bija patīkams.
entertaining	izklaidējošs	Izrāde bija izklaidējoša.
entrepreneur	uzņēmējs	Uzņēmējs atvēra kafejnīcu.
envelope	aploksne	Ielieciet vēstuli aploksnē.
equip	aprīkot	Skola aprīkos laboratoriju.
equivalent	ekvivalents	Viens dolārs šeit nav ekvivalents.
era	ēra	Atklājums aizsāka jaunu ēru.
erupt	izvirst	Vulkāns drīz var izvirst.
essentially	būtībā	Abas metodes būtībā ir identiskas.
ethic	ētika	Viņa darba ētika ir spēcīga.
ethnic	etniskais	Festivāls svin etniskās tradīcijas.
evaluation	novērtējums	Kurss ietver gala novērtējumu.
evident	acīmredzams	Viņa nervozitāte bija acīmredzama.
evolution	evolūcija	Evolūcija izskaidro daudzas bioloģiskas izmaiņas.
evolve	attīstīt	Valodas laika gaitā attīstās.
exceed	pārsniegt	Pieprasījums var pārsniegt piedāvājumu.
exception	izņēmums	Ir viens izņēmums.
excessive	pārmērīgs	Pārmērīgs troksnis traucē kaimiņiem.
