source_headword	PT	example_PT
heal	curar	O descanso ajuda o corpo a curar.
healthcare	os cuidados de saúde	Os custos dos cuidados de saúde subiram este ano.
helmet	o capacete	Usa um capacete na bicicleta.
hence	portanto	Portanto, mudámos o horário.
herb	a erva	O manjericão é uma erva útil.
hidden	escondido	A chave estava escondida debaixo do tapete.
highway	a autoestrada	A autoestrada foi fechada depois da neve.
hilarious	hilariante	O filme era hilariante.
hip	a anca	Ela magoou a anca durante o treino.
historian	o historiador	O historiador estudou cartas antigas.
homeless	sem-abrigo	O abrigo ajuda famílias sem-abrigo.
honesty	a honestidade	A honestidade constrói a confiança.
hook	o gancho	Pendura o casaco no gancho.
hopefully	esperançosamente	Com sorte, o comboio chega em breve.
hunger	a fome	A fome pode afetar a concentração.
hypothesis	a hipótese	A experiência testou a hipótese.
icon	o ícone	O ícone da aplicação mudou hoje.
ID	o documento de identificação	Mostre o seu documento de identificação na receção.
identical	idêntico	Os gémeos usavam casacos idênticos.
illusion	a ilusão	O espelho cria uma ilusão.
immigration	a imigração	A política de imigração mudou no ano passado.
immune	imune	A vacinação pode tornar as pessoas imunes.
implement	implementar	A escola vai implementar a política.
implication	a implicação	A implicação era clara.
incentive	o incentivo	O bónus deu aos trabalhadores um incentivo.
incorporate	incorporar	Incorpora mais vegetais nas refeições.
incorrect	incorreto	A resposta estava incorreta.
independence	a independência	O país celebrou a independência.
index	o índice	Verifica o índice para o tópico.
indication	a indicação	O sorriso foi uma indicação de alívio.
inevitable	inevitável	Algum atraso era inevitável.
inevitably	inevitavelmente	Inevitavelmente, os preços subiram após a escassez.
infer	inferir	Podemos inferir a resposta a partir do contexto.
inflation	a inflação	A inflação aumentou os preços da comida.
info	a informação	O site lista informação útil.
infrastructure	a infraestrutura	A tempestade danificou a infraestrutura local.
inhabitant	o habitante	Cada habitante recebeu água limpa.
inherit	herdar	Ela vai herdar a casa da família.
ink	a tinta	A impressora precisa de tinta preta.
innovation	a inovação	A inovação impulsiona a indústria.
innovative	inovador	A empresa lançou um produto inovador.
input	a contribuição	O gestor pediu uma contribuição.
insert	inserir	Insere o cartão na máquina.
inspector	o inspetor	O inspetor verificou o edifício.
installation	a instalação	A instalação demorou duas horas.
instant	instantâneo	A aplicação enviou uma resposta instantânea.
instantly	instantaneamente	O ecrã ligou-se instantaneamente.
integrate	integrar	O software pode integrar novas ferramentas.
intellectual	intelectual	O debate foi intelectual mas amigável.
interact	interagir	Os alunos interagem durante o trabalho de grupo.
interaction	a interação	A interação foi educada.
interpretation	a interpretação	A sua interpretação do poema foi original.
interval	o intervalo	Houve um curto intervalo entre os atos.
invade	invadir	O exército tentou invadir a ilha.
invasion	a invasão	A invasão danificou muitas cidades.
investor	o investidor	O investidor financiou uma nova startup.
isolate	isolar	Os médicos isolam doentes com infeções graves.
isolated	isolado	A aldeia ficou isolada pela neve.
jail	a prisão	O ladrão foi para a prisão.
jet	o jato	O jato aterrou ao meio-dia.
joint	conjunto	Eles anunciaram um projeto conjunto.
journalism	o jornalismo	O jornalismo requer factos precisos.
jury	o júri	O júri chegou a uma decisão.
kit	o kit	O kit de reparação inclui parafusos.
ladder	a escada	A escada estava encostada à parede.
landing	a aterragem	O avião fez uma aterragem suave.
lane	a faixa	Fica na faixa da direita.
