simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
白天	den; přes den	Přes den se učím ve škole.	deň; cez deň	Cez deň sa učím v škole.	nappal; napközben	Napközben az iskolában tanulok.	ziua; în timpul zilei	În timpul zilei învăț la școală.	ден; през деня	През деня уча в училище.	dan; tijekom dana	Tijekom dana učim u školi.
边	strana; okraj	Kniha je vedle stolu.	strana; okraj	Kniha je vedľa stola.	oldal; szél	A könyv az asztal mellett van.	parte; margine	Cartea este lângă masă.	страна; край	Книгата е до масата.	strana; rub	Knjiga je pokraj stola.
病	nemoc; být nemocný	Je nemocný.	choroba; byť chorý	Je chorý.	betegség; betegnek lenni	Ő beteg.	boală; a fi bolnav	El este bolnav.	болест; болен съм	Той е болен.	bolest; biti bolestan	On je bolestan.
不要	ne; nechtít	Nepij příliš mnoho kávy.	nie; nechcieť	Nepi príliš veľa kávy.	ne; nem akarni	Ne igyál túl sok kávét.	nu; a nu vrea	Nu bea prea multă cafea.	не; не искам	Не пий твърде много кафе.	ne; ne htjeti	Nemoj piti previše kave.
唱	zpívat	Moje mladší sestra ráda zpívá čínské písně.	spievať	Moja mladšia sestra rada spieva čínske piesne.	énekelni	A húgom szeret kínai dalokat énekelni.	a cânta	Sora mea mai mică adoră să cânte cântece chinezești.	пея	Малката ми сестра обича да пее китайски песни.	pjevati	Moja mlađa sestra voli pjevati kineske pjesme.
车	auto; vozidlo	U dveří stojí auto.	auto; vozidlo	Pri dverách stojí auto.	autó; jármű	Az ajtónál van egy autó.	mașină; vehicul	La ușă este o mașină.	кола; превозно средство	До вратата има кола.	auto; vozilo	Pred vratima je auto.
大学	univerzita	Starší bratr studuje na univerzitě.	univerzita	Starší brat študuje na univerzite.	egyetem	A bátyám egyetemen tanul.	universitate	Fratele meu mai mare studiază la universitate.	университет	По-големият ми брат учи в университет.	sveučilište	Stariji brat studira na sveučilištu.
大学生	vysokoškolský student	Je vysokoškolská studentka.	vysokoškolský študent	Je vysokoškoláčka.	egyetemista	Ő egyetemista.	student universitar	Ea este studentă universitară.	студент в университет	Тя е студентка.	student na sveučilištu	Ona je studentica.
第	předpona řadové číslovky	To je první lekce.	predpona radovej číslovky	Toto je prvá lekcia.	sorszámnév előtagja	Ez az első lecke.	prefix ordinal	Aceasta este lecția întâi.	представка за пореден номер	Това е първият урок.	prefiks rednog broja	Ovo je prva lekcija.
店	obchod	Tento obchod je malý.	obchod	Tento obchod je malý.	üzlet; bolt	Ez a bolt kicsi.	magazin	Acest magazin este mic.	магазин	Този магазин е малък.	trgovina	Ova trgovina je mala.
电话	telefon; telefonát	Jaké je tvoje telefonní číslo?	telefón; telefonát	Aké je tvoje telefónne číslo?	telefon; telefonhívás	Mi a telefonszámod?	telefon; apel telefonic	Care este numărul tău de telefon?	телефон; телефонно обаждане	Какъв е телефонният ти номер?	telefon; telefonski poziv	Koji je tvoj telefonski broj?
电影院	kino	Kino je vedle školy.	kino	Kino je vedľa školy.	mozi	A mozi az iskola mellett van.	cinema	Cinematograful este lângă școală.	кино	Киното е до училището.	kino	Kino je pokraj škole.
读书	číst; studovat	Dítě čte v pokoji.	čítať; študovať	Dieťa číta v izbe.	olvasni; tanulni	A gyerek a szobában olvas.	a citi; a studia	Copilul citește în cameră.	чета; уча	Детето чете в стаята.	čitati; učiti	Dijete čita u sobi.
饭	jídlo; vařená rýže	Právě jím.	jedlo; varená ryža	Práve jem.	étel; főtt rizs	Éppen eszem.	masă; orez fiert	Eu mănânc.	храна; сварен ориз	В момента ям.	obrok; kuhana riža	Upravo jedem.
饭店	restaurace; hotel	Tato restaurace je velmi slavná.	reštaurácia; hotel	Táto reštaurácia je veľmi známa.	étterem; szálloda	Ez az étterem nagyon híres.	restaurant; local de mese	Acest restaurant este foarte cunoscut.	ресторант; хотел	Този ресторант е много известен.	restoran; hotel	Ovaj restoran je vrlo poznat.
