source_headword	KA	example_KA
strengthen	გაძლიერება	ახალი პოლიტიკა ონლაინ უსაფრთხოებას გააძლიერებს.
strictly	მკაცრად	ბილეთები მკაცრად შეზღუდულია ორამდე ერთ ადამიანზე.
striking	შთამბეჭდავი	ნახატს შთამბეჭდავი ფერები აქვს.
stroke	მონასმი	მან ქაღალდზე ერთი მონასმი გააკეთა.
stunning	განსაცვიფრებელი	მთის ხედი განსაცვიფრებელი იყო.
subsequent	შემდგომი	შემდგომმა შეხვედრამ ბიუჯეტი დაადასტურა.
subsequently	შემდგომში	გზა დაიკეტა, შემდგომში ტრანსპორტი ნელა მოძრაობდა.
suburb	გარეუბანი	ისინი წყნარ გარეუბანში ცხოვრობენ.
suffering	ტანჯვა	წამალმა მისი ტანჯვა შეამსუბუქა.
sufficient	საკმარისი	გუნდს საკმარისი დრო აქვს.
sufficiently	საკმარისად	ოთახი საკმარისად თბილია.
super	სუპერ	ახალი პლანშეტი სუპერ სწრაფია.
surgeon	ქირურგი	ქირურგმა დაზიანებული მუხლი აღადგინა.
survival	გადარჩენა	სუფთა წყალი აუცილებელია გადარჩენისთვის.
survivor	გადარჩენილი	გადარჩენილმა წყალდიდობა აღწერა.
suspend	შეჩერება	სკოლამ შეიძლება შეაჩეროს მოგზაურობა.
sustainable	მდგრადი	ფერმა იყენებს მდგრად მეთოდებს.
swallow	გადაყლაპვა	გადაყლაპეთ აბი წყალთან ერთად.
sympathetic	თანამგრძნობი	მენეჯერი თანაგრძნობით მოეკიდა მის პრობლემას.
tackle	გამკლავება	ჩვენ უნდა გავუმკლავდეთ საცხოვრებლის პრობლემას.
tag	იარლიყი	ჩანთას ფასის იარლიყი ჰქონდა.
tap	ონკანი	მან ონკანი დაკეტა.
technological	ტექნოლოგიური	ტექნოლოგიური ცვლილება გავლენას ახდენს ყველა სამუშაო ადგილზე.
teens	მოზარდები	ბევრი მოზარდი ყოველდღიურად იყენებს სოციალურ მედიას.
temple	ტაძარი	ტაძარი მდინარესთან იდგა.
temporarily	დროებით	ოფისი დროებით დაკეტილია.
tendency	მიდრეკილება	მას დაგვიანების მიდრეკილება აქვს.
tension	დაძაბულობა	დისკუსიის დროს დაძაბულობამ იმატა.
terms	პირობები	ხელშეკრულების პირობები ნათელი იყო.
terribly	საშინლად	ბავშვი საშინლად ნაწყენი იყო.
terrify	შეშინება	ხმამაღალი ხმები აშინებს ძაღლს.
territory	ტერიტორია	რუკა აჩვენებს ახალ ტერიტორიას.
terror	შიში	თავდასხმის შემდეგ შიში გავრცელდა.
terrorism	ტერორიზმი	ტერორიზმი საფრთხეს უქმნის საზოგადოებრივ უსაფრთხოებას.
terrorist	ტერორისტი	პოლიციამ გუშინ ტერორისტი დააკავა.
testing	ტესტირება	პროდუქტის ტესტირება ორშაბათს იწყება.
textbook	სახელმძღვანელო	მას ბიოლოგიის სახელმძღვანელო დაავიწყდა.
theft	ქურდობა	რაიონში ქურდობამ იმატა.
therapist	თერაპევტი	თერაპევტი დაეხმარა მას შფოთვის მართვაში.
thesis	დისერტაცია	მისი ნაშრომი იკვლევს ონლაინ სწავლებას.
thorough	საფუძვლიანი	საფუძვლიანმა შემოწმებამ შეცდომები ვერ აღმოაჩინა.
thoroughly	საფუძვლიანად	საფუძვლიანად გაიწმინდეთ ჭრილობა.
thumb	ცერა თითი	მან ცერა თითი აწია თანხმობის ნიშნად.
timing	დროის შერჩევა	ზარის დრო იდეალურად იყო შერჩეული.
tissue	ხელსახოცი	მან ჭიქა ხელსახოცით გაწმინდა.
ton	ტონა	სატვირთო მანქანას ერთი ტონა ქვიშა მიჰქონდა.
tonne	ტონა	ტვირთი ერთ ტონას იწონიდა.
tournament	ტურნირი	ჩოგბურთის ტურნირი ხვალ იწყება.
trace	კვალის მიგნება	მეცნიერებს შეუძლიათ ვირუსის წყაროს კვალის მიგნება.
trading	ვაჭრობა	აქციებით ვაჭრობა შუადღისას შეჩერდა.
tragedy	ტრაგედია	ავარია საშინელი ტრაგედია იყო.
tragic	ტრაგიკული	ავარიას ტრაგიკული შედეგები მოჰყვა.
trait	თვისება	მოთმინება სასარგებლო თვისებაა.
transmit	გადაცემა	კოღოებს შეუძლიათ დაავადების გადაცემა.
transportation	ტრანსპორტი	საზოგადოებრივი ტრანსპორტი დღეს გადაჭედილია.
trap	მახეში გაბმა	ყუთს შეუძლია მწერების უსაფრთხოდ დაჭერა.
treasure	განძი	ძველ სკივრში განძი ინახებოდა.
tribe	ტომი	ტომი იცავდა თავის ტრადიციებს.
trigger	ამოქმედება	კვამლმა შეიძლება განგაშის ამოქმედება გამოიწვიოს.
trillion	ტრილიონი	ვალმა ერთ ტრილიონ დოლარს მიაღწია.
troop	ჯარი	ჯარი საზღვრისკენ დაიძრა.
tsunami	ცუნამი	ცუნამიმ გაანადგურა სანაპიროზე მდებარე სახლები.
ultimate	საბოლოო	საბოლოო მიზანი მშვიდობაა.
unacceptable	მიუღებელი	შეფერხება მგზავრებისთვის მიუღებელი იყო.
uncertainty	გაურკვევლობა	გაურკვევლობამ ინვესტორები ანერვიულა.
undergo	გავლა	პაციენტი ხვალ ოპერაციას გაივლის.
undertake	წამოწყება	გუნდი ჩაატარებს გამოკითხვას.
unfold	განვითარება	დრამა ნელ-ნელა განვითარდა.
unfortunate	სამწუხარო	შეცდომა სამწუხარო იყო, მაგრამ გამოსწორებადი.
unite	გაერთიანება	ლიდერები პარტიის გაერთიანებას ცდილობდნენ.
unity	ერთიანობა	გამოსვლა ეროვნული ერთიანობისკენ მოუწოდებდა.
universal	უნივერსალური	აპლიკაცია უნივერსალურ დიზაინს იყენებს.
urgent	სასწრაფო	საავადმყოფომ სასწრაფო ზარი მიიღო.
usage	გამოყენება	სახელმძღვანელო ხსნის სწორ გამოყენებას.
useless	გამოუსადეგარი	გაფუჭებული დამტენი გამოუსადეგარია.
valid	მოქმედი	თქვენი პასპორტი ჯერ კიდევ მოქმედია.
variation	განსხვავება	ფასებში დიდი განსხვავებაა.
vertical	ვერტიკალური	გრაფიკს აქვს ვერტიკალური ღერძი.
viewpoint	თვალსაზრისი	მისი თვალსაზრისი შეიცვალა დებატების შემდეგ.
visa	ვიზა	მან განაცხადი შეიტანა სტუდენტურ ვიზაზე.
visible	ხილული	ნიშანი აქედან ჩანს.
voluntary	ნებაყოფლობითი	კურსი მოიცავს ნებაყოფლობით სემინარებს.
voting	ხმის მიცემა	წინასწარი ხმის მიცემა მომავალ კვირას იწყება.
wander	ხეტიალი	ტურისტები ძველ ბაზარში დახეტიალობენ.
warming	დათბობა	გლობალური დათბობა გავლენას ახდენს ზღვის დონეზე.
weekly	ყოველკვირეული	გუნდი ატარებს ყოველკვირეულ შეხვედრას.
weird	უცნაური	ხმაური უცნაურად ისმოდა.
welfare	კეთილდღეობა	პროგრამა მხარს უჭერს ბავშვთა კეთილდღეობას.
wheat	ხორბალი	ფერმერს ხორბალი მოჰყავს.
whoever	ვინც	ვინც პირველი მოვა, გარეთ უნდა დაელოდოს.
widespread	ფართოდ გავრცელებული	ქარიშხალმა ფართომასშტაბიანი ზიანი გამოიწვია.
wisdom	სიბრძნე	ბებიამისმა პრაქტიკული სიბრძნე გააზიარა.
withdraw	უკან წაღება	მან გადაწყვიტა თავისი განცხადების უკან წაღება.
workforce	სამუშაო ძალა	სამუშაო ძალას ახალი უნარები სჭირდება.
workplace	სამუშაო ადგილი	სამუშაო ადგილს აქვს უსაფრთხოების მკაფიო წესები.
workshop	სემინარი	სემინარი ათ საათზე იწყება.
worm	ჭია	ჭია ნიადაგზე მიცოცავდა.
wrist	მაჯა	მან მაჯა იტკინა.
