source_headword	SW	example_SW
crawl	kutambaa	Mtoto alianza kutambaa kwenye zulia.
creator	muumbaji	Muumbaji aliwashukuru wote kwa msaada wao.
credibility	uaminifu	Shahidi alipoteza uaminifu wakati wa kuhojiwa.
credible	inayoaminika	Ripoti ilitoa ushahidi unaoaminika.
creep	kutambaa	Ukungu ulianza kutambaa bondeni.
critique	uhakiki	Profesa alitoa uhakiki wa kina.
crown	taji	Malkia alivaa taji la fedha.
crude	mbaya	Mchoro ulikuwa mbaya lakini wazi.
crush	kuponda	Miamba mizito inaweza kuponda bomba.
crystal	kristali	Kristali iliakisi mwanga wa asubuhi.
cult	dhehebu	Dhehebu liliwatenga wanachama wake.
cultivate	kulima	Wakulima hulima mchele katika eneo hili.
curiosity	udadisi	Udadisi ulimwongoza kwenye sayansi.
custody	ulezi	Mtoto alibaki katika ulezi wa baba yake.
cutting	kipande	Gazeti lilichapisha kipande kumhusu yeye.
cynical	dhihaka	Kauli yake ya dhihaka iliudhi timu.
dam	bwawa	Bwawa huzuia maji ya mto.
damaging	yenye kuharibu	Makala yenye kuharibu iliathiri kampeni.
dawn	alfajiri	Tuliondoka kijijini alfajiri.
debris	vifusi	Vifusi vya dhoruba vilizuia barabara.
debut	mwanzo	Mwanzo wake ulivutia umakini wa kitaifa.
decision-making	kufanya maamuzi	Kufanya maamuzi mazuri kunahitaji habari wazi.
decisive	yenye maamuzi	Hatua yake ya uamuzi ilizuia uharibifu zaidi.
declaration	tamko	Waziri alisoma tamko rasmi.
dedicated	aliyejitolea	Muuguzi aliyejitolea alifanya kazi usiku kucha.
dedication	kujitolea	Kujitolea kwake kuliwatia moyo wachezaji vijana.
deed	tendo	Tendo la kishujaa liliokoa maisha ya watu wawili.
deem	kuchukulia	Mahakama inaweza kuchukulia mkataba kuwa batili.
default	chaguo-msingi	Tumia mpangilio wa chaguo-msingi kwa sasa.
defect	kasoro	Wakaguzi walipata kasoro kubwa.
defensive	ya kujihami	Sauti yake ya kujihami ilishangaza kila mtu.
deficiency	upungufu	Upungufu wa madini ya chuma unaweza kuathiri afya.
deficit	nakisi	Nakisi ya bajeti iliwatia wasiwasi maafisa.
defy	kukaidi	Waandamanaji walichagua kukaidi marufuku hiyo.
delegate	mjumbe	Kila mjumbe alipokea kadi ya kupiga kura.
delegation	ujumbe	Ujumbe ulifika kabla ya mchana.
delicate	dhaifu	Kioo dhaifu kilivunjika kwa urahisi.
demon	pepo	Hadithi inaelezea pepo wa kale.
denial	ukanushaji	Ukanushaji wake ulikasirisha waathiriwa.
denounce	kukemea	Viongozi wanakemea ghasia shuleni.
dense	nzito	Msitu mnene ulizuia mwanga wa jua.
density	msongamano	Msongamano wa watu uko juu katikati ya jiji.
dependence	utegemezi	Utegemezi wa nchi kwa mafuta ulipungua.
depict	kuonyesha	Mchoro unaonyesha maisha ya kijijini.
deploy	kupeleka	Jeshi litapeleka wafanyakazi wa ziada.
deployment	upelekaji	Upelekaji wa wanajeshi ulianza Jumatatu.
deprive	kunyima	Ukosefu wa usingizi unaweza kuwanyima wanafunzi umakini.
deputy	naibu	Naibu alisaini makubaliano.
descend	kushuka	Njia ilianza kushuka kwa kasi.
descent	mshuko	Ndege ilianza mshuko wake.
designate	kuteua	Jiji litateua bustani mpya.
desirable	inayohitajika	Taa nzuri inahitajika madarasani.
desktop	eneo-kazi	Faili iko kwenye eneo-kazi langu.
destructive	haribifu	Dhoruba ilikuwa na nguvu haribifu.
detain	kuzuilia	Polisi wanaweza kuzuilia washukiwa usiku kucha.
detection	ugunduzi	Ugunduzi wa mapema unaboresha matibabu ya saratani.
