source_headword	TA	example_TA
machine	இயந்திரம்	இந்த இயந்திரம் காபி செய்கிறது.
magazine	இதழ்	அவள் இசை இதழைப் படிக்கிறாள்.
main	முக்கிய	இது முக்கிய கதவு.
make	செய்; உருவாக்கு	நான் வீட்டில் மதிய உணவு செய்கிறேன்.
man	ஆண்; மனிதன்	அந்த ஆண் என் ஆசிரியர்.
many	பல	இங்கே பல மாணவர்கள் உள்ளனர்.
map	வரைபடம்	வரைபடத்தைப் பார்.
March	மார்ச் மாதம்	என் பிறந்தநாள் மார்ச் மாதத்தில் உள்ளது.
market	சந்தை	நாங்கள் சந்தையில் பழம் வாங்குகிறோம்.
married	திருமணமான	என் அக்கா திருமணமானவர்.
May	மே மாதம்	பள்ளி மே மாதத்தில் முடிகிறது.
maybe	ஒருவேளை	ஒருவேளை இன்று மழை பெய்யும்.
me	என்னை; எனக்கு	தயவுசெய்து எனக்கு உதவு.
meal	உணவு	இந்த உணவு சூடாக உள்ளது.
mean	அர்த்தம் கொள்	இந்த குறி என்ன அர்த்தம்?
meaning	அர்த்தம்	இந்த சொல்லின் அர்த்தம் என்ன?
meat	இறைச்சி	நான் இரவு உணவில் இறைச்சி சாப்பிடுகிறேன்.
meet	சந்தி	நாம் வகுப்புக்குப் பிறகு சந்திப்போம்.
meeting	கூட்டம்	கூட்டம் இப்போது தொடங்குகிறது.
member	உறுப்பினர்	அவள் கழக உறுப்பினர்.
menu	உணவுப் பட்டியல்	தயவுசெய்து உணவுப் பட்டியலைப் படி.
message	செய்தி	நான் ஒரு குறுகிய செய்தி அனுப்புகிறேன்.
metre	மீட்டர்	ஒரு மீட்டர் முன்னே செல்.
midnight	நள்ளிரவு	ரயில் நள்ளிரவில் புறப்படுகிறது.
mile	மைல்	நாங்கள் ஒரு மைல் நடந்தோம்.
milk	பால்	நான் காலை உணவுடன் பால் குடிக்கிறேன்.
million	பத்து லட்சம்	இங்கே பத்து லட்சம் மக்கள் உள்ளனர்.
minute1	நிமிடம்	தயவுசெய்து ஒரு நிமிடம் காத்திரு.
miss	தவறு விடு; நினைவுகொள்	எனக்கு பழைய பள்ளி நினைவில் வருகிறது.
mistake	தவறு	இந்த பதிலில் ஒரு தவறு உள்ளது.
model	மாதிரி	இது ஒரு சிறிய மாதிரி.
modern	நவீன	இந்த சமையலறை நவீனமானது.
moment	ஒரு கணம்	தயவுசெய்து ஒரு கணம் காத்திரு.
Monday	திங்கள் கிழமை	நாங்கள் திங்கள் கிழமை வேலை தொடங்குகிறோம்.
money	பணம்	எனக்கு கொஞ்சம் பணம் வேண்டும்.
month	மாதம்	ஜூன் ஒரு சூடான மாதம்.
more	மேலும்; அதிகம்	எனக்கு மேலும் நேரம் வேண்டும்.
morning	காலை	நான் காலை படிக்கிறேன்.
most	பெரும்பாலான	பெரும்பாலான மாணவர்கள் இசையை விரும்புகிறார்கள்.
mother	அம்மா	என் அம்மா இன்று வேலை செய்கிறார்.
mountain	மலை	இந்த மலை உயரமானது.
mouse	எலி	ஒரு எலி நாற்காலியின் கீழ் உள்ளது.
mouth	வாய்	தயவுசெய்து உன் வாயைத் திற.
move	நகர்த்து; நகரு	நாற்காலியை இங்கே நகர்த்து.
movie	திரைப்படம்	நாங்கள் இன்று இரவு திரைப்படம் பார்க்கிறோம்.
much	அதிகம்; எவ்வளவு	இதன் விலை எவ்வளவு?
mum	அம்மா	என் அம்மா வீட்டில் இருக்கிறார்.
museum	அருங்காட்சியகம்	அருங்காட்சியகம் பத்து மணிக்கு திறக்கிறது.
music	இசை	நான் இசை கேட்கிறேன்.
must modal	வேண்டும்; அவசியம்	நீ இங்கே நிற்க வேண்டும்.
my	என்	இது என் புத்தகம்.
name	பெயர்	உன் பெயரை இங்கே எழுது.
natural	இயற்கையான	இந்த பழச்சாறு இயற்கையானது.
near	அருகில்	வங்கி இங்கே அருகில் உள்ளது.
need	தேவைப்படு	எனக்கு ஒரு பேனா தேவை.
negative	எதிர்மறை	இந்த பதில் எதிர்மறையானது.
neighbour	அயலவர்	என் அயலவர் நட்பானவர்.
never	ஒருபோதும் இல்லை	நான் ஒருபோதும் காபி குடிப்பதில்லை.
new	புதிய	இந்த தொலைபேசி புதியது.
news	செய்தி	இன்றைய செய்தி நல்லது.
newspaper	செய்தித்தாள்	அவர் செய்தித்தாள் படிக்கிறார்.
next	அடுத்த	அடுத்த பேருந்து தாமதமாக உள்ளது.
next to	அருகில்	என் அருகில் உட்கார்.
nice	நல்ல; அழகான	இந்த அறை அழகாக உள்ளது.
night	இரவு	நான் இரவில் தூங்குகிறேன்.
nine	ஒன்பது	இங்கே ஒன்பது மாணவர்கள் உள்ளனர்.
nineteen	பத்தொன்பது	அவள் பத்தொன்பது வயது.
ninety	தொண்ணூறு	என் தாத்தா தொண்ணூறு வயது.
no	இல்லை	இல்லை நன்றி.
no one	யாரும் இல்லை	அறையில் யாரும் இல்லை.
nobody	யாரும் இல்லை	வீட்டில் யாரும் இல்லை.
north	வடக்கு	நிலையம் இங்கிருந்து வடக்கில் உள்ளது.
nose	மூக்கு	என் மூக்கு குளிராக உள்ளது.
not	இல்லை	நான் சோர்வாக இல்லை.
note	குறிப்பு	இப்போது ஒரு குறிப்பு எழுது.
nothing	எதுவும் இல்லை	பெட்டியில் எதுவும் இல்லை.
November	நவம்பர் மாதம்	என் பாடநெறி நவம்பரில் தொடங்குகிறது.
now	இப்போது	இப்போது இங்கே வா.
number	எண்	எண்ணை இங்கே எழுது.
nurse	செவிலியர்	செவிலியர் அன்பானவர்.
object	பொருள்	பொருளை மேசையில் வை.
o’clock	மணி	வகுப்பு ஒன்பது மணிக்கு தொடங்குகிறது.
October	அக்டோபர் மாதம்	நாங்கள் அக்டோபரில் பயணம் செய்கிறோம்.
of	இன்; உடைய	இது தேநீர் கோப்பை.
off	அணை	விளக்கை அணை.
office	அலுவலகம்	என் அலுவலகம் சிறியது.
often	அடிக்கடி	நான் அடிக்கடி பள்ளிக்கு நடக்கிறேன்.
oh	ஓ	ஓ எனக்கு புரிகிறது.
OK	சரி	இது சரியா?
old	பழைய; வயதான	இந்த வீடு பழையது.
on	மேல்	புத்தகம் மேசையில் உள்ளது.
once	ஒரு முறை	நான் வாரத்திற்கு ஒரு முறை அழைக்கிறேன்.
one	ஒன்று	எனக்கு ஒரு சகோதரி உள்ளார்.
onion	வெங்காயம்	ஒரு வெங்காயத்தை நறுக்கு.
online	இணையத்தில்	நான் இணையத்தில் படிக்கிறேன்.
only	மட்டும்	என்னிடம் ஒரு பை மட்டும் உள்ளது.
open	திற	தயவுசெய்து ஜன்னலைத் திற.
opinion	கருத்து	உன் கருத்து என்ன?
opposite	எதிர்	கடை வங்கிக்கு எதிரே உள்ளது.
or	அல்லது	தேநீரா அல்லது காபியா?
orange	ஆரஞ்சு; ஆரஞ்சு நிறம்	இந்த ஆரஞ்சு இனிப்பானது.
order	ஆணை; ஆர்டர் செய்	நான் சூப் ஆர்டர் செய்கிறேன்.
other	மற்ற	மற்ற கதவைப் பயன்படுத்து.
our	எங்கள்	இது எங்கள் வகுப்பு.
out	வெளியே	உணவுக்குப் பிறகு வெளியே போ.
outside	வெளியில்	குழந்தைகள் வெளியில் விளையாடுகிறார்கள்.
over	மேல்; கடந்து	விமானம் நகரத்தின் மேல் பறக்கிறது.
own	சொந்த	எனக்கு சொந்த அறை உள்ளது.
page	பக்கம்	பக்கம் பத்தைக் திற.
paint	வண்ணம் பூசு; ஓவியம் தீட்டு	சுவரை நீலமாக பூசு.
painting	ஓவியம்	இந்த ஓவியம் அழகாக உள்ளது.
pair	ஜோடி	எனக்கு ஒரு காலுறை ஜோடி வேண்டும்.
paper	காகிதம்	இந்த காகிதத்தில் எழுது.
paragraph	பத்தி	முதல் பத்தியைப் படி.
parent	பெற்றோர்	ஒரு பெற்றோர் வெளியே காத்திருக்கிறார்.
park	பூங்கா; நிறுத்து	நாங்கள் நிலையம் அருகே நிறுத்துகிறோம்.
part	பகுதி	இந்த பகுதி எளிது.
partner	கூட்டாளர்; துணை	துணையுடன் வேலை செய்.
party	விருந்து	விருந்து ஏழு மணிக்கு தொடங்குகிறது.
passport	கடவுச்சீட்டு	தயவுசெய்து கடவுச்சீட்டைக் காட்டு.
past	கடந்த; தாண்டி	இப்போது ஆறு முப்பது.
pay	செலுத்து	நான் அட்டையால் செலுத்துகிறேன்.
pen	பேனா	இந்த பேனா நீலம்.
pencil	பென்சில்	நான் பென்சிலால் எழுதுகிறேன்.
people	மக்கள்	இங்கே பல மக்கள் உள்ளனர்.
pepper	மிளகு	சூப்பில் மிளகு போடு.
perfect	சரியான; முழுமையான	உன் பதில் சரியானது.
period	காலம்; பாட நேரம்	இந்த பாட நேரம் குறுகியது.
person	நபர்	ஒரு நபர் காத்திருக்கிறார்.
personal	தனிப்பட்ட	இது என் தனிப்பட்ட தொலைபேசி.
phone	தொலைபேசி	என் தொலைபேசி பையில் உள்ளது.
photo	புகைப்படம்	இங்கே புகைப்படம் எடு.
photograph	புகைப்படம்	இந்த புகைப்படம் பழையது.
phrase	சொற்றொடர்	இந்த சொற்றொடரை மீண்டும் சொல்.
piano	பியானோ	அவள் பியானோ வாசிக்கிறாள்.
picture	படம்	இந்த படத்தைப் பார்.
piece	துண்டு	கேக் ஒரு துண்டு எடு.
pig	பன்றி	பன்றி பண்ணையில் உள்ளது.
pink	இளஞ்சிவப்பு	அவள் பை இளஞ்சிவப்பு.
place	இடம்	இந்த இடம் அமைதியானது.
plan	திட்டம்	எங்களுக்கு ஒரு திட்டம் வேண்டும்.
plane	விமானம்	விமானம் தாமதமாக வந்தது.
plant	செடி; நடு	இன்று செடிக்கு தண்ணீர் ஊற்று.
play	விளையாடு	குழந்தைகள் பூங்காவில் விளையாடுகிறார்கள்.
player	வீரர்	வீரர் வேகமாக ஓடுகிறார்.
please	தயவுசெய்து	தயவுசெய்து இங்கே உட்கார்.
point	புள்ளி; கருத்து	இந்த கருத்து முக்கியமானது.
police	காவல்துறை	காவல்துறை வெளியே உள்ளது.
policeman	காவலர்	காவலர் எங்களுக்கு உதவுகிறார்.
pool	நீச்சல் குளம்	நீச்சல் குளம் குளிராக உள்ளது.
poor	ஏழை	ஏழை குழந்தை பசியுடன் உள்ளது.
popular	பிரபலமான	இந்த பாடல் பிரபலமானது.
positive	நேர்மறை	இது நேர்மறை முடிவு.
possible	சாத்தியம்	இன்று இது சாத்தியமா?
post	பதிவு; அஞ்சல்	நான் அவள் இணைய பதிவைப் படிக்கிறேன்.
potato	உருளைக்கிழங்கு	நான் ஒரு உருளைக்கிழங்கு சாப்பிடுகிறேன்.
pound	பவுண்ட்	இதன் விலை ஒரு பவுண்ட்.
practice	பயிற்சி	பயிற்சி தினமும் உதவுகிறது.
practise	பயிற்சி செய்	நான் தினமும் ஆங்கிலம் பயிற்சி செய்கிறேன்.
prefer	மேலும் விரும்பு	நான் தேநீரை மேலும் விரும்புகிறேன்.
prepare	தயார் செய்	இன்று இரவு உன் பையை தயார் செய்.
present	இருக்கும்; பரிசு	அவள் இன்று வகுப்பில் இருக்கிறாள்.
pretty	அழகான	இந்த தோட்டம் அழகானது.
price	விலை	விலை குறைவு.
probably	அநேகமாக	அவள் அநேகமாக அறிவாள்.
problem	பிரச்சினை	இந்த பிரச்சினை சிறியது.
product	தயாரிப்பு	இந்த தயாரிப்பு புதியது.
programme	நிகழ்ச்சி	நிகழ்ச்சி இப்போது தொடங்குகிறது.
project	திட்டம்	எங்கள் திட்டம் தயாராக உள்ளது.
purple	ஊதா	இந்த சட்டை ஊதா நிறம்.
put	வை	புத்தகத்தை இங்கே வை.
quarter	கால்; பதினைந்து நிமிடம்	இப்போது இரண்டு மணி பதினைந்து நிமிடம்.
question	கேள்வி	ஒரு கேள்வி கேள்.
quick	விரைவு	இது விரைவு சோதனை.
quickly	விரைவாக	தயவுசெய்து விரைவாக நட.
quiet	அமைதி	நூலகம் அமைதியாக உள்ளது.
quite	மிகவும்; ஓரளவு	இந்த அறை ஓரளவு சிறியது.
radio	வானொலி	வானொலி சத்தமாக உள்ளது.
rain	மழை	இப்போது மழை தொடங்குகிறது.
read	படி	இந்த வாக்கியத்தைப் படி.
reader	வாசகர்	வாசகர் இந்த கதையை விரும்புகிறார்.
reading	வாசிப்பு	வாசிப்பு எனக்கு கற்க உதவுகிறது.
ready	தயார்	இரவு உணவு தயாராக உள்ளது.
real	உண்மை; உண்மையான	இது உண்மையான பிரச்சினை.
really	உண்மையில்	எனக்கு இந்த பாடல் உண்மையில் பிடிக்கும்.
reason	காரணம்	எனக்கு காரணம் சொல்.
red	சிவப்பு	கதவு சிவப்பு.
relax	ஓய்வெடு	வேலைக்குப் பிறகு ஓய்வெடு.
remember	நினைவில் கொள்	உன் கடவுச்சீட்டை நினைவில் கொள்.
repeat	மீண்டும் சொல்	வாக்கியத்தை மீண்டும் சொல்.
report	அறிக்கை	இன்று இரவு அறிக்கையைப் படி.
restaurant	உணவகம்	உணவகத்தில் பல மக்கள் உள்ளனர்.
result	முடிவு	முடிவு நல்லது.
return	திரும்பு; திருப்பிக் கொடு	நாளை புத்தகத்தை திருப்பிக் கொடு.
rice	அரிசி; சாதம்	நான் மதிய உணவில் சாதம் சாப்பிடுகிறேன்.
