simplified	ML	example_ML
挨	സഹിക്കുക	അവൻ മുഴുവൻ രാത്രി സഹിച്ച് ഒടുവിൽ പുലർച്ചെ വരെ കാത്തിരുന്നു.
癌症	കാൻസർ	കാൻസർ നേരത്തേ കണ്ടെത്തുന്നത് വളരെ പ്രധാനമാണ്.
暧昧	അസ്പഷ്ടമായ	അവന്റെ മറുപടി വളരെ അസ്പഷ്ടമായിരുന്നു.
爱不释手	വിടാൻ മനസ്സില്ലാത്തത്	അവൾക്ക് ആ പുസ്തകം വിടാൻ മനസ്സില്ലായിരുന്നു.
爱戴	സ്നേഹവും ആദരവും	ഈ അധ്യാപകൻ വിദ്യാർത്ഥികളുടെ ആഴത്തിലുള്ള സ്നേഹവും ആദരവും നേടുന്നു.
安宁	സമാധാനമുള്ള	ഇവിടത്തെ രാത്രി വളരെ സമാധാനമുള്ളതാണ്.
安详	ശാന്തമായ	വൃദ്ധന്റെ മുഖഭാവം വളരെ ശാന്തമായിരുന്നു.
安置	പുനരധിവസിപ്പിക്കുക	സർക്കാർ ദുരന്തബാധിതരെ പുനരധിവസിപ്പിച്ചു.
按摩	മസാജ്	ഞാൻ ഒരു മസാജിന് സമയം നിശ്ചയിച്ചു.
暗示	സൂചന നൽകുക	ഇനി ചോദിക്കരുതെന്ന് അവൾ എനിക്ക് സൂചന നൽകി.
案件	കേസ്	പോലീസ് ഈ കേസ് അന്വേഷിക്കുന്നു.
案例	ഉദാഹരണ കേസ്	ഈ കേസ് വളരെ പ്രതിനിധാനപരമാണ്.
昂贵	വിലകൂടിയ	ഈ ഉപകരണം വളരെ വിലകൂടിയതാണ്.
凹凸	കുഴികളും പൊങ്ങലുകളും ഉള്ള	ഈ റോഡ് കുഴികളും പൊങ്ങലുകളും ഉള്ളതാണ്.
熬	കഠിനമായി താങ്ങുക	അവൻ മൂന്നു ദിവസം കഠിനമായി താങ്ങി റിപ്പോർട്ട് പൂർത്തിയാക്കി.
奥秘	രഹസ്യം	ശാസ്ത്രജ്ഞൻ ഈ രഹസ്യം കണ്ടെത്താൻ ആഗ്രഹിക്കുന്നു.
巴不得	ആകാംക്ഷയോടെ കാത്തിരിക്കുക	ഉടൻ പുറപ്പെടാൻ ഞാൻ ആകാംക്ഷയോടെ കാത്തിരിക്കുന്നു.
巴结	പ്രീണിപ്പിക്കുക	നേതാക്കളെ പ്രീണിപ്പിക്കാൻ അവൻ താൽപര്യമില്ല.
扒	പിടിച്ചുപറ്റുക	കുട്ടി വാതിലിൽ പിടിച്ചുപറ്റി പുറത്തേക്ക് നോക്കി.
疤	മുറിവിന്റെ പാട്	അവന്റെ കൈയിൽ ഒരു മുറിവിന്റെ പാട് ഉണ്ട്.
拔苗助长	അധിക ആവേശത്തിൽ കാര്യം നശിപ്പിക്കുക	ഇങ്ങനെ കുട്ടിയെ പഠിക്കാൻ നിർബന്ധിക്കുന്നത് കാര്യം വേഗത്തിൽ നശിപ്പിക്കും.
把关	സൂക്ഷ്മമായി പരിശോധിക്കുക	ഈ കരാർ അഭിഭാഷകൻ സൂക്ഷ്മമായി പരിശോധിക്കണം.
把手	പിടി	വാതിലിന്റെ പിടി തകരാറിലായി.
罢工	പണിമുടക്ക്	തൊഴിലാളികൾ നാളെ പണിമുടക്കാൻ തീരുമാനിച്ചു.
霸道	അമിതാധിപത്യപരമായ	അവന്റെ സംസാരശൈലി വളരെ അമിതാധിപത്യപരമാണ്.
掰	രണ്ട് കൈകൊണ്ട് പൊട്ടിക്കുക	അവൾ അപ്പം രണ്ട് ഭാഗങ്ങളായി പൊട്ടിച്ചു.
摆脱	ഒഴിവാക്കുക	അവൻ ഒടുവിൽ മോശം ശീലം ഒഴിവാക്കി.
拜访	സന്ദർശിക്കുക	ഞങ്ങൾ വാരാന്ത്യത്തിൽ അധ്യാപകനെ സന്ദർശിക്കും.
拜年	പുതുവത്സരാശംസകൾ അറിയിക്കുക	വസന്തോത്സവത്തിൽ ഞങ്ങൾ മുത്തശ്ശിമുത്തശ്ശന്മാർക്ക് പുതുവത്സരാശംസകൾ അറിയിക്കാൻ പോകും.
拜托	അപേക്ഷിക്കുക	ഈ കാര്യം നിന്നെ ആശ്രയിച്ചാണ്.
