simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
爱情	kærlighed; romantisk kærlighed	Det er en rørende kærlighedshistorie.	rakkaus; romanttinen rakkaus	Tämä on koskettava rakkaustarina.	láska; romantická láska	Je to dojemný milostný příběh.	láska; romantická láska	Je to dojímavý milostný príbeh.
安排	at arrangere; en plan	Hvilke planer har du for denne weekend?	järjestää; suunnitelma	Mitä suunnitelmia sinulla on täksi viikonlopuksi?	uspořádat; plán	Jaké máš plány na tento víkend?	zariadiť; plán	Aké máš plány na tento víkend?
安全	sikker; sikkerhed	Vær venlig at passe på sikkerheden.	turvallinen; turvallisuus	Kiinnitä huomiota turvallisuuteen.	bezpečný; bezpečnost	Dávejte prosím pozor na bezpečnost.	bezpečný; bezpečnosť	Prosím, dávajte pozor na bezpečnosť.
按时	til tiden; rettidigt	Jeg færdiggjorde opgaven til tiden.	ajoissa; aikataulussa	Sain tehtävän valmiiksi ajoissa.	včas; podle plánu	Dokončil jsem úkol včas.	včas; podľa plánu	Úlohu som dokončil včas.
按照	ifølge; i overensstemmelse med	Planen er rigtig god, bare følg den.	mukaan; mukaisesti	Tämä suunnitelma on hyvä, noudata vain sitä.	podle; v souladu s	Tento plán je velmi dobrý, prostě se jím řiď.	podľa; v súlade s	Tento plán je veľmi dobrý, jednoducho sa ním riaď.
百分之	procent	Firs procent af opgaven er færdig.	prosenttia	Kahdeksankymmentä prosenttia tehtävästä on valmis.	procento	Osmdesát procent úkolu je hotovo.	percento	Osemdesiat percent úlohy je hotových.
棒	fremragende; fantastisk	Din håndskrift er virkelig flot!	loistava; mahtava	Käsialasi on todella upea!	výborný; skvělý	Tvůj rukopis je opravdu skvělý!	výborný; skvelý	Tvoje písmo je naozaj skvelé!
包子	en dampet fyldt bolle	Bollerne på denne restaurant smager rigtig godt.	höyrytetty täytetty sämpylä	Tämän ravintolan baozi-sämpylät maistuvat todella hyvältä.	plněná knedlíková buchta v páře	Buchty baozi v této restauraci chutnají velmi dobře.	plnená parená buchta	Baozi v tejto reštaurácii chutia veľmi dobre.
保护	at beskytte	Folk bør beskytte miljøet.	suojella	Ihmisten pitäisi suojella ympäristöä.	chránit	Lidé by měli chránit životní prostředí.	chrániť	Ľudia by mali chrániť životné prostredie.
保证	en garanti; at garantere	Jeg lover, at jeg ikke kommer for sent igen.	takuu; taata	Lupaan, etten enää myöhästy.	záruka; zaručit	Slibuji, že už nebudu chodit pozdě.	záruka; zaručiť	Sľubujem, že už nebudem meškať.
