source_headword	ID	example_ID
absolutely	sepenuhnya	Saya sepenuhnya setuju dengan kamu.
academic	akademik	Tahun akademik dimulai pada bulan September.
access	akses	Siswa membutuhkan akses ke perpustakaan.
accommodation	akomodasi	Kami memesan akomodasi dekat stasiun.
account	akun	Dia membuka akun bank baru.
achievement	pencapaian	Menyelesaikan kursus itu adalah pencapaian besar.
ad	iklan	Iklan itu menampilkan telepon baru.
addition	tambahan	Kolam itu adalah tambahan yang berguna.
admire	mengagumi	Saya mengagumi sikap tenangnya.
admit	mengakui	Dia mengakui kesalahannya.
advanced	lanjutan	Ini kelas bahasa Inggris lanjutan.
advise	menasihati	Dokter menasihati olahraga teratur.
afford	mampu	Kami tidak mampu naik taksi.
aged	berusia	Kursus itu untuk anak-anak berusia sepuluh tahun.
agent	agen	Agen perjalanan itu mengubah tiket kami.
agreement	persetujuan	Mereka mencapai persetujuan hari ini.
ahead	di depan	Jalan di depan jelas.
aim	bertujuan	Kami bertujuan selesai segera.
alarm	alarm	Alarm berbunyi pukul enam.
album	album	Album ini memiliki sepuluh lagu.
alcohol	alkohol	Hotel itu tidak menyajikan alkohol.
alcoholic	beralkohol	Minuman ini tidak beralkohol.
amazed	takjub	Dia takjub dengan hasil itu.
ambition	ambisi	Ambisinya adalah menjadi pilot.
ambitious	ambisius	Dia memiliki rencana yang ambisius.
analyse	menganalisis	Kami perlu menganalisis hasil itu.
analysis	analisis	Analisisnya jelas dan teliti.
announce	mengumumkan	Mereka akan mengumumkan pemenang besok.
announcement	pengumuman	Pengumuman itu mengejutkan semua orang.
annoy	mengganggu	Musik keras dapat mengganggu tetangga.
annoyed	kesal	Dia tampak kesal setelah keterlambatan itu.
annoying	menjengkelkan	Suara itu benar-benar menjengkelkan.
apart	terpisah	Rumah-rumah itu terpisah dua meter.
apologize	meminta maaf	Saya meminta maaf karena terlambat.
application	lamaran	Tolong lengkapi lamaran secara daring.
appointment	janji temu	Saya punya janji temu dokter gigi besok.
appreciate	menghargai	Saya menghargai bantuan kamu.
approximately	kira-kira	Perjalanan itu memakan kira-kira dua puluh menit.
arrest	menangkap	Polisi menangkap pengemudi itu.
arrival	kedatangan	Kedatangan kami lebih lambat dari perkiraan.
assignment	tugas	Tugas itu jatuh tempo pada hari Jumat.
assist	membantu	Perawat membantu dokter.
atmosphere	suasana	Kafe itu memiliki suasana santai.
attach	melampirkan	Lampirkan file itu ke surel kamu.
attitude	sikap	Sikapnya berubah setelah rapat itu.
attract	menarik	Bunga cerah menarik lebah.
attraction	daya tarik	Istana itu adalah daya tarik populer.
authority	otoritas	Otoritas setempat memperbaiki jalan itu.
aware	sadar	Dia sadar akan risiko itu.
backwards	ke belakang	Dia berjalan ke belakang dengan hati-hati.
bake	memanggang	Saya memanggang roti setiap hari Minggu.
balance	keseimbangan	Sepatu yang baik membantu keseimbangan kamu.
ban	melarang	Kota itu akan melarang mobil.
bank (river)	tepi sungai	Kami duduk di tepi sungai.
base	pangkalan	Tim kembali ke pangkalan.
basic	dasar	Setiap orang membutuhkan keterampilan komputer dasar.
basis	dasar	Kepercayaan adalah dasar persahabatan.
battery	baterai	Baterai telepon saya lemah.
battle	pertempuran	Pertempuran itu berlangsung sepanjang malam.
beauty	keindahan	Kami mengagumi keindahan pegunungan.
bee	lebah	Seekor lebah hinggap di bunga itu.
belief	keyakinan	Keyakinannya memberinya keberanian.
bell	bel	Bel sekolah berbunyi keras.
bend	menekuk	Tekuk lutut kamu saat mengangkat.
bite	menggigit	Anjing itu mungkin menggigit orang asing.
block	blok	Pohon tumbang menghalangi jalan.
bomb	bom	Bom itu merusak beberapa bangunan.
border	perbatasan	Mereka melintasi perbatasan pada malam hari.
bother	mengganggu	Tolong jangan ganggu adikmu.
branch	cabang	Sebuah cabang patah dalam badai.
brand	merek	Merek ini populer di kalangan siswa.
